motifs,time
N,2.574745
C,2.641412
C,2.708078
H,2.971262
C,3.237928
E,3.511901
E,3.764002
E,4.007904
F,4.243198
D,4.497436
C,4.749537
H,4.888426
C,4.95787
C,5.027315
H,5.607025
H,6.21004
G,6.813055
N,7.110206
L,7.360206
E,7.60814
E,7.851055
E,8.092019
E,8.336917
I,8.571292
N,8.811292
E,9.032694
E,9.262579
E,9.498799
E,9.740735
C,9.971831
H,10.210722
H,10.453151
H,10.69931
H,10.949229
I,11.212087
N,11.457988
H,11.713307
H,11.979449
F,12.256603
B,12.541657
G,12.834832
O,13.149154
L,13.47025
N,15.400171
C,15.466838
C,15.533504
H,15.795513
C,16.06337
E,16.334863
E,16.591273
E,16.838187
F,17.081102
D,17.340842
C,17.596161
H,17.737006
C,17.803086
C,17.869165
H,18.47218
H,19.090737
H,19.709294
C,19.973611
E,20.219512
E,20.471613
E,20.728024
C,21.132212
D,21.197715
C,21.263217
H,21.842927
H,22.439942
H,23.036957
C,23.296697
E,23.544631
E,23.793594
E,24.037496
E,24.28543
F,24.549747
H,24.695378
D,24.762045
C,24.828711
H,25.101439
H,25.374166
D,25.659881
F,25.953998
G,26.248116
N,26.770846
L,27.241251
I,27.682785
N,28.1192
L,28.53878
O,28.974648
N,29.486454
L,29.935558
I,30.375403
N,30.824112
L,31.265172
O,31.728894
N,32.234037
L,32.683475
I,33.132913
N,33.621532
K,34.074362
P,34.561227
P,35.065603
L,35.553408
C,36.061883
D,36.583124
E,37.068636
F,37.140522
G,37.773909
N,38.296638
L,38.767044
I,39.208578
N,39.644668
L,40.062786
O,40.481508
N,40.993313
L,41.442417
I,41.882262
N,42.330972
L,42.772032
O,43.235754
P,43.535754
L,43.813532
E,44.075152
E,44.341819
E,44.592865
E,44.852605
C,45.233726
C,45.294816
C,45.355906
H,45.598821
H,45.855232
C,46.107333
E,46.354246
E,46.597161
E,46.837161
F,47.072455
D,47.326693
C,47.570595
H,47.706342
C,47.771559
C,47.836776
H,48.410939
H,49.013954
H,49.616969
D,49.893467
E,50.149877
E,50.400923
E,50.656242
E,50.899157
E,51.147091
E,51.388055
E,51.510504
E,51.56887
C,51.627236
H,52.103426
H,52.352388
C,52.607707
F,53.104604
B,53.346539
D,53.596539
F,53.851858
H,53.984602
D,54.047627
C,54.110652
H,54.363817
H,54.616981
D,54.877851
F,55.163565
H,55.457683
G,55.7518
N,56.27453
L,56.744935
I,57.18647
N,57.62256
L,58.045094
O,58.477701
N,58.989507
L,59.438611
I,59.878456
N,60.327165
L,60.768225
O,61.231947
N,61.73709
L,62.181534
I,62.630972
N,63.111078
K,63.560516
P,64.042513
P,64.536008
L,65.014096
C,65.522571
D,66.043812
E,66.529324
F,66.60121
G,67.217568
N,67.783606
L,68.334065
I,68.887474
N,69.067654
E,69.247026
E,69.425598
E,69.603375
E,69.780366
E,69.956384
C,70.133384
H,70.315212
G,70.502138
N,71.073567
L,71.634315
I,72.2536
N,72.453102
E,72.650149
E,72.844563
E,73.038991
E,73.239762
E,73.447573
C,73.662939
H,73.886321
F,74.132251
I,74.132251
N,76.691251
E,78.720077
E,79.001767
E,79.272037
C,79.551107
H,79.816594
D,79.947598
B,80.0131
C,80.078602
H,80.34176
H,80.610819
C,80.879877
F,81.204588
H,82.48893
H,82.804719
H,83.120509
H,83.444833
H,83.769158
I,84.086618
L,84.394595
E,84.692361
E,84.978076
E,85.259766
E,85.553883
I,85.840772
N,86.137156
E,86.426704
E,86.712418
E,86.995437
E,87.28812
I,87.587312
N,87.904638
E,88.214172
E,88.539728
E,88.860309
E,89.202307
I,89.534827
N,89.878793
E,90.228805
E,90.58508
E,90.947816
I,91.317678
L,91.317678
O,91.317678
