motifs,time
N,1.011812
O,1.011812
N,1.501908
K,1.501908
N,2.453777
K,2.453777
N,2.948877
G,2.948877
N,3.922164
G,3.922164
N,4.412628
K,4.412628
N,5.371557
K,5.371557
O,5.900853
L,6.147058
N,6.379792
B,6.867025
H,7.117421
G,7.367818
O,7.600232
N,8.2586
L,8.473377
G,8.696624
O,8.908489
N,9.596535
H,9.841253
G,10.085971
O,10.307635
N,10.954513
L,11.17003
G,11.394078
O,11.608119
N,12.30846
G,12.55662
K,12.804779
P,13.035637
N,13.716641
D,13.941697
I,14.182932
P,14.405633
L,15.104623
C,15.344125
G,15.583627
P,15.81493
N,16.550026
D,16.804651
F,17.059277
G,17.059277
N,18.073281
O,18.073281
O,18.564355
N,18.564355
N,19.521653
I,19.521653
O,20.01349
N,20.01349
N,20.986777
O,20.986777
O,21.477241
N,21.477241
N,22.43617
I,22.43617
O,22.965466
L,23.21167
N,23.444405
B,23.931638
H,24.182034
G,24.432431
O,24.664845
N,25.323959
L,25.539476
G,25.762724
O,25.976034
N,26.66408
H,26.908798
G,27.153516
O,27.37518
N,28.022799
L,28.239062
G,28.46311
O,28.678751
N,29.379093
G,29.627252
K,29.875412
P,30.10627
N,30.787273
D,31.01233
I,31.253565
P,31.476265
L,32.175255
C,32.414757
G,32.654259
P,32.885562
N,33.620658
D,33.875284
F,34.129909
G,34.129909
N,35.142813
O,35.142813
O,35.634875
N,35.634875
N,36.586585
I,36.586585
O,37.081483
N,37.081483
N,38.05477
O,38.05477
O,38.545234
N,38.545234
N,39.504163
I,39.504163
O,40.033459
L,40.279663
N,40.512398
B,40.990664
H,41.233973
G,41.484119
O,41.716533
N,42.393176
L,42.608693
G,42.830357
O,43.048143
N,43.719625
L,43.952906
G,44.197166
O,44.41883
N,45.073099
L,45.291662
G,45.51571
O,45.733496
N,46.417231
H,46.650513
G,46.883794
O,47.099311
N,47.777257
H,48.007107
G,48.236957
O,48.45322
N,49.136955
H,49.370237
G,49.603518
O,49.819035
N,50.496981
H,50.758693
G,51.070122
O,51.316327
N,51.549062
B,52.036294
H,52.28669
G,52.537087
O,52.769501
N,53.428616
L,53.644132
G,53.86738
O,54.08069
N,54.768736
H,55.013454
G,55.258172
O,55.490586
N,56.140336
D,56.355852
I,56.5791
P,56.79241
N,57.492074
P,57.736792
O,57.98151
N,58.213924
N,58.860812
I,59.076328
O,59.299576
P,59.512886
N,60.21521
I,60.459928
O,60.704646
N,60.923977
L,61.163613
E,61.41616
F,61.843956
G,62.292709
K,62.292709
N,63.305613
O,63.305613
O,63.796688
N,63.796688
N,64.759779
I,64.759779
O,65.253682
N,65.253682
N,66.226968
O,66.226968
O,66.717433
N,66.717433
N,67.676362
I,67.676362
O,68.205658
L,68.451862
N,68.684597
B,69.171829
H,69.422226
H,69.672622
I,69.905036
N,70.570822
L,70.790152
G,71.0134
O,71.229663
N,71.917709
H,72.162427
H,72.407145
I,72.628809
N,73.277138
L,73.495702
G,73.71975
O,73.936013
N,74.636354
G,74.884514
K,75.132673
P,75.363531
N,76.044535
D,76.269591
I,76.510826
P,76.733527
L,77.432517
C,77.672019
G,77.911521
P,78.142824
N,78.87792
D,79.132545
F,79.387171
I,79.633375
