motifs,time
N,0.646134
B,0.646134
N,0.861512
B,0.861512
N,1.507646
B,1.507646
N,1.723024
B,1.723024
N,2.046091
B,2.046091
N,2.15378
B,2.15378
P,2.476847
P,2.476847
N,2.584536
B,2.584536
N,2.907603
B,2.907603
N,3.015292
B,3.015292
N,3.338359
B,3.338359
N,3.446048
B,3.446048
O,10.537647
N,10.637948
C,10.737902
H,10.837625
C,10.944928
E,11.044883
C,11.14427
H,11.244754
C,11.344889
E,11.445022
C,11.545047
H,11.646085
C,11.747074
E,11.846809
C,11.947207
H,12.04763
C,12.147745
E,12.248653
C,12.349428
H,12.450539
H,12.557066
D,12.658118
C,12.759223
H,12.860491
C,12.962339
E,13.062819
C,13.164505
H,13.266192
C,13.371233
E,13.472337
C,13.572812
H,13.67402
C,13.775389
E,13.87623
C,13.97781
H,14.079071
C,14.184438
E,14.285332
C,14.386436
H,14.487749
C,14.589271
E,14.691118
C,14.793178
H,14.895504
C,15.000017
F,15.102428
D,15.2058
E,15.310038
E,15.415149
C,15.521279
H,15.628194
H,15.736157
H,15.845062
I,17.400864
P,17.509363
P,19.059909
N,19.168818
N,20.729244
F,20.838152
C,21.262752
F,21.688897
D,22.113496
I,22.538505
O,22.538505
K,23.270481
L,23.270481
F,23.377023
B,23.377023
H,23.793574
C,23.793574
I,24.214486
N,24.214486
K,24.945755
N,24.945755
F,25.05159
B,25.05159
C,25.468141
H,25.468141
G,25.889463
L,25.889463
O,26.621077
N,26.621077
D,26.727256
B,26.727256
F,27.565129
H,27.565129
G,27.775863
N,27.775863
L,28.20122
I,28.20122
N,28.628233
O,28.628233
N,29.054582
G,29.054582
N,29.269326
K,29.269326
O,29.99829
L,29.99829
F,30.106978
B,30.106978
D,30.835942
B,30.835942
C,30.944261
C,30.944261
I,30.944261
P,31.794003
N,31.794003
H,31.794003
F,32.639028
B,32.639028
O,33.367993
L,33.367993
C,33.47668
C,33.47668
F,34.205645
B,34.205645
D,34.313964
B,34.313964
F,34.313964
F,35.162376
B,35.162376
C,36.004652
G,36.004652
O,36.733616
N,36.733616
