motifs,time
C,1.619284
C,1.821987
C,3.232798
D,3.4355
C,4.822654
C,5.02133
F,6.395695
C,6.597037
C,7.966443
C,8.167785
F,9.561746
D,9.759114
C,11.141121
C,11.33849
C,12.715053
C,12.917756
C,14.301073
C,14.503776
C,15.891012
D,16.08709
C,17.450868
C,17.65221
F,19.047538
C,19.247538
C,20.626964
C,20.826964
C,22.208066
D,22.409408
C,23.796739
C,23.992818
F,25.368606
C,25.565975
C,26.963568
C,27.162243
I,28.584132
N,28.788214
P,30.196377
P,30.400459
N,31.810176
D,32.008851
C,33.389192
C,33.587867
C,34.969696
D,35.168372
C,36.55571
C,36.754386
F,38.144641
D,38.352893
C,39.733234
C,39.931909
C,41.324516
D,41.524516
C,42.90883
C,43.10883
F,44.502545
D,44.702545
C,46.075403
C,46.274079
C,47.665811
D,47.867153
C,49.255494
C,49.456836
F,50.865734
C,51.067076
C,52.474476
C,52.675818
I,54.088638
N,54.28998
P,55.699376
P,55.900718
N,57.31016
D,57.517056
C,58.937549
C,59.143028
C,60.553942
I,60.753942
P,62.144774
P,62.344774
O,63.758557
P,63.958557
P,65.342871
P,65.542871
P,66.950838
N,67.154919
P,68.572534
P,68.776615
P,70.22318
I,70.420548
P,71.800117
P,71.997486
P,73.378194
P,73.582276
P,74.977271
P,75.179973
P,76.583175
P,76.784517
P,78.178018
P,78.37936
P,79.767668
P,79.965036
P,81.338191
P,81.54086
P,82.920389
P,83.119065
P,84.494312
P,84.692988
P,86.078909
P,86.277585
P,87.684532
P,87.883208
P,89.30639
P,89.520676
P,90.94921
P,91.159
P,92.592785
P,92.792785
P,94.18102
P,94.38102
P,95.769362
P,95.982022
P,97.382103
P,97.591823
O,99.001242
P,99.205324
P,100.634362
P,100.838443
P,102.264506
P,102.466887
P,105.597121
P,105.806628
N,109.639426
G,109.639426
