motifs,time
N,0.881352
I,0.881352
N,1.223558
C,1.223558
I,1.223558
N,1.337626
B,1.337626
E,1.337626
I,1.565763
N,1.565763
E,1.565763
I,1.679832
P,1.679832
N,1.679832
F,1.821341
B,1.821341
I,1.821341
N,2.08335
G,2.08335
N,2.08335
I,2.738371
O,2.86082
N,2.86082
L,2.86082
I,2.86082
L,3.209657
I,3.209657
L,3.209657
I,3.209657
P,3.325936
N,3.325936
G,3.325936
N,3.325936
G,3.558494
P,3.558494
N,3.558494
I,3.558494
O,3.674773
N,3.674773
N,3.674773
I,3.674773
N,3.819004
H,3.819004
I,3.819004
O,3.819004
N,4.083321
B,4.083321
N,4.083321
I,5.159291
L,5.419031
I,5.678772
N,5.938512
I,6.20167
N,6.48336
F,6.748847
H,7.030537
H,7.298394
H,7.561552
G,7.846192
P,8.130552
I,8.449927
N,8.791078
G,9.69986
L,9.9596
I,10.219341
N,10.479081
I,10.742239
N,11.023929
F,11.289416
H,11.571106
H,11.838963
H,12.102121
G,12.386761
P,12.671121
F,12.955761
H,13.240121
H,13.515351
H,13.79058
H,14.062073
H,14.34136
G,14.610419
P,14.892732
F,15.16179
H,15.443378
H,15.713648
H,15.999538
H,16.27103
H,16.557531
G,16.835309
N,17.122712
G,17.404402
L,17.695248
F,17.996755
B,17.996755
N,18.298262
G,18.298262
K,18.434009
N,18.434009
H,18.434009
F,18.569756
B,18.569756
E,18.569756
C,18.705502
C,18.705502
I,18.705502
N,18.976995
C,18.976995
I,18.976995
N,19.112742
B,19.112742
N,19.112742
E,19.248488
I,19.248488
N,19.248488
E,19.530485
C,19.530485
H,19.530485
H,19.795972
I,19.795972
L,20.061458
C,20.061458
H,20.061458
C,20.326944
I,20.326944
P,20.326944
O,20.497399
N,20.497399
L,20.633146
L,20.633146
N,20.633146
F,20.768892
B,20.768892
I,20.768892
P,20.904638
N,20.904638
E,20.904638
I,21.176132
N,21.176132
N,21.176132
G,21.311878
P,21.311878
N,21.311878
G,21.447624
P,21.447624
L,21.447624
F,21.729622
I,21.729622
N,21.729622
D,21.995108
C,21.995108
G,21.995108
P,22.257722
L,22.257722
I,22.257722
N,22.517462
F,22.517462
I,22.517462
O,22.67789
N,22.67789
K,22.813636
N,22.813636
N,22.813636
F,22.949383
B,22.949383
I,22.949383
P,23.085129
L,23.085129
I,23.085129
N,23.356622
G,23.356622
N,23.356622
C,23.492369
C,23.492369
E,23.492369
I,23.628115
P,23.628115
N,23.628115
H,23.910112
I,23.910112
P,23.910112
N,24.175599
I,24.175599
N,24.175599
F,24.437652
I,24.437652
P,24.437652
L,24.696273
I,24.696273
N,24.696273
G,24.8567
N,24.8567
J,24.992447
L,24.992447
N,24.992447
F,25.128194
B,25.128194
I,25.128194
N,25.26394
H,25.26394
I,25.26394
O,25.535433
N,25.535433
N,25.535433
H,25.67118
C,25.67118
E,25.67118
I,25.806926
P,25.806926
N,25.806926
C,26.088923
E,26.088923
I,26.088923
N,26.35441
C,26.35441
I,26.35441
L,26.618732
I,26.618732
N,26.618732
E,26.88189
I,26.88189
N,26.88189
G,27.158174
N,27.158174
G,27.158174
N,27.42366
E,27.42366
I,27.42366
N,27.686838
B,27.686838
L,27.686838
F,27.947708
D,27.947708
I,27.947708
N,28.220132
B,28.220132
G,28.220132
N,28.220132
H,28.48329
I,28.48329
P,28.48329
N,28.48329
F,28.746448
B,28.746448
O,28.746448
N,28.746448
G,29.009606
P,29.009606
N,29.009606
F,29.009606
D,29.28203
G,29.28203
P,29.545188
P,29.545188
N,29.808346
G,29.808346
L,30.071504
I,30.071504
N,30.343353
G,30.343353
L,30.605362
I,30.605362
N,30.86737
G,30.86737
L,31.129378
I,31.129378
O,31.401802
N,31.401802
N,31.66496
G,31.66496
P,31.928118
P,31.928118
L,32.191276
I,32.191276
P,32.464865
P,32.464865
N,32.730351
G,32.730351
N,32.995838
O,32.995838
P,33.261324
P,33.261324
N,33.534912
C,33.800399
I,34.077273
P,34.34394
O,34.619453
P,34.886119
O,35.16231
P,35.428976
O,35.712096
P,35.989874
O,36.300888
P,36.605457
P,36.955552
P,37.313507
P,38.114964
N,38.779215
O,38.899697
N,38.899697
I,38.899697
P,39.241903
N,39.241903
E,39.241903
F,39.355971
B,39.355971
H,39.355971
C,39.584108
E,39.584108
I,39.584108
N,39.698177
E,39.698177
I,39.698177
N,39.839686
E,39.839686
I,39.839686
N,40.101695
B,40.101695
I,40.101695
K,40.756716
O,40.879165
L,40.879165
O,40.879165
N,40.879165
L,41.228002
C,41.228002
G,41.228002
N,41.228002
C,41.344281
I,41.344281
N,41.576839
N,41.576839
E,41.576839
I,41.576839
N,41.693118
B,41.693118
N,41.693118
N,41.693118
I,41.837349
P,41.837349
N,41.837349
I,41.837349
N,42.101666
B,42.101666
G,42.101666
N,42.101666
C,42.762458
I,42.894617
P,43.280119
P,43.411698
P,43.79591
P,43.927488
P,44.310594
P,44.443337
P,44.829206
P,44.961364
N,44.961364
G,45.349476
P,45.484005
L,45.484005
I,45.877884
N,46.016133
E,46.016133
I,46.409955
L,46.546941
C,46.947346
C,47.087532
C,47.491536
I,47.631722
P,48.040967
P,48.182476
P,48.600317
O,48.743174
P,49.165468
N,49.303717
B,49.303717
O,49.580214
N,49.711218
C,49.850108
C,50.119166
H,50.25017
C,50.39235
I,50.662621
L,50.795364
C,50.938221
C,51.215999
H,51.352363
C,51.488727
I,51.888726
N,52.027616
E,52.429401
E,52.569588
G,52.971374
L,53.108988
E,53.376845
C,53.510774
I,53.650961
L,53.78549
E,53.920019
F,54.054548
G,54.192797
N,54.32554
E,54.458284
F,54.591027
H,54.731872
D,54.865205
E,54.998538
F,55.131872
H,55.272059
D,55.405392
E,55.538725
F,55.672058
D,55.810948
F,55.810948
I,55.810948
O,56.210947
N,56.349836
E,56.751622
E,56.891809
E,57.293594
E,57.431209
