motifs,time
L,0
I,0
K,0.25
N,0.338235
C,0.42647
C,0.514706
F,0.602941
B,0.691176
C,0.779412
C,0.867647
C,0.955882
C,1.044117
F,1.136425
B,1.224402
C,1.312378
C,1.400354
C,1.488331
C,1.576308
E,1.664284
E,1.75226
C,1.840237
C,1.928214
C,2.01619
C,2.104166
F,2.197334
B,2.28557
C,2.373805
C,2.46204
C,2.550275
C,2.63851
F,2.726746
B,2.814981
C,2.903216
C,2.991452
C,3.079687
C,3.167922
G,3.262859
L,3.350835
C,3.438812
C,3.526788
C,3.614765
C,3.702741
F,3.790718
B,3.878694
C,3.966671
C,4.054647
C,4.142624
C,4.2306
F,4.678969
B,4.678969
H,4.854922
I,5.741836
N,5.741836
H,5.917274
G,6.804239
L,6.804239
H,6.980192
I,7.866798
N,7.866798
H,8.042237
G,8.597347
N,8.597347
I,8.597347
L,8.597347
F,8.847347
A,9.023818
B,9.200288
E,9.376759
E,9.553229
E,9.732099
E,9.90909
E,10.08556
F,10.08556
D,10.262031
B,10.262031
F,10.438502
B,10.438502
D,10.614972
B,10.614972
F,10.801568
B,10.801568
H,10.801568
I,11.352026
P,11.352026
D,11.352026
I,11.352026
P,11.911306
L,11.911306
I,11.911306
P,12.834383
P,12.834383
N,12.834383
E,12.834383
E,13.032403
I,13.032403
N,13.032403
F,13.582861
F,13.582861
F,13.582861
G,13.582861
P,14.140309
N,14.140309
H,14.140309
D,15.057739
C,15.057739
H,15.057739
I,15.057739
P,15.250046
I,15.250046
N,15.250046
H,15.802194
H,15.802194
H,15.802194
I,16.361985
P,16.361985
N,16.361985
F,16.919358
D,16.919358
I,16.919358
N,17.290874
A,17.498487
B,17.681973
H,17.865459
H,18.048945
D,18.230214
E,18.411483
F,18.600282
B,18.784897
H,18.969513
F,19.154128
B,19.338744
E,19.523359
I,19.523359
N,19.721379
G,19.721379
N,19.904865
H,20.088351
H,20.271837
D,20.453655
E,20.635473
F,20.825621
B,21.009107
H,21.192593
H,21.376079
C,21.559565
E,21.743051
I,21.743051
N,21.935358
G,21.935358
N,22.119408
H,22.303456
H,22.487506
H,22.487506
I,22.668774
L,22.850044
I,23.041737
N,23.225786
E,23.409835
I,23.59911
N,23.78148
C,23.963852
I,23.963852
P,24.160573
L,24.344059
H,24.527545
H,24.711031
D,24.8923
E,25.073569
F,25.262368
B,25.446983
H,25.631599
F,25.816214
B,26.00083
E,26.185445
I,26.185445
N,26.383465
G,26.383465
N,26.566951
H,26.750437
H,26.933923
D,27.115741
E,27.297559
F,27.487707
B,27.671193
H,27.854679
H,28.038165
C,28.221651
E,28.405137
I,28.405137
P,28.597444
P,28.597444
N,28.781494
C,28.965542
H,29.149592
H,29.149592
I,29.33086
L,29.51213
I,29.703823
N,29.887872
E,30.071921
I,30.261196
P,30.443566
L,30.625938
I,30.822659
O,31.01938
L,31.01938
F,31.212306
B,31.212306
I,31.212306
P,31.405232
N,31.405232
G,31.405232
N,31.405232
H,31.593912
H,31.593912
I,31.593912
N,31.593912
H,31.78259
C,31.78259
E,31.78259
I,31.78259
N,31.97127
B,31.97127
N,31.97127
N,31.97127
C,32.159948
C,32.159948
E,32.159948
I,32.159948
N,32.348628
B,32.348628
G,32.348628
N,32.348628
G,32.537306
P,32.537306
F,32.537306
I,32.537306
N,32.537306
G,32.721922
P,32.721922
P,32.721922
I,32.721922
N,32.721922
L,32.906538
I,32.906538
P,32.906538
I,32.906538
N,32.906538
L,33.099855
H,33.099855
I,33.099855
N,33.099855
H,33.287355
C,33.287355
E,33.287355
I,33.287355
N,33.474271
B,33.474271
N,33.474271
N,33.474271
C,33.661187
C,33.661187
E,33.661187
I,33.661187
N,33.848103
B,33.848103
G,33.848103
N,33.848103
H,34.035019
H,34.035019
I,34.035019
N,34.035019
H,34.230172
C,34.230172
E,34.230172
I,34.230172
N,34.417672
B,34.417672
N,34.417672
N,34.417672
C,34.605172
C,34.605172
E,34.605172
I,34.605172
N,34.790357
B,34.790357
E,34.790357
F,34.790357
H,34.975542
H,34.975542
I,34.975542
N,34.975542
H,35.160727
C,35.160727
E,35.160727
I,35.160727
K,35.362809
O,35.55953
N,35.55953
C,35.752456
E,35.752456
I,35.752456
N,35.945382
E,35.945382
E,35.945382
I,35.945382
N,36.134061
B,36.134061
N,36.134061
N,36.134061
C,36.32274
C,36.32274
E,36.32274
I,36.32274
N,36.511419
B,36.511419
G,36.511419
N,36.511419
C,36.700098
C,36.700098
G,36.700098
N,36.700098
G,36.888777
P,36.888777
L,36.888777
I,36.888777
N,37.077456
H,37.077456
I,37.077456
P,37.077456
N,37.077456
F,37.262072
B,37.262072
O,37.262072
P,37.262072
N,37.262072
E,37.446687
I,37.446687
O,37.446687
P,37.446687
N,37.446687
F,37.640005
I,37.640005
O,37.640005
N,37.640005
N,37.827505
I,37.827505
N,37.827505
G,37.827505
N,38.014421
B,38.014421
N,38.014421
H,38.014421
I,38.201337
N,38.201337
G,38.201337
N,38.201337
G,38.388253
P,38.388253
L,38.388253
I,38.388253
N,38.575169
I,38.575169
O,38.575169
N,38.575169
N,38.770322
B,38.770322
N,38.770322
C,38.957822
C,38.957822
E,38.957822
I,39.145322
P,39.145322
N,39.145322
H,39.330507
D,39.330507
I,39.515692
P,39.515692
N,39.515692
D,39.700877
B,39.700877
P,39.700877
N,39.897276
K,39.897276
O,40.479801
L,41.05305
E,41.626299
C,42.199548
H,42.765585
H,43.342507
H,43.91943
G,44.507665
N,44.507665
J,45.09019
L,45.663439
E,46.236688
C,46.809937
H,47.375974
H,47.952897
H,48.529819
I,49.118055
L,49.118055
N,49.118055
C,49.305555
C,49.305555
H,49.305555
I,49.478965
P,49.478965
N,49.478965
F,49.652376
B,49.652376
I,49.652376
P,49.825786
N,49.825786
H,49.825786
D,49.999197
B,49.999197
N,49.999197
C,50.172607
C,50.172607
H,50.172607
I,50.360107
P,50.360107
N,50.360107
F,50.538679
B,50.538679
I,50.538679
P,50.712592
N,50.712592
H,50.712592
D,50.886505
B,50.886505
N,50.886505
C,51.060418
C,51.060418
H,51.060418
I,51.243345
P,51.243345
N,51.243345
F,51.419298
B,51.419298
I,51.419298
P,51.595251
N,51.595251
H,51.595251
D,51.771204
B,51.771204
N,51.771204
C,51.947157
C,51.947157
H,51.947157
I,52.12311
P,52.12311
N,52.12311
F,52.304928
B,52.304928
I,52.304928
P,52.479855
N,52.479855
H,52.479855
D,52.654782
B,52.654782
N,52.654782
C,52.829709
C,52.829709
H,52.829709
I,53.004636
P,53.004636
N,53.004636
F,53.179563
B,53.179563
I,53.179563
P,53.35449
P,53.35449
H,53.35449
D,53.54199
B,53.54199
N,53.54199
F,53.717428
B,53.717428
I,53.717428
N,53.892867
B,53.892867
H,53.892867
I,54.068305
P,54.068305
N,54.068305
F,54.243744
B,54.243744
I,54.243744
P,54.419182
N,54.419182
H,54.419182
C,54.606682
C,54.606682
I,54.606682
N,54.781609
B,54.781609
H,54.781609
I,54.956536
P,54.956536
N,54.956536
F,55.131463
B,55.131463
I,55.131463
P,55.30639
N,55.30639
H,55.30639
C,55.481317
C,55.481317
I,55.481317
N,55.668817
B,55.668817
H,55.668817
I,55.843744
