motifs,time
H,0
I,0.46083
N,0.46083
H,0.46083
I,0.921659
N,0.921659
H,0.921659
I,1.382488
N,1.382488
H,1.382488
I,1.843318
N,1.843318
H,1.843318
I,2.304148
N,2.304148
H,2.304148
I,2.764977
N,2.764977
H,2.764977
I,3.225806
N,3.225806
H,3.225806
I,3.686636
N,3.686636
H,3.686636
I,4.166635
N,4.166635
H,4.166635
I,4.623952
N,4.623952
H,4.623952
I,5.081269
N,5.081269
H,5.081269
I,5.538586
N,5.538586
H,5.538586
I,5.995903
N,5.995903
H,5.995903
I,6.45322
N,6.45322
H,6.45322
I,6.910537
N,6.910537
H,6.910537
I,7.367854
N,7.367854
H,7.367854
I,7.811641
N,7.811641
H,7.811641
I,8.279034
N,8.279034
G,8.279034
P,8.732892
N,8.732892
G,8.732892
P,9.180085
N,9.180085
G,9.180085
P,9.620613
N,9.620613
G,9.620613
P,10.07793
N,10.07793
G,10.07793
P,10.535247
N,10.535247
G,10.535247
P,10.992564
N,10.992564
G,10.992564
P,11.449881
N,11.449881
G,11.449881
P,11.907198
N,11.907198
G,11.907198
P,12.377403
N,12.377403
H,12.377403
I,12.377403
L,12.831261
F,12.831261
H,12.831261
I,12.831261
L,13.285119
F,13.285119
H,13.285119
I,13.285119
L,13.738977
F,13.738977
H,13.738977
I,13.738977
L,14.192835
F,14.192835
H,14.192835
I,14.192835
L,14.646693
F,14.646693
H,14.646693
I,14.646693
L,15.097169
F,15.097169
H,15.097169
I,15.097169
L,15.544263
F,15.544263
H,15.544263
I,15.544263
L,15.991357
F,15.991357
H,15.991357
I,15.991357
L,16.464488
C,16.464488
H,16.464488
I,16.918346
N,16.918346
H,16.918346
I,17.372204
N,17.372204
H,17.372204
I,17.826062
N,17.826062
H,17.826062
I,18.27992
N,18.27992
H,18.27992
I,18.733778
N,18.733778
H,18.733778
F,19.187636
B,19.634829
H,20.075358
H,20.539128
I,20.989579
N,20.989579
H,20.989579
I,21.440029
N,21.440029
H,21.440029
I,21.89048
N,21.89048
H,21.89048
I,22.34093
N,22.34093
H,22.34093
I,22.791381
N,22.791381
H,22.791381
I,23.241831
N,23.241831
H,23.241831
I,23.692282
N,23.692282
H,23.692282
I,24.142732
N,24.142732
H,24.142732
I,24.604271
N,24.604271
H,24.604271
I,25.052032
N,25.052032
H,25.052032
I,25.499793
N,25.499793
H,25.499793
I,25.964909
N,25.964909
H,25.964909
I,26.409354
N,26.409354
H,26.409354
I,26.853798
N,26.853798
H,26.853798
I,27.298243
N,27.298243
H,27.298243
I,27.742687
N,27.742687
H,27.742687
I,28.187132
N,28.187132
H,28.187132
I,28.670224
N,28.670224
H,28.670224
I,29.128239
N,29.128239
H,29.128239
I,29.569416
N,29.569416
H,29.569416
I,30.010592
N,30.010592
H,30.010592
I,30.451768
N,30.451768
H,30.451768
I,30.892945
N,30.892945
H,30.892945
I,31.334122
N,31.334122
G,31.334122
O,31.792137
N,31.792137
G,31.792137
O,32.230093
N,32.230093
G,32.230093
P,32.706284
N,32.706284
I,35.35368
O,35.35368
P,36.223245
N,36.67779
H,36.67779
H,39.359646
G,39.359646
O,40.255199
N,40.255199
L,40.713215
H,40.713215
D,41.629246
I,41.629246
P,42.113117
N,42.113117
D,43.022208
I,43.022208
P,43.498398
N,43.498398
D,44.414429
I,44.414429
N,45.096247
E,45.096247
F,46.990984
H,46.990984
F,50.337334
B,50.821205
E,51.289955
E,51.769955
E,52.253826
E,52.726267
F,53.210138
B,53.210138
P,54.143808
P,54.143808
P,54.720731
N,54.720731
D,56.149302
I,59.029487
N,59.513358
E,59.982108
E,60.462108
E,60.945979
E,61.41842
E,61.902291
F,62.374732
H,62.853856
H,63.345659
H,64.774231
D,66.142323
I,67.506998
N,68.87198
E,70.225724
I,71.597483
N,72.059022
N,72.52056
A,72.982099
A,73.443637
A,73.905176
A,74.381366
A,74.839382
A,75.297397
A,75.754789
A,76.212804
A,76.67082
A,77.123966
A,77.581982
A,78.039997
A,78.49844
A,78.959978
A,79.421517
A,79.886661
A,80.344677
A,80.802692
A,81.269795
A,81.727811
A,82.185826
A,82.643842
A,83.101857
A,83.559873
A,84.02888
A,84.486896
A,84.944911
A,85.403595
A,85.865133
A,86.326672
A,86.786773
A,87.248311
A,87.70985
A,88.180619
B,89.594539
E,89.594539
E,89.594539
G,91.008458
N,91.008458
H,91.008458
I,92.396707
N,92.396707
H,92.396707
G,93.803127
N,93.803127
E,93.803127
C,95.217047
D,95.217047
I,95.217047
N,96.623467
H,97.085006
E,97.085006
C,97.546544
C,97.546544
F,98.008264
B,98.008264
C,98.475995
C,98.475995
C,98.930906
C,98.930906
H,99.388922
I,99.388922
O,99.388922
P,99.846937
N,99.846937
P,100.312054
P,100.312054
N,100.784495
E,100.784495
I,104.808679
N,105.294844
E,105.294844
C,105.775192
C,105.775192
F,106.249523
B,106.249523
C,106.718024
C,106.718024
C,107.180967
C,107.180967
H,107.693692
I,107.693692
O,107.693692
P,108.14482
N,108.14482
C,108.599366
C,108.599366
H,109.091169
D,109.542297
E,109.993425
E,110.444553
E,110.895681
E,111.346809
E,111.79457
F,112.683654
G,112.683654
O,113.035217
O,113.152404
N,113.603532
E,114.05466
E,114.505788
E,114.956916
E,115.408044
E,115.855805
F,116.744889
G,116.744889
O,117.096452
N,117.214562
H,117.214562
D,117.687003
I,117.687003
O,118.358645
N,118.582525
H,118.582525
D,119.066396
I,119.066396
O,119.753419
N,119.982427
H,119.982427
D,120.482427
I,120.482427
P,120.716802
L,120.951177
I,120.951177
O,121.191177
N,121.814965
B,121.814965
D,123.330116
I,126.623708
N,126.623708
N,127.096149
B,127.096149
P,127.56859
P,127.56859
P,128.041031
P,128.041031
P,128.513472
P,128.513472
P,128.985913
P,128.985913
P,129.458354
P,129.458354
P,129.930795
P,129.930795
P,130.385341
P,130.385341
N,130.87137
B,130.87137
N,131.347561
B,131.347561
P,131.823751
P,131.823751
P,132.299942
P,132.299942
P,132.776132
P,132.776132
P,133.252323
P,133.252323
P,133.728513
P,133.728513
P,134.203766
P,134.203766
P,134.658312
P,134.658312
N,135.132984
B,135.132984
N,135.605425
B,135.605425
P,136.077866
P,136.077866
P,136.550307
P,136.550307
P,137.022748
P,137.022748
P,137.495189
P,137.495189
P,137.96763
P,137.96763
P,138.440071
P,138.440071
P,138.898086
P,138.898086
P,139.374547
P,139.374547
O,139.843297
N,139.843297
N,139.843297
E,139.843297
E,140.312047
I,140.312047
N,140.312047
E,140.312047
E,140.780797
I,140.780797
N,140.780797
E,140.780797
E,141.249547
I,141.249547
N,141.249547
E,141.249547
E,141.711085
I,141.711085
N,141.711085
E,141.711085
E,142.162213
I,142.162213
N,142.162213
E,142.162213
E,142.606658
I,142.606658
N,142.606658
E,142.606658
E,143.06888
I,143.06888
N,143.06888
E,143.06888
F,143.537888
G,143.537888
O,144.006638
N,144.006638
G,144.006638
O,144.475388
N,144.475388
G,144.475388
O,144.944138
N,144.944138
G,144.944138
O,145.412888
N,145.412888
G,145.412888
O,145.874426
N,145.874426
G,145.874426
O,146.325554
N,146.325554
G,146.325554
O,146.769999
N,146.769999
G,146.769999
O,147.232221
N,147.232221
G,147.232221
P,147.701229
I,147.701229
O,148.169979
N,148.169979
G,148.169979
O,148.638729
N,148.638729
G,148.638729
O,149.107479
N,149.107479
G,149.107479
O,149.576229
N,149.576229
G,149.576229
O,150.037767
N,150.037767
G,150.037767
O,150.488895
N,150.488895
G,150.488895
O,150.93334
N,150.93334
G,150.93334
O,151.395562
N,151.395562
G,151.395562
J,151.86457
K,151.86457
O,152.33332
N,152.33332
G,152.33332
O,152.80207
N,152.80207
G,152.80207
O,153.27082
N,153.27082
G,153.27082
O,153.73957
N,153.73957
G,153.73957
O,154.201108
N,154.201108
G,154.201108
O,154.652236
N,154.652236
G,154.652236
O,155.096681
N,155.096681
G,155.096681
O,155.558903
N,155.558903
G,155.558903
P,156.027911
I,156.027911
O,156.496661
N,156.496661
G,156.496661
O,156.965411
N,156.965411
G,156.965411
O,157.434161
N,157.434161
G,157.434161
O,157.902911
N,157.902911
G,157.902911
O,158.364449
N,158.364449
G,158.364449
O,158.815577
N,158.815577
G,158.815577
O,159.260022
N,159.260022
G,159.260022
O,159.722244
N,159.722244
G,159.722244
O,160.191252
N,160.191252
G,160.191252
P,161.546839
L,161.774112
E,162.001385
C,162.223607
C,162.445829
F,162.668051
H,162.90061
C,163.126174
E,163.351738
C,163.57396
C,163.796182
F,164.018404
H,164.252779
C,164.480052
E,164.707325
C,164.929547
C,165.151769
F,165.373992
D,165.608367
E,165.835639
E,166.062912
C,166.285134
C,166.507357
F,166.729579
H,166.962137
D,167.187701
E,167.413265
C,167.635487
C,167.85771
F,168.079932
H,168.314307
C,168.54158
E,168.768852
C,168.991075
C,169.213297
F,169.435519
H,169.669894
C,169.897167
E,170.12444
C,170.346662
C,170.568884
F,170.791106
D,171.023665
E,171.249229
E,171.474793
C,171.697015
C,171.919237
F,172.141459
H,172.375834
D,172.603107
E,172.83038
C,173.052602
C,173.274824
F,173.497047
D,173.731422
E,173.958694
E,174.185967
C,174.408189
C,174.630412
F,174.852634
H,175.085192
D,175.310756
E,175.53632
C,175.758542
C,175.980765
F,176.202987
H,176.437362
D,176.664635
E,176.891907
C,177.11413
H,177.336352
C,177.558574
E,177.792949
E,178.020222
E,178.247495
C,178.469717
H,178.691939
D,178.914161
F,179.14672
H,179.372284
H,179.597848
H,179.597848
D,179.82007
E,180.042292
F,180.042292
D,180.264514
E,180.498889
F,180.498889
D,180.726162
E,180.953435
C,181.175657
H,181.397879
C,181.620102
E,181.854477
E,182.081749
E,182.309022
C,182.531244
H,182.753467
D,182.975689
F,183.208247
H,183.433811
H,183.659375
H,183.659375
I,183.881597
L,184.10382
I,184.10382
N,184.326042
E,184.560417
F,184.560417
H,184.560417
G,192.871615
O,193.332445
L,193.332445
E,193.332445
F,193.793274
B,193.793274
H,193.793274
I,194.254104
N,194.254104
H,194.254104
I,194.714933
P,194.714933
N,194.714933
E,195.175763
C,195.175763
H,195.175763
F,195.636592
B,195.636592
E,195.636592
F,196.097422
B,196.097422
H,196.097422
I,196.558251
N,196.558251
H,196.558251
I,197.03825
P,197.03825
N,197.03825
E,197.495567
C,197.495567
H,197.495567
F,197.952884
B,197.952884
E,197.952884
F,198.410201
B,198.410201
H,198.410201
I,198.867518
N,198.867518
H,198.867518
I,199.324835
P,199.324835
N,199.324835
E,199.782152
C,199.782152
H,199.782152
F,200.239469
B,200.239469
E,200.239469
F,200.683256
B,200.683256
H,200.683256
I,201.150649
N,201.150649
G,201.150649
P,201.604507
P,201.604507
P,201.604507
L,202.0517
C,202.0517
G,202.0517
N,202.492228
B,202.492228
L,202.492228
F,202.949545
B,202.949545
G,202.949545
P,203.406862
N,203.406862
G,203.406862
P,203.864179
P,203.864179
P,203.864179
L,204.321496
C,204.321496
G,204.321496
N,204.778813
B,204.778813
L,204.778813
F,205.249018
B,205.249018
H,205.249018
I,205.249018
N,205.702876
B,205.702876
F,205.702876
H,205.702876
I,206.156734
N,206.156734
H,206.156734
I,206.156734
P,206.610592
P,206.610592
L,206.610592
F,206.610592
C,207.06445
C,207.06445
H,207.06445
I,207.06445
L,207.518308
C,207.518308
H,207.518308
H,207.518308
I,207.968784
N,207.968784
H,207.968784
I,207.968784
N,208.415878
B,208.415878
G,208.415878
N,208.415878
E,208.862972
C,208.862972
H,208.862972
I,208.862972
L,209.336103
I,209.336103
P,209.336103
E,209.789961
C,209.789961
H,209.789961
F,210.243819
B,210.243819
E,210.243819
F,210.697677
B,210.697677
H,210.697677
I,211.151535
N,211.151535
H,211.151535
I,211.605393
P,211.605393
N,211.605393
C,212.059251
H,212.506444
H,212.946973
H,213.410743
D,213.861194
B,213.861194
E,213.861194
F,214.311644
B,214.311644
H,214.311644
C,214.762095
C,214.762095
I,214.762095
N,215.212545
B,215.212545
H,215.212545
C,215.662996
E,215.662996
I,215.662996
N,216.113446
B,216.113446
E,216.113446
F,216.563897
B,216.563897
H,216.563897
C,217.014347
C,217.014347
I,217.014347
N,217.475886
B,217.475886
H,217.475886
C,217.937424
E,217.937424
I,217.937424
N,218.381869
B,218.381869
E,218.381869
E,218.836649
F,218.836649
H,218.836649
C,219.277826
C,219.277826
I,219.277826
N,219.719002
B,219.719002
H,219.719002
C,220.160179
E,220.160179
I,220.160179
N,220.601355
B,220.601355
E,220.601355
F,221.031579
B,221.031579
H,221.031579
I,221.496258
P,221.496258
I,221.496258
N,221.954273
B,221.954273
H,221.954273
C,222.39545
E,222.39545
I,222.39545
N,222.836626
B,222.836626
E,222.836626
F,223.277803
B,223.277803
H,223.277803
C,223.718979
C,223.718979
I,223.718979
L,224.160156
F,224.160156
G,224.160156
P,224.618171
L,224.618171
I,224.618171
N,225.056127
B,225.056127
L,225.056127
F,225.532318
H,225.532318
I,228.179714
O,228.179714
P,229.049279
N,229.503825
D,229.503825
I,232.18568
K,232.18568
O,233.081234
N,233.081234
L,233.539249
H,233.539249
F,237.64154
B,238.092668
E,238.554918
E,239.024401
E,239.508272
E,239.973389
F,240.45726
B,240.45726
P,241.390929
P,241.390929
P,241.967852
N,241.967852
D,243.354601
I,246.1498
N,246.619283
E,247.077999
E,247.547482
E,248.02443
E,248.486679
E,248.97055
F,249.436389
H,249.915513
H,250.407316
H,251.835888
D,253.200654
I,254.562002
N,255.923351
I,257.284699
N,258.645388
G,260.07396
L,261.438726
I,262.800074
N,264.158145
E,265.516215
I,266.876904
O,267.338443
N,267.799981
A,268.26152
A,268.723058
A,269.184597
A,269.660787
A,270.118803
A,270.576818
A,271.03421
A,271.492225
A,271.950241
A,272.403387
A,272.861403
A,273.319418
A,273.777861
A,274.239399
A,274.700938
A,275.166082
A,275.624098
A,276.082113
A,276.549216
A,277.007232
A,277.465247
A,277.923263
A,278.380291
A,278.832098
A,279.298001
A,279.756017
A,280.214032
A,280.672716
A,281.134254
A,281.595793
A,282.055894
A,282.517432
A,282.978971
A,283.44974
B,284.86366
E,284.86366
E,284.86366
G,286.277579
N,286.277579
H,286.277579
I,287.665828
N,287.665828
H,287.665828
G,289.072248
N,289.072248
E,289.072248
C,290.486168
C,290.486168
I,290.486168
N,291.892588
H,292.354127
E,292.354127
C,292.815665
C,292.815665
F,293.277385
B,293.277385
C,293.745116
C,293.745116
C,294.200027
C,294.200027
H,294.658043
I,294.658043
O,294.658043
P,295.116058
N,295.116058
P,295.581175
P,295.581175
N,296.053616
E,296.053616
I,300.0778
N,300.563965
E,300.563965
C,301.044313
C,301.044313
F,301.518644
B,301.518644
C,301.987145
C,301.987145
C,302.450088
C,302.450088
H,302.962813
I,302.962813
O,302.962813
P,303.413941
N,303.413941
P,303.868487
P,303.868487
N,304.36029
E,304.811418
E,305.262546
E,305.713674
E,306.164802
E,306.61593
E,307.063691
F,307.952775
G,307.952775
O,308.304338
O,308.421525
N,308.872653
E,309.323781
E,309.774909
E,310.226037
E,310.677165
E,311.124926
F,312.01401
G,312.01401
O,312.365573
N,312.483683
H,312.483683
D,312.956124
I,312.956124
O,313.627766
N,313.851646
H,313.851646
D,314.335517
I,314.335517
O,315.02254
N,315.251548
H,315.251548
D,315.751548
I,315.751548
P,315.993484
L,316.235419
I,316.235419
N,316.49404
F,317.217351
B,317.217351
G,317.217351
O,319.391264
