motifs,time
B,4.425666
D,5.518572
B,5.897694
D,6.988472
B,7.362957
H,8.458014
H,8.839451
D,12.687322
B,12.687322
L,13.050914
F,13.404146
B,13.767739
N,13.767739
P,14.142224
P,14.142224
L,14.505816
F,14.865141
B,15.230861
N,15.230861
P,15.598734
P,15.598734
L,15.958058
F,16.313298
B,16.672622
G,16.672622
N,17.031947
B,17.031947
L,17.39554
F,17.752852
B,18.116445
N,18.116445
P,18.484318
P,18.484318
L,18.843642
F,19.198882
B,19.558206
G,19.558206
N,19.920407
B,19.920407
L,20.275647
F,20.63296
B,20.994449
N,20.994449
P,21.3645
P,21.3645
L,21.723824
F,22.079064
B,22.438389
G,22.438389
N,22.793418
B,22.793418
L,23.157011
F,23.514324
B,23.875726
N,23.875726
P,24.232869
P,24.232869
L,24.592193
F,24.947433
B,25.306758
G,25.306758
O,25.67035
P,25.67035
P,26.027663
N,26.384976
E,26.750696
G,27.125181
P,27.125181
L,27.484506
F,27.839746
B,28.19907
G,28.19907
N,28.556213
B,28.556213
L,28.919806
F,29.277119
B,29.642839
N,29.642839
P,30.026618
P,30.026618
J,30.385942
N,30.741182
B,31.100507
L,31.100507
F,31.464099
B,31.464099
G,31.827692
N,32.185005
B,32.550725
N,32.550725
I,32.934504
P,32.934504
O,33.293828
N,33.649068
B,34.010514
F,34.363455
B,34.720598
F,35.071804
B,35.427044
N,35.788534
B,36.143774
N,36.491117
B,36.844349
N,37.187834
E,37.537118
E,37.886402
E,38.249994
I,38.54409
P,38.634988
L,38.994312
F,39.349552
B,39.708877
F,40.060083
B,40.419407
F,40.770613
B,41.129938
N,41.485178
B,41.844502
N,42.193786
B,42.553111
N,42.900454
B,43.247797
C,43.60511
E,43.97083
E,44.35698
I,44.35698
O,44.716304
N,45.06751
B,45.422078
F,45.773284
B,46.134773
F,46.488005
B,46.845318
N,47.202631
B,47.561956
N,47.913162
B,48.270305
N,48.619589
E,48.968873
E,49.318157
E,49.679646
I,49.973741
P,50.06464
L,50.423964
F,50.771307
B,51.12862
F,51.481852
B,51.843342
F,52.196574
B,52.549806
N,52.907119
B,53.266443
N,53.621683
B,53.981008
N,54.338656
B,54.702248
N,55.059561
B,55.423154
N,55.797639
B,56.156963
N,56.512203
B,56.871528
N,57.246013
B,57.609605
N,57.96893
B,61.598921
N,61.987522
B,62.368959
N,62.750395
B,68.492847
D,69.583625
B,69.95811
D,71.051015
B,71.430138
D,72.520915
B,72.8954
H,73.990458
H,74.371894
D,78.219765
B,78.219765
L,78.583358
F,78.93659
B,79.300182
N,79.300182
P,79.674667
P,79.674667
L,80.03826
F,80.397584
B,80.763304
N,80.763304
P,81.131177
P,81.131177
L,81.490501
F,81.845741
B,82.205066
G,82.205066
N,82.56439
B,82.56439
L,82.927983
F,83.285296
B,83.648888
N,83.648888
P,84.006031
P,84.006031
L,84.365356
F,84.720596
B,85.07992
G,85.07992
N,85.442121
B,85.442121
L,85.797361
F,86.154674
B,86.516163
N,86.516163
P,86.886214
P,86.886214
L,87.245538
F,87.600778
B,87.960103
G,87.960103
N,88.319427
B,88.319427
L,88.68302
F,89.040333
B,89.403925
N,89.403925
P,89.765415
P,89.765415
L,90.124739
F,90.479979
B,90.839304
G,90.839304
O,91.202896
P,91.202896
P,91.560209
N,91.917522
E,92.283242
G,92.657727
P,92.657727
L,93.017052
F,93.372292
B,93.731616
G,93.731616
N,94.095209
B,94.095209
L,94.458801
F,94.816114
B,95.181834
N,95.181834
C,95.565613
C,95.565613
G,95.924938
N,96.280178
B,96.639502
L,96.639502
N,97.003095
B,97.003095
J,97.366687
N,97.724
B,98.08972
N,98.08972
L,98.369411
I,98.457213
N,99.159909
H,99.872605
H,100.55966
G,101.093154
O,101.270774
N,101.957896
H,102.479895
D,102.656511
B,103.003854
H,103.343567
C,103.69091
I,103.968448
P,104.056756
N,104.741937
F,105.085422
E,105.438654
F,105.785997
D,106.125709
I,106.653797
O,106.831417
N,107.518539
H,108.040538
D,108.217154
B,108.564497
H,108.90421
C,109.251553
F,109.606793
G,109.606793
L,110.643132
N,110.992416
H,111.343622
E,111.689006
E,112.036349
E,112.391589
F,113.427928
D,113.777212
H,114.128418
E,114.473802
E,114.827034
E,115.188523
F,116.603592
C,118.055963
C,119.499902
I,120.996431
