motifs,time
N,2.802786
C,4.122396
C,4.122396
C,4.796704
C,4.796704
G,6.145322
O,6.819632
N,6.819632
C,8.19926
C,8.19926
C,8.940183
C,8.940183
G,10.42203
O,11.148896
N,11.148896
G,11.148896
O,12.497514
N,12.497514
G,12.497514
O,13.179487
N,13.179487
G,13.179487
K,14.543433
O,15.24127
N,15.24127
P,16.602549
P,16.602549
P,17.343473
N,17.343473
G,18.756143
O,19.447419
N,19.447419
N,20.811365
C,20.811365
I,21.534431
P,21.534431
K,22.960016
O,23.64199
N,23.64199
N,24.975784
C,24.975784
I,25.69885
P,25.69885
N,27.119752
B,27.119752
N,27.801726
K,27.801726
P,28.483698
P,28.483698
P,29.165672
P,29.165672
P,29.880128
P,29.880128
P,31.30904
P,31.30904
N,31.646194
G,31.646194
N,32.016656
G,32.016656
O,33.396284
N,33.396284
P,34.140043
P,34.140043
N,35.625514
B,35.625514
O,36.341945
P,36.615768
N,37.98148
B,37.98148
C,38.65579
C,38.65579
G,40.004408
O,40.678716
N,40.678716
C,42.058344
C,42.058344
C,42.799268
C,42.799268
G,44.281115
O,45.007981
N,45.007981
P,46.356599
P,46.356599
P,47.038572
P,47.038572
J,48.402518
O,49.100354
N,49.100354
N,50.461634
C,50.461634
D,51.202558
I,51.202558
O,52.615228
N,52.615228
N,52.615228
I,53.125738
N,53.216121
K,53.306504
O,54.457536
N,54.541824
K,54.626113
P,55.930744
L,55.930744
P,57.235375
P,57.235375
N,58.529483
C,58.529483
C,59.834268
C,59.834268
G,59.834268
O,61.292382
N,61.292382
G,61.292382
O,62.688055
N,62.688055
H,62.688055
I,64.116967
N,64.116967
H,64.116967
I,65.600851
P,65.600851
P,67.10545
P,67.10545
P,67.939015
N,67.939015
D,69.653791
I,69.653791
P,70.039494
P,70.039494
P,70.475668
P,70.475668
P,71.267433
P,71.267433
P,72.059198
P,72.059198
P,72.895086
P,72.895086
P,74.566861
P,74.566861
P,74.962744
P,74.962744
P,75.41198
P,75.41198
P,76.193434
P,76.193434
O,76.974887
N,76.974887
N,77.847234
G,79.496038
N,79.496038
P,80.317915
P,80.317915
N,81.901446
C,81.901446
I,82.737334
P,82.737334
L,84.409108
G,84.409108
N,85.230985
O,85.230985
N,86.87979
O,86.87979
P,88.74945
P,88.74945
N,92.192492
G,92.686076
L,93.135312
E,93.571486
I,94.939071
N,95.375244
L,95.811417
L,96.218032
I,97.539614
N,97.982223
L,98.400166
E,98.824015
I,100.204663
N,100.647272
L,101.08988
E,101.532489
I,102.806128
N,103.255364
L,103.7046
E,104.140773
I,105.508358
N,105.944532
L,106.380705
E,106.787319
I,108.108902
N,108.564968
L,109.014204
E,109.450377
I,110.817962
N,111.254136
L,111.690309
E,112.096923
I,113.418506
N,113.867742
L,114.316978
E,114.753152
I,116.120737
N,116.55691
L,116.993084
E,117.399698
E,118.72128
I,118.72128
N,118.72128
G,118.72128
N,119.619753
H,120.46745
D,121.361666
E,121.361666
I,121.361666
L,121.361666
I,123.05706
O,123.944014
N,124.39325
L,124.842486
E,125.27866
I,126.646245
N,127.082418
L,127.518592
G,127.925206
L,129.275412
I,129.275412
N,129.275412
G,129.275412
N,130.160628
H,131.008326
I,131.970001
O,131.970001
N,131.970001
P,131.970001
I,132.910735
O,132.910735
P,133.914415
P,133.914415
L,135.030072
I,135.523655
L,135.972892
E,136.409065
I,137.77665
N,138.212823
L,138.648996
E,139.055611
I,140.377194
N,140.819802
L,141.237746
E,141.661594
I,143.042242
N,143.484851
L,143.92746
E,144.370068
I,145.643707
N,146.092943
L,146.542179
E,146.978352
I,148.345938
N,148.782111
L,149.218284
E,149.624898
I,150.946481
P,151.402547
L,151.851783
E,152.287956
I,153.655542
N,154.091715
L,154.527888
E,154.934502
I,156.256085
N,156.705322
L,157.154558
E,157.590731
I,158.958316
N,159.39449
L,159.830663
E,160.237277
E,161.55886
G,161.55886
O,161.55886
P,162.457332
N,163.305029
D,164.199245
F,164.199245
H,164.199245
I,165.894639
O,166.781593
N,167.23083
L,167.680066
E,168.116239
I,169.483824
N,169.919998
L,170.356171
E,170.762785
I,172.084368
N,172.084368
F,173.881313
C,174.779785
F,175.678258
I,177.475203
P,177.475203
P,179.272148
P,180.17062
P,181.069093
P,182.64142
P,182.753729
K,182.866038
O,186.288087
N,186.288087
J,186.962396
P,186.962396
J,186.962396
O,187.65221
N,190.564794
B,190.564794
P,191.29166
P,191.29166
N,194.686197
I,194.686197
O,195.384034
N,195.384034
N,195.384034
C,196.745314
G,196.745314
P,197.486237
N,197.486237
N,198.898908
B,199.590183
N,199.590183
N,200.954129
C,200.954129
I,201.677195
P,201.677195
K,203.102781
O,203.784754
N,203.784754
N,205.118548
C,205.118548
I,205.841614
P,205.841614
N,207.262517
B,207.262517
N,207.94449
K,207.94449
P,208.626463
P,208.626463
P,209.308436
P,209.308436
N,209.308436
L,210.022892
I,210.022892
N,210.022892
J,211.475383
O,211.475383
N,211.825115
G,211.825115
N,212.220998
G,212.220998
O,213.600626
N,213.600626
P,214.344384
P,214.344384
N,215.829856
B,216.285922
O,216.564836
P,216.84375
N,218.217522
B,218.217522
C,218.891832
C,218.891832
G,220.24045
O,220.914758
N,220.914758
C,222.294386
C,222.294386
C,223.03531
C,223.03531
G,224.517157
O,225.244023
N,225.244023
P,226.592641
P,226.592641
P,227.274614
P,227.274614
K,228.63856
O,229.336396
N,229.336396
L,229.336396
I,230.697676
N,230.697676
H,230.697676
I,231.4386
O,231.4386
O,232.85127
N,232.85127
N,232.85127
I,233.36178
N,233.452163
K,233.542546
O,234.693578
N,234.777866
K,234.862155
O,235.351392
N,235.432931
K,235.51447
P,236.819102
L,236.819102
P,237.471417
P,237.471417
N,238.6042
B,238.684862
C,239.2495
D,239.330162
I,240.760124
P,240.760124
N,240.760124
G,241.528424
O,242.924097
N,242.924097
H,242.924097
I,244.353009
N,244.353009
H,244.353009
I,245.836893
P,245.836893
P,247.369961
P,247.369961
L,249.703955
I,249.811129
K,249.918302
P,252.776353
L,252.776353
I,255.828235
P,255.828235
P,259.043669
P,259.043669
P,263.783678
N,263.783678
G,267.615095
J,267.615095
O,271.446512
N,271.446512
L,271.446512
