motifs,time
E,0.21141
C,0.31508
H,0.422078
C,0.525455
E,0.632072
C,0.735386
H,0.840508
C,0.941792
E,1.16459
I,1.270083
N,1.372689
E,1.580788
I,1.682766
P,1.78272
L,1.99388
I,2.095561
P,2.195514
L,2.397618
I,2.498716
P,2.598669
L,2.800304
I,2.90111
P,3.001064
L,3.202409
I,3.3051
N,3.409579
E,3.625417
I,3.727098
N,3.827052
E,4.029155
I,4.130254
N,4.230207
E,4.431841
I,4.532648
N,4.632601
E,4.833947
I,4.9339
P,5.033853
L,5.239951
I,5.341632
P,5.441586
L,5.643689
I,5.744788
P,5.844741
L,6.050144
I,6.1539
P,6.255892
L,6.46523
I,6.570811
N,6.678284
E,6.899473
I,7.003207
N,7.104854
E,7.31169
I,7.414733
N,7.514687
G,7.716321
O,7.817128
N,7.917081
G,8.118427
O,8.21838
N,8.319663
E,8.526486
I,8.628168
N,8.728121
E,8.930224
I,9.031323
N,9.131276
E,9.332911
I,9.433717
N,9.53367
E,9.73671
I,9.838356
N,9.944311
G,10.160496
O,10.264252
P,10.365555
L,10.569021
I,10.670119
N,10.770072
L,10.971707
I,11.072513
N,11.172467
L,11.373812
I,11.473766
N,11.573719
E,11.781652
F,11.885387
C,11.987013
E,12.09147
C,12.192228
H,12.296323
C,12.398294
E,12.504534
C,12.608925
H,12.718663
C,12.82528
E,12.93748
C,13.04642
G,13.160758
N,13.269698
E,13.38148
C,13.489246
H,13.598984
C,13.704107
E,13.812262
C,13.917018
H,14.024398
C,14.12879
E,14.352652
I,14.458517
N,14.561123
E,14.767189
I,14.869167
P,14.96912
L,15.18028
I,15.281962
P,15.381915
L,15.584018
I,15.685117
P,15.78507
L,15.986705
I,16.087511
P,16.187464
L,16.38881
I,16.491501
N,16.595979
E,16.811818
I,16.913499
N,17.013452
E,17.215556
I,17.316654
N,17.416608
E,17.618242
I,17.719049
N,17.819002
E,18.020348
I,18.120301
P,18.220254
L,18.426352
I,18.528033
P,18.627986
L,18.83009
I,18.931188
P,19.031142
L,19.236544
I,19.3403
P,19.442292
L,19.65163
I,19.757212
N,19.864685
E,20.085874
I,20.189608
N,20.291255
E,20.498091
I,20.601134
N,20.701087
G,20.902722
O,21.003528
N,21.103482
G,21.304827
O,21.40478
N,21.506064
E,21.712887
I,21.814568
N,21.914522
E,22.116625
I,22.217723
N,22.317677
E,22.519311
I,22.620118
N,22.720071
E,22.92311
I,23.024757
N,23.130712
G,23.346896
O,23.450652
P,23.551956
L,23.755421
I,23.85652
N,23.956473
L,24.158107
I,24.258914
N,24.358867
L,24.560213
I,24.660166
N,24.760119
E,24.968053
F,25.071787
C,25.173413
E,25.27787
C,25.378629
H,25.482723
C,25.584695
E,25.69056
C,25.794951
H,25.905091
C,26.012089
E,26.123456
C,26.232396
G,26.346734
N,26.452599
F,26.665175
B,26.771482
C,26.874859
E,27.08088
I,27.186003
N,27.288609
E,27.501453
I,27.606576
N,27.708833
E,27.916234
I,28.019547
P,28.119501
L,28.330661
I,28.432342
P,28.532295
L,28.734399
I,28.835497
P,28.93545
L,29.137085
I,29.237891
P,29.337845
L,29.53919
I,29.641881
N,29.745615
F,29.955678
B,30.061986
C,30.165363
E,30.371102
I,30.474124
N,30.575407
E,30.786928
I,30.88995
N,30.990553
E,31.194518
I,31.296496
N,31.396449
E,31.612182
I,31.713863
N,31.813816
E,32.01592
I,32.117018
N,32.216971
E,32.418606
I,32.519412
P,32.621321
L,32.827986
I,32.933851
N,33.037586
E,33.247649
I,33.353956
N,33.457333
E,33.663073
I,33.766095
N,33.867378
E,34.078898
I,34.18192
N,34.282524
E,34.486488
I,34.588467
N,34.692201
E,34.902264
I,35.008571
N,35.111948
E,35.317688
F,35.42071
D,35.521993
E,35.733514
I,35.836536
N,35.937139
E,36.141103
I,36.243082
N,36.346816
E,36.556879
I,36.663187
N,36.766564
E,36.972303
I,37.075325
N,37.176608
E,37.382007
I,37.486683
N,37.589212
G,37.796416
O,37.901092
N,38.004826
L,38.215676
I,38.321984
N,38.425361
N,38.631464
B,38.736676
N,38.839989
L,39.052878
I,39.163424
N,39.270805
L,39.497388
I,39.629465
K,39.629465
O,40.613072
N,40.718195
H,40.827532
C,40.933397
E,41.041163
C,41.145919
H,41.252917
C,41.356947
E,41.569931
I,41.675201
N,41.776903
E,41.983507
I,42.087321
P,42.187274
L,42.398434
I,42.500115
P,42.600069
L,42.802172
I,42.903271
P,43.003224
L,43.204858
I,43.305665
P,43.405618
L,43.606964
I,43.709654
N,43.817127
E,44.037099
I,44.13878
N,44.238733
E,44.440837
I,44.541935
N,44.641888
E,44.843523
I,44.944329
N,45.044283
E,45.245628
I,45.345582
P,45.445535
L,45.651633
I,45.753314
P,45.853267
L,46.055371
I,46.156469
P,46.256422
L,46.461825
I,46.565581
P,46.667573
L,46.876911
I,46.982493
N,47.089966
E,47.311154
I,47.414889
N,47.516536
E,47.723372
I,47.826415
N,47.926368
G,48.128003
O,48.228809
N,48.328762
G,48.530108
O,48.630061
N,48.731344
E,48.938168
I,49.039849
N,49.139802
E,49.341906
I,49.443004
N,49.542958
E,49.744592
I,49.845398
N,49.945352
E,50.148391
I,50.250038
N,50.355992
G,50.572177
O,50.675933
P,50.777236
L,50.980702
I,51.0818
N,51.181754
L,51.383388
I,51.484195
N,51.584148
L,51.785494
I,51.885447
