motifs,time
C,0.814711
C,1.220531
C,1.63046
I,2.452658
P,2.452658
L,3.274957
I,3.274957
N,3.683848
H,4.089668
C,4.495488
I,4.905417
O,4.905417
N,5.732557
G,5.732557
P,6.556188
P,6.556188
P,6.964366
P,6.964366
P,7.37116
P,7.37116
O,7.780375
N,7.780375
P,8.187877
P,8.187877
P,9.002778
P,9.002778
P,9.824809
P,9.824809
P,10.238977
N,10.238977
C,10.651724
F,10.651724
C,11.067385
F,11.067385
I,11.49111
N,11.49111
H,11.49111
I,12.327384
N,12.327384
G,13.156087
N,13.564979
C,13.970799
C,14.376619
C,14.786547
I,15.608745
P,15.608745
L,16.431045
I,16.431045
N,16.839936
H,17.245756
C,17.651576
I,18.061504
O,18.061504
N,18.888644
G,18.888644
P,19.712276
P,19.712276
P,20.120453
P,20.120453
P,20.527247
P,20.527247
O,20.936462
N,20.936462
P,21.343964
P,21.343964
P,22.158866
P,22.158866
P,22.980896
P,22.980896
P,23.395064
N,23.395064
C,23.807811
F,23.807811
C,24.223473
F,24.223473
I,24.641775
N,24.641775
H,24.641775
I,25.487777
N,25.487777
G,26.32742
N,26.869629
B,26.973435
C,27.077242
E,27.181048
F,27.717974
B,27.821422
C,27.92487
E,28.028319
I,28.874666
N,29.714309
N,30.256518
B,30.360325
C,30.464131
I,30.567937
N,31.104863
B,31.208312
C,31.31176
E,31.415208
F,32.262085
I,33.100862
O,33.100862
P,33.751767
P,33.751767
P,33.969159
P,33.969159
P,34.649515
P,34.649515
P,34.957308
P,34.957308
N,35.457308
N,35.560401
H,35.663969
H,35.768015
D,35.872667
F,35.975878
H,36.080045
H,36.185186
D,36.291382
F,36.395429
H,36.500509
H,36.606705
H,36.714041
I,36.823931
N,36.933821
C,37.043711
I,37.153601
P,37.263895
N,37.374189
C,37.484483
I,37.604005
P,37.713096
N,37.822187
C,37.931278
I,38.040369
P,38.15107
N,38.261771
C,38.372472
I,38.493439
P,38.606012
N,38.718794
C,38.831576
I,38.944358
P,39.056717
N,39.16957
C,39.282849
I,39.39663
P,39.510843
N,39.625566
C,39.74073
I,39.856411
O,39.972541
N,40.089197
C,40.206308
I,40.332831
N,40.87504
B,40.978847
C,41.082653
E,41.186459
F,41.723385
B,41.826833
C,41.930282
E,42.03373
I,42.879732
N,43.719374
N,44.261584
B,44.36539
C,44.469196
I,44.573003
N,45.109929
B,45.213377
C,45.316825
E,45.420273
F,46.26715
I,47.105928
O,47.105928
P,47.756833
P,47.756833
P,47.974224
P,47.974224
P,48.655684
P,48.655684
P,48.964642
P,48.964642
N,49.464642
N,49.567735
H,49.671302
H,49.775349
D,49.88
F,49.983211
H,50.087379
H,50.19252
D,50.298716
F,50.402763
H,50.507843
H,50.614038
H,50.721374
I,50.831264
N,50.941154
C,51.051044
I,51.160934
P,51.271228
N,51.381522
C,51.491816
I,51.611338
P,51.720429
N,51.82952
C,51.938611
I,52.047702
P,52.158403
N,52.269104
C,52.379805
I,52.500773
N,52.909664
C,53.315484
C,53.721304
C,54.131233
I,54.953431
O,54.953431
N,55.77573
E,56.184621
C,56.590441
C,56.996261
C,57.40619
D,58.23333
I,58.23333
L,59.056961
I,59.163103
P,59.269245
P,59.375387
P,59.481529
P,59.588772
P,59.696014
P,59.803257
P,59.910499
P,60.016641
P,60.122783
P,60.228681
P,60.334456
P,60.439993
P,60.545412
P,60.650589
P,60.755646
P,60.860351
P,60.965056
P,61.06976
P,61.174465
P,61.27917
P,61.383875
P,61.488579
P,61.593284
P,61.697989
P,61.802694
P,61.907398
P,62.012103
P,62.117878
P,62.223654
P,62.329429
N,62.435204
P,62.540623
P,62.646041
P,62.751218
P,62.856158
P,62.960863
P,63.06521
P,63.169327
P,63.27321
P,63.377557
P,63.482143
P,63.586965
P,63.692022
P,63.797441
P,63.903097
P,64.008994
P,64.115257
C,64.222784
C,64.330311
C,64.437454
C,64.544596
C,64.651358
C,64.758119
C,64.864502
F,64.97076
C,65.076892
C,65.183528
C,65.290543
C,65.398199
C,65.506243
C,65.614808
C,65.723767
F,65.83339
I,69.540794
P,69.540794
P,70.018882
P,70.018882
P,70.257926
P,70.257926
P,70.741868
P,70.741868
P,70.979963
P,70.979963
P,71.217117
P,71.217117
P,71.698174
P,71.698174
P,71.934394
P,71.934394
P,72.170615
P,72.170615
P,72.653749
P,72.653749
P,72.892793
P,72.892793
P,73.133757
P,73.133757
P,73.625858
P,73.625858
N,73.877959
I,73.877959
P,74.912441
P,74.912441
P,76.088911
P,76.088911
