motifs,time
O,0.716092
L,0.716092
E,0.716092
I,1.446342
N,1.446342
E,1.446342
I,2.199056
L,2.199056
O,2.915147
L,2.915147
E,2.915147
I,3.645398
N,3.645398
E,3.645398
I,4.39365
L,4.39365
O,5.109741
L,5.109741
G,5.109741
O,5.839992
N,5.839992
G,5.839992
O,6.576438
L,6.576438
O,7.292529
L,7.292529
E,7.292529
I,8.02278
N,8.02278
E,8.02278
I,8.759226
L,8.759226
O,9.475318
L,9.475318
E,9.475318
I,10.205568
N,10.205568
E,10.205568
I,10.93065
L,10.93065
O,11.646742
L,11.646742
E,11.646742
I,12.376992
N,12.376992
E,12.376992
I,13.111274
L,13.111274
O,13.827366
L,13.827366
G,13.827366
O,14.557616
N,14.557616
G,14.557616
O,15.294062
L,15.294062
O,16.010154
L,16.010154
E,16.010154
I,16.746286
N,16.746286
E,16.746286
I,17.515517
L,17.515517
O,18.231608
L,18.231608
E,18.231608
I,18.961859
N,18.961859
E,18.961859
I,19.705756
L,19.705756
O,20.421847
L,20.421847
E,20.421847
I,21.152098
N,21.152098
E,21.152098
I,21.90035
L,21.90035
O,22.616441
L,22.616441
G,22.616441
O,23.346692
N,23.346692
G,23.346692
O,24.083138
L,24.083138
O,24.799229
L,24.799229
E,24.799229
I,25.52948
N,25.52948
E,25.52948
I,26.259024
L,26.259024
O,26.975116
L,26.975116
E,26.975116
I,27.705366
N,27.705366
E,27.705366
I,28.430448
L,28.430448
O,29.14654
L,29.14654
E,29.14654
I,29.876791
N,29.876791
E,29.876791
I,30.615427
L,30.615427
O,31.331519
L,31.331519
G,31.331519
O,32.061769
N,32.061769
G,32.061769
O,32.798215
L,32.798215
O,33.514307
L,33.514307
E,33.514307
I,34.250439
N,34.250439
E,34.250439
I,35.007003
N,35.728572
L,35.728572
E,35.728572
I,36.458822
N,36.458822
E,36.458822
I,37.197459
N,37.920097
L,37.920097
E,37.920097
I,38.650348
N,38.650348
E,38.650348
I,39.388984
K,39.388984
P,40.109431
L,40.109431
G,40.109431
O,40.839681
N,40.839681
G,40.839681
O,41.578318
N,42.331606
L,42.331606
E,42.331606
I,43.109579
N,43.109579
E,43.109579
I,43.934293
N,44.661839
L,44.661839
E,44.661839
I,45.39209
N,45.39209
E,45.39209
I,46.130726
N,46.851173
L,46.851173
E,46.851173
I,47.581424
N,47.581424
E,47.581424
I,48.32006
K,48.32006
P,49.042766
L,49.042766
G,49.042766
O,49.773016
N,49.773016
G,49.773016
P,50.58354
D,50.58354
I,50.78628
N,50.88628
E,50.985205
E,51.082398
E,51.180867
E,51.280647
E,51.380455
E,51.58719
E,51.685229
E,51.782035
E,51.877579
E,51.974985
E,52.074325
E,52.173541
I,53.001026
L,53.001026
O,53.728572
L,53.728572
E,53.728572
I,54.445645
N,54.445645
E,54.445645
I,55.160032
L,55.160032
O,55.876124
L,55.876124
E,55.876124
I,56.59625
N,56.59625
E,56.59625
I,57.321332
L,57.321332
O,58.037424
L,58.037424
G,58.037424
O,58.755946
N,58.755946
G,58.755946
O,59.474535
L,59.474535
O,60.190626
L,60.190626
E,60.190626
I,60.920877
N,60.920877
E,60.920877
I,61.657323
L,61.657323
O,62.373415
L,62.373415
E,62.373415
I,63.103665
N,63.103665
E,63.103665
I,63.828747
L,63.828747
O,64.544839
L,64.544839
E,64.544839
I,65.27509
N,65.27509
E,65.27509
I,66.013726
L,66.013726
O,66.729818
L,66.729818
G,66.729818
O,67.460068
N,67.460068
G,67.460068
O,68.196514
L,68.196514
O,68.912606
L,68.912606
E,68.912606
I,69.648738
N,69.648738
E,69.648738
I,70.401451
L,70.401451
O,71.117543
L,71.117543
E,71.117543
I,71.847793
N,71.847793
E,71.847793
I,72.593855
L,72.593855
O,73.309946
L,73.309946
E,73.309946
I,74.040197
N,74.040197
E,74.040197
I,74.783295
L,74.783295
O,75.499386
L,75.499386
E,75.499386
I,76.229637
N,76.229637
E,76.229637
I,76.975698
L,76.975698
O,77.814136
L,77.907304
E,78.000472
E,78.093639
E,78.187001
E,78.28194
E,78.378097
E,78.476139
I,78.572913
N,78.665513
E,78.757537
E,78.849562
E,78.940302
E,79.033472
E,79.129016
E,79.227058
F,79.327058
D,79.42446
E,79.521863
E,79.618048
E,79.717607
E,79.818731
E,79.922911
E,80.037415
I,80.913327
L,80.913327
G,80.913327
N,81.789239
B,81.789239
G,81.789239
