motifs,time
K,0.994136
N,1.480123
G,1.974104
N,2.464433
J,2.941987
N,3.412681
G,3.889544
P,4.368478
N,4.839172
C,5.309902
I,5.794533
N,6.284809
K,6.771511
N,6.771511
H,7.251137
G,7.739268
O,8.223134
N,8.223134
P,8.691183
N,9.14691
H,9.608375
G,9.608375
P,10.081785
N,10.558649
H,11.038964
C,11.523521
I,11.523521
N,12.008793
N,12.501666
D,12.74683
E,12.984928
F,13.225813
H,13.47699
H,13.47699
D,14.511546
I,15.556062
N,16.064566
K,16.559289
N,17.041699
G,17.528402
N,18.012958
J,18.491894
N,18.967376
G,19.451218
P,19.938634
N,20.416188
C,20.887561
I,21.367901
N,21.856748
K,22.339874
N,22.339874
H,22.819499
G,23.308372
O,23.794359
N,23.794359
P,24.267792
N,24.73186
H,25.207353
G,25.207353
P,25.67669
N,26.152875
H,26.63319
C,27.117747
I,27.117747
N,27.603019
N,28.095892
D,28.347795
E,28.592602
F,28.843723
H,29.103604
H,29.103604
D,30.175979
I,31.220827
K,31.220827
O,31.711156
L,32.188709
C,32.660785
F,33.142173
B,33.142173
D,33.630305
F,34.109585
H,34.587138
D,35.090565
I,35.090565
P,35.590159
L,36.0758
C,36.563293
H,37.074634
G,37.074634
P,37.597646
L,37.597646
F,38.105382
D,38.105382
F,38.600845
D,38.600845
I,39.115094
K,39.115094
O,39.605423
N,39.605423
D,40.082976
F,40.555052
G,41.036441
K,41.036441
O,41.526769
N,41.526769
P,42.004323
N,42.476399
H,42.957787
H,42.957787
I,43.448116
O,43.925669
N,44.397745
N,44.879133
P,45.369409
P,46.886711
P,47.39561
K,47.893145
N,48.383977
G,48.879256
N,49.37233
J,49.850625
N,50.323026
G,50.803705
P,51.2855
N,51.756195
C,52.226924
I,52.711555
N,53.201831
K,53.688533
N,53.688533
H,54.168159
G,54.65629
O,55.140157
N,55.140157
P,55.608205
N,56.063932
H,56.525397
G,56.525397
P,56.998807
N,57.475671
H,57.955987
C,58.440543
I,58.440543
N,58.925816
N,59.418688
D,59.663853
E,59.90195
F,60.142835
H,60.394013
H,60.394013
D,61.466388
I,62.511235
N,62.511235
J,63.010994
L,63.488547
C,63.960623
F,64.442011
B,64.442011
D,64.930143
F,65.409423
H,65.886977
D,66.390403
I,66.390403
P,66.889997
L,67.375638
C,67.863132
G,68.374472
P,68.374472
N,68.897484
B,68.897484
E,69.40522
F,69.40522
D,69.900684
E,69.900684
I,70.414932
N,70.414932
J,70.905261
N,70.905261
D,71.382815
F,71.854891
G,72.336279
K,72.336279
O,72.826608
N,72.826608
P,73.304161
N,73.776237
H,74.257625
H,74.257625
I,74.747954
O,75.225507
N,75.697583
N,76.178971
P,76.669247
P,78.186549
P,78.695448
K,79.192983
N,79.683815
G,80.179094
N,80.672169
J,81.150464
N,81.622864
G,82.103543
P,82.585338
N,83.056033
C,83.526762
I,84.011393
N,84.501669
K,84.988372
N,84.988372
H,85.467997
G,85.956129
O,86.439995
N,86.439995
P,86.908043
N,87.36377
H,87.825235
G,87.825235
P,88.298645
N,88.775509
H,89.255825
C,89.740382
I,89.740382
N,90.269255
N,90.762128
D,91.007292
E,91.24539
F,91.486275
H,91.737452
H,91.737452
F,92.245951
B,92.738826
P,93.224009
O,93.715809
O,94.212781
N,94.212781
P,94.696648
P,94.696648
N,95.177691
P,95.177691
P,95.671315
N,95.671315
F,96.164225
B,96.655629
P,97.129063
O,97.619047
N,98.109733
L,98.109733
N,98.590074
G,98.590074
N,99.066592
P,99.066592
P,99.554021
N,99.554021
F,104.417408
B,104.491492
L,104.56452
I,105.887952
L,105.887952
