motifs,time
K,1.688462
O,3.84305
N,4.24121
L,4.30757
E,4.375065
C,4.44516
C,4.514285
C,4.582468
C,4.650138
C,4.718632
H,4.788077
C,4.858302
G,4.928791
P,4.928791
P,5.472417
O,6.016043
N,6.287856
L,6.423763
E,6.559669
F,6.827192
G,6.827192
J,7.101189
P,7.368712
L,7.502473
E,7.636234
F,7.903757
G,7.903757
J,8.171279
P,8.442377
L,8.578284
E,8.71419
C,8.84691
I,8.97963
N,9.114836
D,9.251287
G,9.523937
N,9.662826
D,9.801715
I,10.218382
N,10.290153
K,10.361923
O,12.517152
N,12.915311
L,12.981671
E,13.048031
C,13.118675
C,13.188443
C,13.257252
C,13.325228
C,13.394382
H,13.463913
C,13.534016
G,13.604505
P,13.604505
P,14.148131
O,14.691757
N,14.96357
L,15.099476
E,15.235383
F,15.502905
G,15.502905
J,15.776903
P,16.044425
L,16.178187
E,16.311948
F,16.57947
G,16.57947
J,16.846993
P,17.027486
L,17.208695
E,17.389904
G,17.566863
O,18.890254
N,18.959379
K,19.028503
O,21.183732
N,21.581891
L,21.648251
E,21.714611
C,21.784924
C,21.854369
C,21.922864
C,21.990432
C,22.058189
H,22.127719
C,22.197823
G,22.268311
P,22.268311
P,22.811937
O,23.355563
N,23.627376
L,23.763283
E,23.899189
F,24.166712
G,24.166712
J,24.440709
P,24.708232
L,24.841993
E,24.975754
F,25.243277
G,25.243277
J,25.510799
P,25.691293
L,25.872502
E,26.05371
G,26.23067
O,27.691795
N,27.872288
K,28.053497
O,29.841893
N,30.022386
L,30.203595
O,31.99199
N,32.172484
L,32.353693
E,32.534901
I,34.008327
N,34.101495
L,34.194663
G,34.737573
L,35.27467
I,36.246343
N,36.317433
K,36.388523
O,38.543752
N,38.941911
L,39.008271
E,39.074631
C,39.144076
C,39.21257
C,39.280139
C,39.346905
C,39.41417
H,39.482353
C,39.551933
G,39.622422
P,39.622422
P,40.166048
O,40.709674
N,40.981487
L,41.117393
E,41.2533
F,41.520822
G,41.520822
K,41.79482
N,42.062342
L,42.196104
E,42.329865
F,42.594182
G,42.594182
J,42.866909
P,43.138402
L,43.274149
E,43.409895
F,43.676562
G,43.676562
J,43.956936
P,44.227206
L,44.362342
E,44.497477
F,44.762963
G,44.762963
J,45.042033
P,45.45383
L,45.591235
E,45.728431
E,45.866469
E,46.005573
E,46.145837
G,46.286573
P,46.430857
L,46.578661
H,46.730157
H,46.886154
H,47.048629
H,47.256098
G,47.588692
