motifs,time
P,0.086207
L,0.172414
L,0.258621
C,2.609508
G,2.699598
J,2.807512
K,2.807512
O,2.894721
L,2.98193
L,3.06914
I,4.227593
L,4.227593
O,5.448522
N,5.535732
L,5.644823
G,5.644823
O,5.733318
L,5.821814
L,5.910309
I,6.352787
L,6.352787
P,6.722018
P,6.722018
P,7.099376
P,7.099376
O,8.270546
N,8.360636
G,8.450726
L,8.548765
G,8.548765
O,8.635722
L,8.722678
E,8.809634
F,11.070504
H,11.15746
G,11.244416
N,11.347156
I,11.347156
P,11.433363
L,11.51957
L,11.605777
C,13.940905
G,14.028369
L,14.12391
G,14.12391
O,14.210616
L,14.297321
G,14.384026
P,16.735683
J,16.823147
L,16.916026
G,16.916026
O,17.003235
L,17.090444
L,17.177654
C,19.543045
G,19.631022
N,19.728109
I,19.728109
P,19.814564
L,19.90102
G,19.987475
P,22.321766
J,22.408222
L,22.507232
G,22.507232
O,22.593439
L,22.679646
O,23.892361
L,23.892361
P,24.592069
P,24.592069
O,25.21707
N,25.312006
K,25.312006
O,25.398213
L,25.48442
L,25.570627
I,26.691318
L,26.691318
P,27.388992
P,27.388992
O,27.912248
N,27.999457
L,28.086666
K,28.086666
O,28.173876
L,28.261085
L,28.348294
F,30.623476
H,30.712233
G,30.800991
L,30.892734
K,30.892734
O,30.980197
L,31.067661
L,31.155124
F,33.516639
G,33.604102
L,33.695566
G,33.695566
O,33.781773
L,33.86798
E,33.954187
I,35.074878
K,35.074878
O,35.942938
N,36.030148
C,36.291775
I,36.378984
J,36.466194
K,36.466194
O,36.552401
L,36.638608
E,36.724815
F,38.966197
H,39.052404
H,39.138611
H,39.228431
G,39.228431
P,39.314638
L,39.400845
L,39.487052
I,40.614994
L,40.614994
O,41.828868
N,41.915573
G,42.002278
K,42.002278
O,42.088983
L,42.175688
G,42.262394
O,43.389562
K,43.389562
O,44.520522
N,44.607985
H,44.695448
G,44.782912
P,44.870376
L,44.957839
L,45.045302
I,46.182328
P,47.319354
N,47.406817
G,47.49428
L,47.581744
G,47.581744
P,47.667951
L,47.754158
L,47.840365
F,50.081747
B,50.167954
G,50.254161
J,50.353499
P,50.440455
L,50.527412
E,50.614368
I,51.744803
K,51.744803
O,52.706901
L,52.794365
I,52.881828
L,52.969292
G,53.056755
J,53.149923
P,53.236628
L,53.323334
E,53.410039
G,53.496744
N,53.583449
G,54.537207
L,54.537207
O,55.496509
L,55.583718
F,55.670927
H,55.758136
G,55.845346
L,55.932555
P,56.019764
J,56.106974
L,56.194183
G,56.281392
N,56.368601
I,56.45581
O,57.327903
L,57.327903
O,58.019545
N,58.019545
N,58.724382
I,58.724382
O,59.416024
N,59.416024
N,60.119732
I,60.119732
O,60.811374
N,60.811374
O,61.511082
N,61.511082
O,62.286945
N,62.373152
G,62.459359
K,62.545566
P,62.905926
L,63.681789
N,63.767996
G,63.854203
K,63.94041
N,64.304046
I,64.304046
O,64.390253
L,64.47646
E,64.562667
I,66.726836
L,66.726836
O,66.907016
N,66.997106
G,67.087196
N,67.087196
J,67.173403
L,67.25961
L,67.345817
I,68.466508
N,69.696704
P,69.786794
J,69.894708
K,69.894708
O,69.981917
L,70.069126
L,70.156336
I,71.314789
L,71.314789
O,72.535718
N,72.622928
L,72.732019
G,72.732019
O,72.820514
L,72.90901
L,72.997505
I,73.439983
L,73.439983
P,73.809214
P,73.809214
P,74.186572
P,74.186572
O,75.357742
N,75.447832
G,75.537922
L,75.635961
G,75.635961
O,75.722918
L,75.809874
E,75.89683
F,78.1577
H,78.244656
G,78.331612
N,78.434352
I,78.434352
P,78.520559
L,78.606766
L,78.692973
C,81.028101
G,81.115565
L,81.211106
G,81.211106
O,81.297812
L,81.384517
G,81.471222
O,83.647952
L,83.647952
O,83.826524
N,83.91581
L,84.008689
G,84.008689
O,84.095898
L,84.183107
L,84.270316
C,86.635708
G,86.723684
L,86.820772
G,86.820772
O,86.906979
L,86.993186
L,87.079393
I,88.211431
L,88.211431
O,89.424342
N,89.511552
K,89.602737
N,89.602737
L,89.688944
K,89.775151
L,89.861358
I,90.982049
N,92.195923
I,92.282628
J,92.374092
O,92.460298
L,92.546506
L,92.632712
I,93.753404
L,93.753404
O,94.960302
N,95.046508
G,95.136329
P,95.222536
L,95.308743
L,95.39495
I,96.515641
N,97.74013
P,97.827593
K,97.919336
P,98.005543
L,98.09175
L,98.177957
I,99.298648
L,99.298648
O,100.42435
N,100.51156
G,100.598769
L,100.68913
G,100.68913
O,100.775338
L,100.861544
L,100.947752
G,101.033958
N,101.120166
G,103.457905
L,103.457905
O,105.788065
L,105.876255
I,105.967164
L,106.058073
G,106.148982
J,106.239891
K,106.239891
O,106.326597
L,106.413302
L,106.500007
E,106.586712
C,106.673418
F,108.595972
B,108.684207
C,108.772702
H,108.861198
G,108.949955
L,109.043705
K,109.043705
