motifs,time
O,0.818182
N,0.818182
H,0.818182
I,0.927939
N,0.927939
H,0.927939
I,1.036636
N,1.036636
H,1.036636
I,1.144163
N,1.144163
H,1.144163
I,1.250547
N,1.250547
H,1.250547
I,1.355811
N,1.355811
H,1.355811
D,1.459979
I,2.059979
L,2.059979
O,2.742931
N,2.742931
P,3.432586
P,3.432586
P,4.155652
O,4.155652
L,4.295187
I,4.295187
O,4.434722
N,4.434722
P,4.574257
P,4.574257
N,4.713792
O,4.713792
P,4.853327
P,4.853327
O,4.992862
N,4.992862
P,5.132397
P,5.132397
N,5.271932
O,5.271932
P,5.411467
P,5.411467
O,5.550356
N,5.550356
P,5.688605
P,5.688605
N,5.826219
O,5.826219
P,5.963206
P,5.963206
O,6.099569
N,6.099569
P,6.235316
P,6.235316
N,6.370451
O,6.370451
P,6.50498
P,6.50498
O,6.638909
N,6.638909
P,6.772242
P,6.772242
N,6.90479
B,6.90479
N,6.90479
G,7.761934
N,7.761934
H,7.761934
I,7.874178
N,7.874178
H,7.874178
I,7.980061
N,7.980061
H,7.980061
I,8.085448
N,8.085448
H,8.085448
I,8.190099
N,8.190099
H,8.190099
I,8.294146
N,8.294146
H,8.294146
D,8.397595
I,8.997595
L,8.997595
O,9.691397
N,9.691397
N,9.691397
G,10.373215
P,10.373215
H,10.373215
D,11.055033
I,11.055033
L,11.193922
I,11.193922
O,11.332811
N,11.332811
N,11.4717
P,11.4717
P,11.610589
O,11.610589
P,11.749478
P,11.749478
O,11.888367
N,11.888367
N,12.027256
P,12.027256
P,12.166145
O,12.166145
P,12.304393
P,12.304393
O,12.442219
N,12.442219
N,12.579625
P,12.579625
P,12.716611
O,12.716611
P,12.852975
P,12.852975
O,12.988927
N,12.988927
N,13.12447
P,13.12447
P,13.259605
O,13.259605
P,13.394134
P,13.394134
O,13.528263
N,13.528263
N,13.661993
P,13.661993
N,13.79513
G,13.79513
N,13.79513
K,14.613312
L,14.719195
E,14.824213
E,14.92838
E,15.031829
E,15.134452
E,15.236148
I,15.836148
K,15.836148
O,16.471069
N,16.471069
N,16.471069
O,17.155066
L,17.155066
O,18.024631
L,18.131775
E,18.237783
E,18.342678
E,18.446486
E,18.549226
E,18.650922
I,19.250922
K,19.250922
O,19.869479
N,19.869479
N,19.869479
I,19.869479
K,20.536146
L,20.536146
O,21.086605
N,21.086605
O,21.35549
N,21.35549
P,21.487262
P,21.487262
P,21.617698
P,21.617698
P,21.746824
P,21.746824
P,21.874485
P,21.874485
P,22.001069
P,22.001069
P,22.126243
P,22.126243
N,22.635465
I,22.635465
O,23.147624
L,23.147624
N,23.788778
L,23.919783
G,24.050787
O,24.181791
N,24.312795
L,24.4438
G,24.574234
O,24.704669
N,24.835104
L,24.965539
G,25.095973
O,25.22622
N,25.356278
L,25.487093
G,25.618672
O,25.751025
N,25.884162
L,26.017892
H,26.152623
I,26.287506
N,26.426383
L,26.574963
G,26.734728
P,26.907481
I,26.907481
O,27.348657
N,27.348657
N,27.649311
E,27.649311
G,27.649311
O,27.99022
L,27.99022
