motifs,time
L,0.416667
L,0.416667
I,0.818005
N,0.818005
L,0.818005
I,1.22557
N,1.62672
L,1.62672
E,1.62672
I,2.02672
N,2.43651
I,2.43651
O,2.770331
L,2.799066
E,2.827802
E,2.856537
I,3.697146
N,4.174442
L,4.174442
E,4.174442
I,4.595495
N,4.595495
E,4.595495
I,5.013628
N,5.468921
L,5.468921
L,5.468921
I,5.886023
N,5.886023
L,5.886023
I,6.305866
N,6.722972
L,6.722972
E,6.722972
I,7.145507
N,7.145507
E,7.145507
I,7.569583
P,7.986975
N,7.986975
P,8.401724
N,8.401724
L,8.401724
G,8.866648
O,9.291535
N,9.291535
H,9.291535
I,9.709653
N,9.709653
H,9.709653
G,10.159855
P,10.666037
J,10.666037
L,10.666037
I,11.083531
N,11.083531
L,11.083531
I,11.503374
N,11.956857
L,11.956857
E,11.956857
I,12.379392
N,12.379392
E,12.379392
I,12.798972
P,13.216364
N,13.216364
P,13.631113
N,13.631113
L,13.631113
G,14.050183
O,14.469763
N,14.469763
H,14.469763
G,15.35545
P,15.780982
L,15.780982
L,15.780982
I,16.186387
N,16.186387
L,16.186387
I,16.595986
N,16.997135
L,16.997135
E,16.997135
I,17.397135
N,17.806925
I,17.806925
O,18.140746
L,18.169482
E,18.198217
E,18.226953
I,19.129394
N,19.608047
L,19.608047
E,19.608047
I,20.0291
N,20.0291
E,20.0291
I,20.447234
N,20.903743
L,20.903743
L,20.903743
I,21.322056
N,21.322056
L,21.322056
I,21.753985
N,22.197471
L,22.197471
E,22.197471
I,22.620006
N,22.620006
E,22.620006
I,23.044082
P,23.461474
N,23.461474
P,23.876223
N,23.876223
L,23.876223
G,24.348013
O,24.779437
N,24.779437
H,24.779437
I,25.203465
N,25.203465
H,25.203465
G,25.669292
P,26.155933
J,26.155933
L,26.155933
I,26.57572
N,26.57572
L,26.57572
I,26.995562
N,27.476777
L,27.476777
E,27.476777
I,27.899312
N,27.899312
E,27.899312
I,28.340619
P,28.778579
N,28.778579
P,29.211796
N,29.211796
L,29.211796
G,29.660961
O,30.107904
N,30.107904
H,30.107904
G,30.99315
O,31.439469
N,31.439469
P,31.875833
P,31.875833
L,32.295413
O,32.74001
N,32.74001
P,33.176374
P,33.176374
K,33.59596
O,34.015095
N,34.015095
P,34.445203
P,34.445203
L,34.881936
O,35.312928
N,35.312928
K,35.750884
O,36.183385
N,36.183385
L,36.608464
O,37.044828
N,37.044828
L,37.469672
O,37.909075
N,37.909075
K,38.324809
O,38.751163
N,38.751163
L,39.171696
O,39.601804
N,39.601804
P,40.038537
N,40.038537
P,40.471038
F,40.471038
G,41.469832
P,41.895364
L,41.895364
L,41.895364
I,42.300769
N,42.300769
L,42.300769
I,42.710368
N,43.111517
L,43.111517
E,43.111517
I,43.511517
N,43.921307
I,43.921307
O,44.255128
L,44.283864
E,44.312599
E,44.341335
I,45.182409
N,45.674477
L,45.674477
E,45.674477
I,46.09553
N,46.09553
E,46.09553
I,46.513664
N,46.995464
L,46.995464
L,46.995464
I,47.413638
N,47.413638
L,47.413638
I,47.833481
N,48.29986
L,48.29986
E,48.29986
I,48.722395
N,48.722395
E,48.722395
I,49.146471
P,49.563863
N,49.563863
P,49.978612
N,49.978612
L,49.978612
G,50.41048
O,50.84005
N,50.84005
H,50.84005
I,51.25963
N,51.25963
H,51.25963
G,51.691285
P,52.186921
J,52.186921
L,52.186921
I,52.604957
N,52.604957
L,52.604957
I,53.0248
N,53.512757
L,53.512757
E,53.512757
I,53.935292
N,53.935292
