motifs,time
N,0.412015
G,0.412015
O,0.823272
N,1.641801
B,2.490912
G,3.303088
P,4.102831
P,4.940469
I,5.760088
L,6.16937
I,6.5876
P,7.43123
N,7.43123
P,8.058721
N,8.266766
C,8.891211
E,9.09788
E,9.714049
I,9.94846
N,9.94846
K,9.94846
O,10.767138
N,10.767138
L,10.767138
F,11.599397
G,11.599397
L,11.599397
O,12.420772
N,12.420772
H,12.420772
I,12.841071
N,12.841071
G,12.841071
L,13.25716
I,13.25716
O,13.25716
N,14.06668
L,14.06668
O,14.06668
P,14.894792
N,14.894792
G,14.894792
O,15.714809
N,15.714809
L,16.349147
H,16.552014
D,16.552014
F,17.177983
H,17.38085
I,17.38085
P,17.997396
L,18.200264
C,18.814187
E,19.012024
G,19.417758
N,19.620626
H,19.828814
I,19.828814
P,20.445337
L,20.646923
C,21.258215
E,21.454834
G,22.063435
L,22.271624
I,22.271624
P,22.478398
N,22.683708
C,22.889019
E,23.09433
F,24.703877
B,24.703877
P,24.911921
N,25.119966
C,25.32801
E,25.536055
I,27.252273
N,27.660397
N,27.660397
L,28.071654
P,28.474432
K,28.474432
O,28.879389
N,29.284739
K,29.284739
O,29.715032
N,30.12307
K,30.12307
O,30.518171
N,30.90962
K,30.90962
O,31.311141
N,31.716492
K,31.716492
O,32.135311
P,32.543435
N,32.543435
L,32.954691
P,33.357469
K,33.357469
O,33.762427
N,34.167777
K,34.167777
O,34.59807
O,35.006107
L,35.203658
E,35.401208
F,35.598759
B,35.662608
C,35.726457
H,35.790305
H,35.990385
H,36.199795
C,36.403766
E,36.617471
F,37.03629
H,37.03629
D,37.23766
E,37.44297
F,37.44297
H,37.44297
D,37.850912
F,37.850912
D,38.053587
F,38.264409
H,38.264409
I,38.264409
P,38.677746
H,38.677746
D,39.102255
F,39.102255
D,39.102255
F,39.515592
H,39.515592
H,39.928929
D,39.928929
F,40.358029
H,40.794088
D,41.237307
F,41.237307
G,41.739904
K,42.327103
O,42.834616
N,43.035877
F,43.231088
B,43.426299
F,43.625079
B,43.82386
F,44.017884
B,44.215461
L,44.420519
G,44.856782
O,45.267403
N,45.466871
F,45.657251
B,45.84763
F,46.044636
B,46.241641
F,46.430868
B,46.63159
L,46.841498
G,47.280866
O,47.694203
N,47.893115
F,48.083495
B,48.273874
F,48.470338
B,48.666802
F,48.856028
B,49.057452
L,49.266744
G,49.702474
O,50.113096
N,50.309585
F,50.500183
B,50.69078
F,50.884854
B,51.078928
F,51.269526
B,51.468491
F,51.679402
D,52.124969
E,52.124969
F,52.768096
G,52.768096
P,52.972066
N,52.972066
I,53.597818
P,53.597818
D,53.800493
F,53.800493
H,54.420682
I,54.420682
L,54.630091
I,54.630091
N,55.455663
B,55.455663
O,57.09562
L,57.09562
F,57.717009
G,57.717009
P,57.92098
N,57.92098
D,58.541109
F,58.541109
D,58.743784
F,58.743784
H,59.362608
I,59.362608
L,59.572017
I,59.572017
L,60.401805
P,60.401805
O,62.033571
P,62.849454
N,63.679199
H,64.496964
D,65.715487
E,66.123428
E,66.514312
I,66.922475
N,67.726686
N,68.54949
H,69.367255
D,70.582853
E,70.988204
E,71.379087
I,71.779247
O,72.179407
N,72.179407
H,72.179407
H,72.569626
I,72.569626
N,72.569626
G,72.959844
L,73.350063
H,73.755413
H,74.163355
I,74.566093
L,74.566093
E,74.566093
F,74.974035
B,74.974035
H,74.974035
F,75.371649
B,75.371649
I,75.371649
N,75.769264
B,75.769264
N,75.769264
I,76.57482
O,76.97498
N,76.97498
H,76.97498
H,77.365198
I,77.365198
N,77.365198
G,77.755417
L,78.145635
H,78.550986
H,78.9486
I,79.344535
L,79.344535
E,79.344535
F,79.747924
B,79.747924
H,79.747924
F,80.141418
B,80.141418
I,80.141418
N,80.520972
B,80.520972
H,80.520972
I,80.921827
N,80.921827
I,80.921827
N,81.299138
B,81.299138
H,81.299138
I,81.692632
N,81.692632
H,81.692632
I,82.069943
N,82.069943
H,82.069943
D,82.461027
C,82.461027
H,82.461027
I,82.836994
N,82.836994
H,82.836994
I,83.210966
N,83.210966
N,83.210966
I,83.584937
N,83.584937
K,83.958909
N,84.344315
G,84.344315
N,84.344315
E,85.092258
E,85.466229
E,85.833606
C,85.833606
H,85.833606
I,86.214365
N,86.57964
B,86.955815
F,87.343613
B,88.119208
N,88.119208
K,88.519368
N,88.929989
G,88.929989
N,88.929989
E,89.720191
E,90.128133
I,90.561408
L,90.561408
P,91.306111
P,91.306111
P,92.054111
P,92.054111
P,92.802111
P,92.802111
P,93.545605
P,93.545605
P,93.924059
P,93.924059
P,94.311856
P,94.311856
P,94.725193
P,94.725193
P,95.167606
P,95.167606
P,95.912309
P,95.912309
P,96.660309
P,96.660309
P,97.408309
P,97.408309
N,98.163149
G,98.163149
L,99.00739
I,99.00739
N,99.956416
G,100.007743
K,100.059071
O,101.566921
N,101.619985
K,101.673048
O,102.401118
N,102.454905
K,102.508691
K,103.31183
N,104.110417
N,105.005072
C,105.005072
H,105.005072
I,107.433314
L,108.236453
I,109.035039
N,109.816692
G,109.873193
K,109.929694
O,111.515852
L,111.515852
O,111.515852
O,112.266116
N,112.321812
K,112.377508
O,113.965023
N,113.965023
I,114.401323
L,114.87369
I,116.477356
N,117.283363
G,117.283363
O,118.08884
N,118.491579
G,118.894317
L,119.297056
H,119.699794
G,119.699794
O,120.676133
N,120.773107
H,120.870082
H,120.967056
H,121.064031
H,121.161005
H,121.257979
H,121.65576
C,122.053461
E,122.449884
E,122.846307
E,123.248919
F,123.646481
H,124.076096
H,124.292359
G,124.508622
L,124.508622
O,125.48496
N,125.581935
H,125.678909
H,125.775884
H,125.872858
H,125.969832
H,126.066807
H,126.462125
C,126.856103
E,127.252526
E,127.648949
E,128.051562
F,128.449124
H,128.878739
H,129.099945
G,129.321151
L,129.321151
O,130.29749
N,130.394464
H,130.491439
H,130.588413
H,130.685387
H,130.782362
H,130.879336
H,131.277117
C,131.674817
E,132.07124
E,132.467663
E,132.870276
F,133.267838
H,133.697453
H,133.913716
