motifs,time
A,0.900428
A,1.350642
A,1.795115
A,2.234217
B,3.049417
F,3.103659
F,3.473977
B,3.52688
I,3.909338
N,3.963975
F,4.792582
D,4.847823
F,5.009962
B,5.064008
I,5.226147
N,5.280193
F,5.662651
D,5.717288
I,6.099746
N,6.154383
F,6.54832
B,6.604597
F,7.852157
D,7.906399
I,9.228547
N,9.66724
N,10.105933
A,10.544626
B,10.761593
P,10.761593
P,11.19017
P,11.19017
P,11.620328
P,11.620328
P,12.059838
P,12.059838
P,12.501762
P,12.501762
P,12.938909
P,12.938909
P,13.372061
P,13.372061
P,13.800638
P,13.800638
P,14.230796
P,14.230796
P,14.670306
P,14.670306
P,15.11223
P,15.11223
P,15.549377
P,15.549377
P,15.993822
P,15.993822
P,16.440838
P,16.440838
P,16.87637
P,16.87637
K,17.038508
N,17.092555
L,17.531248
F,17.969941
A,18.408634
B,18.847327
E,19.281261
F,19.726764
H,20.594632
H,21.038408
H,21.038408
C,21.472342
F,21.906276
A,22.34021
B,22.774144
E,23.198863
F,23.634371
H,24.502239
H,24.946015
G,24.946015
P,25.804612
E,26.236982
C,26.663209
C,27.095579
F,27.538573
G,27.538573
P,28.395618
E,28.834458
C,29.265276
C,29.702371
E,30.161735
F,31.020332
H,31.459948
H,32.327816
D,32.76175
G,33.182807
P,33.615177
L,34.054792
I,34.496025
P,34.931533
N,35.385006
G,35.827026
P,36.27724
L,36.748713
I,37.238594
P,37.723364
K,38.230603
L,38.230603
O,38.715373
N,38.715373
L,38.715373
I,38.947446
P,38.947446
P,39.411591
P,39.411591
P,39.643663
C,39.643663
H,39.643663
I,39.871333
N,39.871333
C,40.319153
C,40.319153
H,40.539304
I,40.539304
P,40.539304
L,40.993337
I,40.993337
N,40.993337
I,41.446955
P,41.446955
L,41.446955
I,41.669556
P,41.669556
P,42.111504
P,42.111504
P,42.350035
C,42.350035
H,42.350035
I,42.575989
N,42.575989
C,43.027898
C,43.027898
C,43.479807
C,43.479807
H,43.705762
I,43.705762
P,43.705762
L,44.152623
I,44.152623
N,44.152623
H,44.599484
I,44.599484
P,44.599484
L,45.058634
H,45.058634
C,45.284588
F,45.736497
A,46.188406
B,46.426937
C,46.652044
F,47.102258
A,47.552472
B,47.791002
C,48.017811
F,48.471429
A,48.925047
B,49.163578
P,49.390387
N,49.844005
A,50.297623
B,50.537105
P,50.992444
N,51.212595
C,51.449244
C,51.904583
C,52.359922
C,52.580073
C,52.817659
C,53.272998
G,53.272998
P,53.728337
N,53.949299
C,54.186885
C,54.642224
G,55.121189
L,55.587136
H,56.087884
I,56.536524
N,56.980609
A,57.421164
A,57.861466
A,58.2954
B,58.740904
C,58.740904
D,59.409665
E,59.634772
F,60.084986
D,60.5352
E,60.959919
E,61.427112
I,61.427112
P,62.317555
F,63.217983
H,64.093429
H,64.093429
D,64.762191
E,64.987298
F,65.437512
D,65.887726
E,66.312445
E,66.779638
I,66.779638
P,67.67008
N,68.570508
D,69.445955
B,69.445955
I,70.114716
N,70.339823
H,70.790037
C,72.132163
F,72.132163
I,72.800925
N,73.026032
H,73.476246
C,73.92646
E,74.351179
I,74.351179
P,74.818372
N,74.818372
I,75.487133
N,75.71224
H,76.162454
C,77.50458
F,77.50458
I,78.173342
N,78.398449
H,78.848663
C,79.298877
E,79.723596
I,79.723596
P,80.190789
E,80.418458
I,83.329077
N,83.789659
F,83.789659
D,84.741854
F,84.741854
D,85.271562
F,85.271562
D,87.531476
E,87.587334
C,87.974017
C,88.029258
C,88.415941
C,88.471182
C,88.857865
C,88.913106
C,89.295564
C,89.350201
C,89.732659
C,89.787296
C,90.169754
C,90.224391
C,90.606849
C,90.661486
F,91.101788
B,91.101788
C,91.547211
C,91.547211
D,91.932476
B,91.987513
F,92.427815
B,92.427815
C,92.873239
C,92.873239
D,93.258503
B,93.313541
F,93.753843
B,93.753843
C,94.189351
C,94.189351
C,94.622514
C,94.622514
C,95.060189
C,95.060189
C,95.490303
C,95.490303
D,95.886552
B,95.945251
E,96.385553
C,96.385553
C,96.822648
C,96.822648
C,97.26394
C,97.26394
C,97.704242
C,97.704242
C,98.141337
C,98.141337
D,98.582629
B,98.582629
F,99.03219
B,99.03219
C,99.469285
C,99.469285
D,99.896305
B,99.896305
F,100.334724
B,100.334724
C,100.76751
C,100.770232
D,101.166481
B,101.22518
F,102.098268
B,102.10099
D,102.528736
F,102.528736
C,102.938029
E,102.996499
F,103.421218
G,103.856726
N,104.729329
E,104.729329
E,105.155605
E,105.155605
F,105.535937
B,105.592426
F,106.017145
G,106.452653
P,106.833722
L,106.887575
F,107.312294
G,107.747802
P,108.128871
L,108.182723
F,108.607442
G,109.04295
O,109.502114
N,109.960935
G,110.455699
O,110.878167
L,110.908343
E,110.938519
F,111.336941
D,111.3654
E,111.393858
F,111.79228
D,111.820739
E,111.849197
F,112.23731
D,112.265032
E,112.292754
F,112.691176
D,112.719635
E,112.748093
F,113.140558
D,113.168591
E,113.196624
F,113.650242
B,113.650242
H,113.650242
D,114.097103
F,114.097103
H,114.097103
D,114.539027
F,114.539027
H,114.539027
D,114.985888
F,114.985888
H,114.985888
I,115.424581
N,115.424581
H,115.424581
I,115.87992
N,115.87992
G,115.87992
P,116.345867
F,116.345867
H,116.345867
I,116.799485
P,116.799485
H,116.799485
I,117.253103
P,117.253103
H,117.253103
D,117.706721
F,117.706721
H,117.706721
I,118.169077
N,118.169077
H,118.169077
I,118.661809
N,118.661809
G,118.661809
L,119.134846
D,119.145597
C,119.584443
C,119.593684
C,120.028
C,120.037241
C,120.471557
C,120.480798
C,120.916623
C,120.925898
C,121.366419
C,121.375799
C,121.821331
D,121.830818
C,122.293133
C,122.302993
C,122.787985
C,122.798336
I,123.349903
L,124.710757
P,125.844802
L,126.081451
C,127.211224
H,127.447873
G,127.447873
P,128.122879
