motifs,time
C,1.247562
F,1.365747
G,2.026556
N,2.60466
E,2.723669
E,3.379975
I,4.076669
N,4.424307
E,4.596025
G,4.765993
L,4.933739
E,5.103287
E,5.280695
E,5.487514
C,6.158426
C,6.734099
F,6.852284
G,7.513093
N,8.091196
E,8.210206
E,8.866511
I,9.563206
N,9.910844
L,10.082562
E,10.252529
E,10.420702
E,10.587665
E,10.754629
E,10.955463
C,11.626375
D,12.202047
E,12.320232
I,12.980655
N,13.074335
E,13.170791
E,13.267166
E,13.364918
E,13.465583
E,13.566203
E,13.700165
F,14.371077
D,14.94675
E,15.064934
I,15.724967
N,15.818427
E,15.914603
E,16.010745
E,16.108337
E,16.208846
E,16.309467
E,16.443429
C,17.104238
H,17.682341
I,17.801351
O,18.457656
N,19.154351
C,19.733459
D,19.822952
F,20.401056
D,20.520066
I,21.106923
N,21.192088
I,21.846456
N,21.965466
E,22.644687
E,23.22279
E,23.3418
I,23.998105
N,24.410442
E,24.493161
E,24.576615
E,24.6948
C,25.189855
H,25.27331
I,25.391495
L,26.718713
I,27.416026
N,28.088806
E,28.666909
E,28.785919
I,29.442224
N,29.854561
E,29.93728
E,30.020734
E,30.138919
C,30.633974
H,30.717429
I,30.815571
L,32.143131
I,32.840445
N,33.513224
E,34.091328
E,34.210338
I,34.883117
P,35.580231
N,36.25301
H,36.923319
H,37.596099
H,38.174203
H,38.293213
G,38.293213
P,38.965992
P,38.965992
P,39.655603
P,39.655603
P,40.35976
P,40.35976
P,41.028831
P,41.028831
L,41.129084
I,41.266664
L,41.401758
E,41.534441
E,41.665804
I,42.496781
N,42.633151
E,42.768722
E,42.903517
E,43.037539
I,43.902136
N,44.073452
J,44.243033
N,44.410954
H,44.576901
H,44.740548
H,44.901885
H,45.060905
H,45.21771
H,45.373392
H,45.529075
H,45.686226
H,45.847026
H,46.010372
H,46.177372
C,46.356472
I,46.557512
P,46.691024
L,46.824535
E,46.957655
E,47.090457
I,47.914483
N,48.050853
L,48.186423
E,48.321218
E,48.45524
I,49.257159
N,49.422713
L,49.586193
E,49.745694
E,49.905138
F,50.06624
H,50.226
H,50.384078
H,50.540506
H,50.695553
H,50.850431
H,51.005946
H,51.161629
H,51.320544
H,51.485095
H,51.658539
H,51.851288
I,51.987111
L,52.122935
E,52.25709
E,52.389892
I,53.227708
N,53.330796
E,53.431157
E,53.529312
E,53.624226
E,53.719495
E,53.812481
I,54.576849
N,54.714227
L,54.851315
E,54.985129
E,55.117931
I,55.960695
N,56.064287
E,56.164648
E,56.262803
E,56.360346
E,56.458461
E,56.553974
I,57.331547
N,57.465058
L,57.59857
E,57.731689
E,57.864492
I,58.703112
N,58.817709
L,58.929273
E,59.039429
E,59.148351
E,59.256068
F,59.468326
B,59.574968
H,59.682578
H,59.791109
H,59.90057
H,60.011056
I,60.123913
L,60.235477
E,60.345633
E,60.454555
E,60.562272
E,60.668777
F,60.774362
H,60.879948
H,60.985533
H,61.091119
C,61.196704
C,61.30229
H,61.407875
H,61.513461
D,61.619046
C,61.724632
H,61.830217
H,61.93567
C,62.041527
C,62.148825
H,62.257676
H,62.368052
H,62.48468
H,62.613028
I,62.724288
L,62.835547
E,62.94677
E,63.057438
E,63.168107
F,63.39523
B,63.511686
H,63.628141
H,63.744596
H,63.867271
G,63.990839
P,64.103697
L,64.215261
E,64.325416
E,64.434339
E,64.542056
F,64.754314
B,64.860956
H,64.968566
H,65.077097
G,65.186558
O,65.297044
N,65.297044
H,65.297044
H,65.947239
D,66.054466
E,66.161694
E,66.268921
E,66.376148
E,66.483375
E,66.590602
C,66.697829
H,66.805057
H,66.912284
H,67.019511
H,67.126738
G,67.233828
P,67.340953
L,67.449262
E,67.559166
E,67.673518
G,67.792957
O,67.912228
N,68.023488
L,68.134747
E,68.24597
E,68.356638
E,68.467307
F,68.693143
B,68.80831
H,68.923478
H,69.038645
H,69.160093
G,69.282734
P,69.395591
L,69.507155
E,69.61731
E,69.726233
E,69.83395
F,70.046208
B,70.15285
H,70.26046
H,70.368991
G,70.478452
O,70.588938
N,70.588938
H,70.588938
H,71.239133
D,71.346361
E,71.453588
E,71.560815
E,71.668042
E,71.775269
E,71.882496
C,71.97498
H,72.066123
H,72.158606
H,72.25109
H,72.343573
H,72.436057
H,72.525722
I,72.632847
L,72.741164
E,72.850698
E,72.961478
G,73.073535
O,73.186934
N,73.298193
L,73.409453
E,73.520675
E,73.631344
E,73.742012
F,73.9632
B,74.072982
H,74.182656
H,74.292329
H,74.408132
G,74.526354
N,74.639211
L,74.750775
E,74.86093
E,74.969853
E,75.07757
F,75.289828
B,75.39647
H,75.50408
H,75.612611
G,75.722072
N,75.832558
E,75.943817
E,76.055077
E,76.166336
E,76.277012
E,76.387396
E,76.497479
E,76.60698
E,76.716473
E,76.825436
E,76.934357
E,77.042789
E,77.151143
E,77.25904
E,77.366821
E,77.474603
E,77.582385
E,77.690167
E,77.797949
E,77.905867
E,78.014391
E,78.123411
E,78.233045
E,78.343194
E,78.453966
C,79.118888
G,79.118888
L,79.118888
I,79.772551
P,79.772551
L,79.772551
I,80.419529
P,80.419529
L,80.419529
I,80.922556
P,80.922556
K,81.164978
N,81.272874
L,81.380656
E,81.488438
E,81.59622
E,81.704001
E,81.811783
E,81.919701
E,82.028225
C,82.137246
H,82.246879
H,82.357029
H,82.467801
H,82.575697
H,82.683479
H,82.791261
G,82.899042
P,83.006824
L,83.114606
E,83.222524
E,83.331048
E,83.440069
E,83.549702
E,83.659852
E,83.770374
C,83.878097
H,83.987365
H,84.09857
H,84.211422
H,84.32634
H,84.443541
H,84.562032
G,84.679782
P,84.7968
L,84.913222
E,85.028928
E,85.144768
C,85.262165
H,85.378962
C,85.495106
E,85.610639
E,85.726318
E,85.845028
C,85.966948
H,86.091496
C,86.218349
E,86.348717
E,86.482836
E,86.627642
F,87.321423
C,87.90716
F,88.025345
G,88.686154
N,89.264257
E,89.383267
E,90.039572
I,90.736267
N,91.083905
L,91.255623
E,91.42559
E,91.593763
E,91.760726
E,91.92769
E,92.128524
C,92.799436
D,93.375108
E,93.493293
I,94.153716
N,94.247396
E,94.343852
E,94.440227
E,94.537979
E,94.638644
E,94.739264
E,94.873226
F,95.544138
D,96.119811
E,96.237995
I,96.898028
N,96.991488
E,97.087664
E,97.183806
E,97.281398
E,97.381907
E,97.482528
E,97.61649
C,98.277299
H,98.855402
I,98.974412
O,99.630717
N,100.327412
C,100.90652
D,100.996013
F,101.574117
D,101.693127
I,102.294909
N,102.393148
I,103.036769
N,103.155779
E,103.828558
E,104.406662
E,104.525672
I,105.181977
N,105.594314
E,105.677032
E,105.760487
E,105.878672
C,106.373727
H,106.457182
I,106.575366
L,107.902585
I,108.599898
N,109.272677
E,109.850781
E,109.969791
I,110.626096
N,111.038433
E,111.121151
E,111.204606
E,111.322791
C,111.817846
H,111.901301
I,111.999443
L,113.327003
I,114.024316
N,114.697096
E,115.2752
E,115.394209
I,116.066989
P,116.764103
N,117.436882
H,118.107191
H,118.779971
H,119.358074
H,119.477084
G,119.477084
P,120.149864
P,120.149864
P,120.846977
P,120.846977
P,121.526887
P,121.526887
P,122.185343
P,122.185343
L,122.283019
I,122.398351
L,122.510222
E,122.619924
E,122.730593
E,122.841261
I,123.628608
N,123.742322
L,123.855445
E,123.968033
E,124.080091
E,124.191617
I,124.981854
N,125.147408
J,125.310888
N,125.470389
H,125.630701
H,125.789123
H,125.944973
H,126.098402
H,126.249405
H,126.39936
H,126.552182
H,126.705102
H,126.858406
H,127.017746
H,127.182297
C,127.350846
I,127.530758
P,127.66427
L,127.797781
E,127.930901
E,128.063703
I,128.873184
N,129.009554
E,129.145125
E,129.279919
E,129.413941
I,130.22643
N,130.391984
J,130.555464
N,130.714965
H,130.874409
H,131.032816
H,131.189621
H,131.344666
H,131.498177
H,131.65035
H,131.802511
H,131.954672
H,132.107178
H,132.266518
H,132.431069
C,132.599618
I,132.779531
P,132.89079
L,133.00205
E,133.113272
E,133.223941
F,133.334609
H,133.445278
H,133.555797
H,133.665579
H,133.775252
H,133.884925
H,134.000728
H,134.121956
D,134.207241
E,134.292527
E,134.377812
E,134.465802
E,134.553647
E,134.641001
E,134.727991
I,135.533619
N,135.644879
L,135.756138
E,135.867361
E,135.978029
F,136.088698
H,136.199366
H,136.309886
H,136.419668
H,136.529341
H,136.639014
H,136.754817
H,136.876044
D,136.96133
E,137.046615
E,137.131901
E,137.219891
E,137.307736
E,137.39509
E,137.48208
I,138.284668
P,138.373193
N,138.461046
H,138.548084
I,138.974135
N,139.061173
H,139.147725
H,139.233676
I,139.655602
N,139.741698
H,139.827967
H,139.913565
I,140.332805
N,140.41852
H,140.503648
H,140.588193
I,141.003017
N,141.086551
H,141.170072
H,141.253147
I,141.662852
N,141.746149
H,141.828895
H,141.911199
I,142.314902
N,142.396243
H,142.477792
H,142.559022
I,142.960336
N,143.041602
H,143.12251
H,143.203
I,143.599305
N,143.599305
H,143.599305
H,144.19278
H,144.19278
H,144.19278
H,144.791164
C,144.791164
C,145.444688
G,145.444688
N,145.444688
I,146.222192
J,146.222192
