motifs,time
P,0.625246
L,1.261778
C,1.889216
G,2.497576
P,2.525818
K,2.55406
L,3.16925
I,3.772693
N,3.8027
K,3.832707
N,5.194074
G,5.194074
P,5.81932
L,6.455852
C,7.08329
G,7.695741
P,7.723984
K,7.752226
L,8.367415
C,9.030872
G,9.030872
L,9.030872
O,10.349754
N,10.349754
L,11.561301
P,11.588962
K,11.616623
L,12.912175
I,12.912175
L,14.123722
P,14.151383
K,14.179044
O,15.391954
N,15.419501
J,15.447049
L,15.474596
I,19.393922
N,19.393922
L,19.393922
O,20.449145
N,20.67527
B,20.67527
O,20.67527
O,21.302707
N,21.302707
I,21.302707
O,21.302707
L,21.971643
I,21.971643
O,21.971643
O,22.599081
N,22.599081
I,22.599081
O,22.599081
L,23.265963
G,23.265963
O,23.891702
N,23.891702
O,24.529818
N,24.529818
K,25.86414
L,25.86414
P,26.489386
L,27.125918
C,27.753356
G,28.361717
P,28.389959
K,28.418201
L,29.03339
I,29.636833
N,29.66684
K,29.696847
N,31.058214
G,31.058214
P,31.68346
L,32.319992
C,32.94743
G,33.559882
P,33.588124
K,33.616366
L,34.231555
C,34.895013
G,34.895013
L,34.895013
O,36.213894
N,36.213894
L,37.425441
P,37.453102
K,37.480763
L,38.776315
I,38.776315
L,39.987862
P,40.015523
K,40.043184
O,41.256095
N,41.283642
J,41.311189
L,41.338736
I,45.258063
N,45.258063
L,45.258063
O,46.313285
N,46.53941
B,46.53941
O,46.53941
O,47.166848
N,47.166848
I,47.166848
O,47.166848
L,47.835784
I,47.835784
O,47.835784
O,48.463221
N,48.463221
I,48.463221
O,48.463221
L,49.130104
G,49.130104
O,49.755842
N,49.755842
O,50.393959
N,50.393959
L,51.728281
G,51.728281
P,52.771995
L,52.990059
E,54.033773
I,54.195113
N,54.223475
L,54.251837
N,56.873265
G,56.873265
P,57.916979
L,58.135043
E,59.178757
I,59.340097
N,59.368459
L,59.396821
O,62.018249
N,62.428633
L,62.63143
E,63.036234
E,63.239054
E,63.651647
E,63.85669
F,64.264093
G,64.393998
N,64.42236
L,64.450722
G,64.479084
N,65.684454
G,66.886772
N,67.297156
L,67.499952
E,67.904756
E,68.107577
E,68.52017
E,68.725212
F,69.132616
G,69.262521
N,69.290883
L,69.319244
G,69.347606
N,70.552976
G,71.105736
P,71.155169
N,71.552426
G,71.703683
L,71.703683
O,71.833016
N,71.833016
L,71.833016
I,73.029055
O,77.902427
N,77.955434
O,78.587781
N,80.426463
L,80.47947
O,81.111817
N,87.3277
B,87.382369
N,87.837984
H,88.088631
G,88.088631
P,88.713877
L,89.350409
C,89.977847
G,90.586207
P,90.614449
K,90.642692
L,91.257881
I,91.861324
N,91.891331
K,91.921338
N,93.282705
G,93.282705
P,93.907951
L,94.544483
C,95.171921
G,95.784372
P,95.812615
K,95.840857
L,96.456046
I,97.059489
N,97.089496
K,97.119503
N,98.438385
B,98.438385
L,99.649932
P,99.677593
K,99.705254
L,101.000806
I,101.000806
L,102.212353
P,102.240014
K,102.267675
N,103.480585
I,103.508132
L,103.53568
E,103.563227
I,104.747113
N,104.774774
L,104.802435
G,104.830096
O,106.043006
P,106.070553
L,106.098101
E,106.125648
I,107.309534
N,107.337195
L,107.364856
G,107.392517
O,108.605427
N,108.632974
L,108.660522
L,108.688069
I,112.707429
L,113.762652
D,113.988777
B,113.988777
O,114.616214
N,114.616214
L,115.28515
I,115.28515
O,115.28515
O,115.912588
N,115.912588
L,116.57947
G,116.57947
O,117.205209
N,117.205209
O,117.843325
N,117.843325
J,119.177647
K,119.177647
P,120.221361
L,120.439425
E,121.483139
I,121.64448
N,121.672842
L,121.701203
N,124.322632
G,124.322632
P,125.366345
L,125.58441
E,126.628123
I,126.789464
N,126.817826
L,126.846188
O,129.467616
N,129.878
L,130.080796
E,130.4856
E,130.68842
E,131.101014
E,131.306056
F,131.71346
G,131.843365
N,131.871727
L,131.900088
G,131.92845
N,133.13382
G,134.336139
N,134.746523
L,134.949319
E,135.354123
E,135.556943
E,135.969536
E,136.174579
F,136.581982
G,136.711887
N,136.740249
L,136.768611
G,136.796973
N,138.002343
G,138.555103
P,138.604536
N,139.001792
G,139.15305
L,139.15305
O,139.282382
N,139.282382
L,139.282382
I,140.478421
O,145.351793
N,145.4048
O,146.037148
N,147.875829
L,147.928837
O,148.561184
N,154.777066
B,154.831735
N,155.28735
H,155.537998
G,155.537998
P,156.163243
L,156.799776
C,157.427213
G,158.035574
P,158.063816
K,158.092058
L,158.707247
I,159.31069
N,159.340697
K,159.370705
N,160.732072
G,160.732072
P,161.357317
L,161.99385
C,162.621287
G,163.233739
P,163.261981
K,163.290223
L,163.905412
I,164.508856
N,164.538863
K,164.56887
N,165.887751
B,165.887751
L,167.099298
P,167.126959
K,167.15462
L,168.450172
I,168.450172
L,169.661719
P,169.68938
K,169.717041
N,170.929952
I,170.957499
L,170.985046
E,171.012593
I,172.196479
N,172.22414
L,172.251801
G,172.279462
O,173.492373
P,173.51992
L,173.547467
E,173.575014
I,174.7589
N,174.786561
L,174.814222
G,174.841883
O,176.054794
N,176.082341
L,176.109888
L,176.137435
I,180.156796
L,181.212018
D,181.438143
B,181.438143
O,182.065581
N,182.065581
L,182.734517
I,182.734517
O,182.734517
O,183.361955
N,183.361955
L,184.044955
G,184.044955
O,184.729887
N,184.729887
O,185.516601
N,185.516601
