motifs,time
L,0.372733
G,0.495826
O,1.53321
N,1.647757
L,1.762901
O,2.005761
N,2.11963
K,2.233499
O,2.472106
N,2.585117
G,2.698129
O,2.93579
N,3.048378
K,3.160965
O,3.400524
N,3.513111
G,3.625698
P,3.885407
N,4.009652
L,4.133896
G,4.25699
O,5.294373
N,5.40892
L,5.524064
P,5.785633
P,5.909878
L,6.034122
G,6.157216
O,7.194599
N,7.309146
L,7.42429
O,7.66715
N,7.781019
L,7.894889
O,8.604957
N,8.721934
K,8.838912
O,9.597351
N,9.726406
K,9.85546
O,10.725039
N,10.868952
O,11.179106
O,11.968317
L,12.092561
L,12.216806
G,12.339899
O,13.377283
N,13.49183
L,13.606974
O,13.849834
N,13.963703
K,14.077572
O,14.316179
N,14.42919
G,14.542202
O,14.779863
N,14.892451
K,15.005038
O,15.244597
N,15.357184
G,15.469771
P,15.72948
N,15.853725
L,15.977969
G,16.101062
O,17.138446
N,17.252993
L,17.368137
P,17.629706
P,17.753951
L,17.878195
G,18.001288
O,19.038672
N,19.153219
L,19.268363
O,19.511223
N,19.625092
L,19.738962
O,20.44903
N,20.566007
K,20.682984
O,21.441424
N,21.570478
K,21.699533
O,22.562717
N,22.713024
O,23.085143
P,24.129282
L,24.260596
L,24.39191
O,26.041749
N,26.158272
P,26.519234
P,26.635306
P,26.993841
N,27.109913
P,27.469432
P,27.585057
O,27.95787
N,28.076232
K,28.194594
O,28.951787
N,29.07351
K,29.195234
O,29.444755
N,29.567979
K,29.691202
O,29.962132
N,30.096481
K,30.229097
N,31.032197
I,31.166129
K,31.29836
O,32.096575
N,32.227889
L,32.359203
O,34.009041
N,34.125564
P,34.486526
P,34.602598
P,34.961134
N,35.077206
P,35.436725
P,35.55235
O,35.925163
N,36.043524
K,36.161886
O,36.919079
N,37.040803
K,37.162526
O,37.412048
N,37.535271
K,37.658495
O,37.936982
N,38.064936
K,38.192889
O,38.995038
N,39.12465
K,39.254262
O,39.525192
N,39.657083
K,39.788974
O,40.067664
N,40.200088
K,40.330222
O,41.121432
N,41.25274
K,41.380564
O,42.169643
N,42.301177
K,42.430631
O,43.245226
N,43.375435
L,43.506428
O,44.195395
J,44.195395
O,44.31964
L,44.443884
G,44.568128
O,45.728605
N,45.843152
L,45.958296
O,46.201156
N,46.315026
K,46.428895
O,46.667501
N,46.780513
G,46.893524
O,47.131186
N,47.243773
K,47.35636
O,47.595919
N,47.708507
G,47.821094
P,48.080803
N,48.205047
L,48.329291
G,48.452385
O,49.489768
N,49.604316
L,49.71946
P,49.981029
P,50.105273
L,50.229517
G,50.352611
O,51.389994
N,51.504541
L,51.619686
P,51.870267
N,51.994511
L,52.118755
G,52.241849
O,53.279232
N,53.393779
L,53.508923
O,53.751783
N,53.865653
L,53.979522
O,54.68959
N,54.806568
K,54.923545
O,55.681984
N,55.811039
K,55.940093
O,56.809672
N,56.953585
O,57.263739
N,58.06002
L,58.191334
L,58.322648
O,59.972487
N,60.08901
P,60.449972
P,60.566044
P,60.924579
N,61.040651
P,61.40017
P,61.515795
O,61.888608
N,62.00697
K,62.125332
O,62.882525
N,63.004248
K,63.125972
O,63.375493
N,63.498717
K,63.62194
O,63.89287
N,64.027219
K,64.159835
N,64.962935
I,65.096867
K,65.229098
O,66.027313
N,66.158627
L,66.289941
O,67.939779
N,68.056302
P,68.417264
P,68.533336
P,68.891872
N,69.007944
P,69.367463
P,69.483088
O,69.855901
N,69.974262
K,70.092624
O,70.849817
N,70.971541
K,71.093264
O,71.342786
N,71.466009
K,71.589233
O,71.86772
N,71.995674
K,72.123627
O,72.925776
N,73.055388
K,73.185
O,73.45593
N,73.587821
K,73.719712
O,73.998402
N,74.130825
K,74.26096
O,75.05217
N,75.183478
K,75.311302
O,76.100381
N,76.231915
K,76.361369
O,77.175964
N,77.306173
L,77.437166
O,78.126133
J,78.126133
O,78.250378
L,78.374622
G,78.498866
O,79.659343
N,79.77389
L,79.889034
O,80.131894
N,80.245764
K,80.359633
O,80.598239
N,80.711251
G,80.824262
O,81.061924
N,81.174511
K,81.287098
O,81.526657
N,81.639245
G,81.751832
P,82.011541
N,82.135785
L,82.260029
G,82.383123
O,83.420506
N,83.535053
L,83.650198
P,83.911767
P,84.036011
L,84.160255
G,84.283349
O,85.320732
N,85.435279
L,85.550423
P,85.801005
N,85.925249
L,86.049493
G,86.172587
O,87.20997
N,87.324517
L,87.439661
O,87.682521
N,87.796391
L,87.91026
O,88.620328
N,88.737306
K,88.854283
O,89.612722
N,89.741777
K,89.870831
O,91.859849
N,91.986186
L,92.112523
O,92.935019
N,93.067493
K,93.199966
O,94.060223
N,94.202768
K,94.345313
O,95.299822
N,95.457335
O,96.034664
