motifs,time
F,0.252568
B,0.252568
H,0.505136
I,0.505136
N,0.770552
B,0.770552
D,1.027644
B,1.027644
F,1.53509
B,1.53509
D,1.776054
B,1.776054
C,2.017018
D,2.017018
F,2.258328
H,2.258328
I,3.006949
N,3.259517
B,3.512085
C,3.777501
F,4.034593
B,4.542039
H,4.784973
D,4.906441
E,5.041661
F,5.284974
B,5.766399
P,6.045832
N,6.045832
D,6.2984
B,6.2984
I,6.550968
P,6.550968
N,6.816384
B,6.816384
D,7.073476
B,7.073476
F,7.5847
B,7.5847
D,7.8247
B,7.8247
C,8.0647
D,8.0647
C,8.305086
D,8.305086
E,9.053036
F,9.305604
B,9.558172
C,9.823589
F,10.08068
B,10.588126
H,10.830062
D,10.95103
E,11.08625
F,11.329563
B,11.810988
K,12.089517
N,12.342085
B,12.594653
C,12.860069
F,13.117161
B,13.628385
N,13.628385
P,13.869349
P,13.869349
N,14.114312
G,14.114312
P,14.357625
P,14.357625
P,14.601026
P,14.601026
O,15.117579
N,15.370147
B,15.622715
C,15.888131
F,16.145223
B,16.652669
N,16.652669
P,16.895603
P,16.895603
P,17.141171
P,17.141171
P,17.384483
P,17.384483
N,17.628445
B,17.628445
L,18.120122
I,18.120122
N,18.362585
B,18.362585
P,18.603549
P,18.603549
N,18.84648
B,18.84648
N,19.087366
B,19.087366
L,19.577505
I,19.577505
N,19.819968
L,19.819968
F,20.060932
B,20.060932
D,20.305381
I,20.305381
N,20.546267
B,20.546267
N,20.787154
B,20.787154
P,21.045933
P,21.045933
P,21.294133
P,21.294133
P,21.542334
P,21.542334
P,21.790534
P,21.790534
N,22.043102
B,22.043102
N,22.29567
B,22.29567
P,22.569259
E,22.569259
C,22.82172
C,22.82172
F,23.074182
B,23.074182
P,23.339598
N,23.339598
D,23.59669
B,23.59669
F,24.107914
B,24.107914
C,24.347914
C,24.347914
D,24.587914
C,24.587914
F,24.8283
B,24.8283
E,25.57625
F,25.828818
B,26.081386
C,26.346803
F,26.603894
B,27.11134
H,27.353276
D,27.474244
E,27.609464
F,27.852777
B,28.334201
K,28.612731
N,28.865299
B,29.117867
C,29.383283
F,29.640375
B,30.151599
N,30.151599
N,30.392563
B,30.392563
N,30.637526
B,30.637526
N,30.880839
G,30.880839
P,31.124239
P,31.124239
O,31.640793
N,31.893361
B,32.145929
C,32.411345
F,32.668437
B,33.175883
N,33.175883
P,33.418817
P,33.418817
P,33.664385
P,33.664385
P,33.907697
P,33.907697
P,34.151659
P,34.151659
N,34.643336
B,34.643336
N,34.885799
B,34.885799
P,35.126763
P,35.126763
N,35.369694
G,35.369694
P,35.61058
P,35.61058
P,36.100719
O,36.100719
N,36.343182
B,36.343182
H,36.584146
D,36.584146
F,36.828595
G,36.828595
N,37.069481
B,37.069481
P,37.310368
P,37.310368
P,37.569147
P,37.569147
P,37.817347
P,37.817347
P,38.065548
P,38.065548
N,38.313748
B,38.313748
N,38.566316
B,38.566316
N,38.818884
B,38.818884
P,39.104185
E,39.104185
F,39.356646
B,39.356646
H,39.609108
I,39.609108
N,39.874524
C,39.874524
C,40.131616
C,40.131616
F,40.639062
B,40.639062
C,40.880026
C,40.880026
D,41.12099
C,41.12099
F,41.3623
B,41.3623
E,42.110921
F,42.363489
B,42.616057
C,42.881473
F,43.138565
B,43.646011
H,43.888945
D,44.010412
E,44.145633
F,44.388945
B,44.87037
P,45.149803
N,45.149803
C,45.402371
C,45.402371
C,45.654939
I,45.654939
P,45.920356
N,45.920356
D,46.177447
B,46.177447
F,46.688671
B,46.688671
C,46.928671
C,46.928671
D,47.168671
C,47.168671
D,47.409058
C,47.409058
H,48.157008
C,48.157008
C,48.901875
H,48.901875
D,49.703451
B,49.703451
N,49.703451
N,50.719479
H,50.719479
G,50.719479
O,50.972047
P,50.972047
N,50.972047
P,51.224615
P,51.224615
G,51.224615
P,51.490032
C,51.490032
I,51.490032
P,51.7426
N,51.7426
G,51.7426
P,51.995168
P,51.995168
O,51.995168
N,52.260584
G,52.260584
O,52.260584
L,53.064128
P,53.064128
O,53.925924
L,53.925924
