motifs,time
P,1.837782
F,2.156592
D,2.802015
I,2.802015
P,3.11419
F,3.436424
I,4.060924
L,4.060924
F,4.219486
H,4.382352
G,4.699477
N,4.699477
F,4.858039
H,5.02639
G,5.382769
N,5.767088
I,5.767088
O,6.791136
N,6.791136
P,7.104944
F,7.423754
D,8.069178
I,8.069178
P,8.381353
F,8.703587
I,9.328086
L,9.328086
F,9.486648
H,9.649515
G,9.966639
N,9.966639
F,10.125202
H,10.293552
G,10.65688
N,11.066611
I,11.066611
O,12.098192
N,12.098192
P,12.412
L,12.729675
F,13.363697
G,13.363697
P,13.67685
F,13.994198
D,14.330312
I,14.735772
L,14.901886
O,15.067998
N,15.409684
L,15.575797
O,15.74191
N,16.081661
L,16.272016
O,16.476655
N,17.527884
L,17.527884
P,17.841691
L,18.159366
F,18.793389
G,18.793389
P,19.106541
F,19.423889
D,19.760004
F,20.168223
G,20.338098
O,20.507974
N,20.868118
L,21.042943
O,21.217768
N,21.643361
L,21.902026
O,22.221243
J,23.587525
N,23.669671
I,24.901873
N,24.984019
G,25.958021
J,25.958021
P,26.271828
F,26.590638
D,27.236062
I,27.236062
P,27.548237
F,27.870471
H,28.49497
C,28.49497
F,28.653533
H,28.816399
G,29.133524
N,29.133524
F,29.292086
H,29.460436
G,29.822767
N,30.20581
I,30.20581
O,31.22616
N,31.22616
P,31.539967
L,31.857642
F,32.491665
G,32.491665
P,32.804817
F,33.122165
D,33.45828
I,33.855684
L,34.021796
O,34.18791
N,34.529595
L,34.695708
O,34.861821
N,35.225502
L,35.428232
O,35.647242
N,36.690467
L,36.690467
P,37.004274
L,37.32195
F,37.955972
G,37.955972
P,38.269124
F,38.586472
D,38.922587
F,39.339312
G,39.509187
O,39.679063
N,40.039207
L,40.214032
O,40.388857
N,40.820574
L,41.079239
O,41.370558
J,42.741668
N,42.823815
I,44.056016
N,44.138163
G,45.112164
J,45.112164
P,45.425972
F,45.744782
G,46.390205
J,46.390205
P,46.70238
F,47.024614
I,47.649114
L,47.649114
F,47.807676
H,47.970542
G,48.287667
N,48.287667
F,48.446229
H,48.628489
G,49.051105
N,49.65291
I,49.65291
