motifs,time
P,0.574713
N,1.136862
C,1.699011
F,2.259508
D,2.830225
F,3.386612
H,3.944771
H,4.504666
C,5.073056
C,5.631844
G,5.631844
P,6.19365
E,6.763729
C,7.332118
C,7.906942
I,7.906942
L,8.527746
G,8.527746
O,9.135444
N,9.135444
P,9.710156
N,10.272306
C,10.834454
F,11.394952
D,11.965668
F,12.522056
H,13.080214
H,13.64011
C,14.2085
C,14.767288
G,14.767288
P,15.329094
E,15.899172
C,16.467562
C,17.042385
I,17.042385
L,17.663189
G,17.663189
O,18.270887
N,18.270887
O,19.104285
L,19.291668
E,19.479051
F,19.663553
C,19.848055
F,20.130344
C,20.176612
C,20.22288
H,20.40795
C,20.598306
I,21.17996
N,21.17996
N,21.74448
G,21.74448
P,22.306629
L,22.867126
I,22.867126
L,23.437843
G,23.437843
O,23.625226
L,23.810297
E,23.995368
F,24.178742
C,24.362116
F,24.644405
C,24.690673
C,24.73694
H,24.922012
C,25.112367
I,25.694022
N,25.694022
N,26.258541
G,26.258541
P,26.82069
L,27.381188
I,27.381188
L,27.951904
G,27.951904
O,28.526789
N,28.526789
L,29.097505
G,29.097505
O,29.656075
N,29.656075
L,30.21798
G,30.21798
O,30.779349
N,30.779349
L,31.341253
G,31.341253
O,31.902623
N,31.902623
L,32.464924
G,32.464924
P,33.012718
G,33.012718
O,33.571058
N,33.571058
K,34.128256
L,34.128256
O,34.690196
N,34.690196
N,35.262246
I,35.262246
O,35.824185
N,35.824185
K,36.385519
L,36.385519
O,36.939133
N,36.939133
N,37.495182
I,37.495182
O,38.051239
N,38.051239
K,38.606154
L,38.606154
O,39.1586
N,39.1586
L,39.715222
G,39.715222
O,40.277162
N,40.277162
N,40.838496
I,40.838496
O,41.400435
N,41.400435
L,41.961769
G,41.961769
O,42.523709
N,42.523709
L,43.085043
G,43.085043
L,43.646983
G,43.646983
K,44.770256
L,44.770256
P,45.335378
N,45.897527
A,46.458024
A,47.028741
B,47.592156
N,48.156066
A,48.716563
A,49.28728
B,49.474663
N,49.662046
E,49.849429
F,50.0345
C,50.22247
F,50.502975
C,50.549243
C,50.595511
H,50.780582
C,50.970937
F,51.354271
H,51.729037
D,51.913539
E,52.102099
F,52.289482
C,52.476865
F,52.756784
C,52.803051
C,52.849319
H,53.03439
C,53.224746
F,53.608079
H,53.982845
D,54.170228
E,54.357611
F,54.540985
C,54.73014
F,55.011831
C,55.058098
C,55.104366
H,55.289437
C,55.479793
C,55.667176
C,55.854559
F,56.134477
C,56.180745
C,56.227013
H,56.412084
C,56.602439
C,56.784699
C,56.972082
F,57.252001
C,57.298268
C,57.344536
H,57.529607
C,57.719963
F,58.103296
H,58.478062
C,58.663133
E,58.853489
F,59.040872
C,59.228255
F,59.508173
C,59.554441
C,59.600709
H,59.78578
C,59.976135
F,60.359469
H,60.734235
D,60.919306
E,61.109661
F,61.293035
C,61.481596
F,61.762692
C,61.808959
C,61.855227
H,62.040298
C,62.230654
F,62.613987
H,62.988753
D,63.173824
E,63.365395
F,63.549897
C,63.737867
F,64.018373
C,64.06464
C,64.110908
H,64.295979
C,64.486335
C,64.673718
C,64.861101
F,65.141019
C,65.187287
C,65.233555
H,65.418626
C,65.608981
C,65.796364
C,65.983747
F,66.263666
C,66.309933
C,66.356201
H,66.541272
C,66.731628
F,67.114961
H,67.500888
G,67.500888
P,67.692459
P,67.692459
P,67.891662
P,67.891662
N,68.081416
O,68.081416
O,68.271169
N,68.271169
P,68.645994
P,68.645994
N,68.831065
O,68.831065
O,69.02142
N,69.02142
P,69.404754
P,69.404754
N,69.77952
O,69.77952
P,69.971091
P,69.971091
P,70.170294
P,70.170294
N,70.358264
O,70.358264
O,70.546234
N,70.546234
P,70.919275
P,70.919275
N,71.104346
O,71.104346
O,71.294701
N,71.294701
P,71.678035
P,71.678035
N,72.052801
O,72.052801
P,72.244372
P,72.244372
P,72.443575
P,72.443575
N,72.631545
O,72.631545
O,72.819515
N,72.819515
P,73.192556
P,73.192556
N,73.377627
O,73.377627
O,73.567982
N,73.567982
N,73.751918
O,73.751918
O,73.940479
N,73.940479
P,74.31411
P,74.31411
N,74.499181
O,74.499181
O,74.689537
N,74.689537
N,74.877507
O,74.877507
O,75.065477
N,75.065477
P,75.438518
P,75.438518
N,75.623589
O,75.623589
O,75.813944
N,75.813944
P,76.197278
P,76.197278
N,76.985785
P,76.985785
G,76.985785
L,77.555774
C,77.555774
G,77.555774
L,78.116271
F,78.116271
G,78.116271
L,78.686988
C,78.686988
G,78.686988
L,79.263794
F,79.263794
G,79.263794
L,79.833783
C,79.833783
G,79.833783
L,80.39428
F,80.39428
G,80.39428
L,80.964997
C,80.964997
G,80.964997
L,81.57157
P,81.57157
G,81.57157
J,82.141559
P,82.141559
L,82.141559
G,82.702057
P,82.702057
G,82.702057
J,83.279389
P,83.279389
L,83.279389
G,83.856195
P,83.856195
G,83.856195
J,84.426184
P,84.426184
L,84.426184
G,84.986681
P,84.986681
G,84.986681
J,85.564699
P,85.564699
L,85.564699
G,86.142717
P,86.142717
G,86.142717
J,86.721322
P,86.721322
L,86.721322
G,87.28182
P,87.28182
G,87.28182
J,87.860425
P,87.860425
L,87.860425
G,88.436934
P,88.436934
G,88.436934
J,89.056589
P,89.056589
L,89.056589
G,89.670505
O,89.670505
P,90.245218
N,90.807367
C,91.369516
E,91.930013
I,91.930013
P,92.50073
N,93.062879
C,93.625028
E,94.185525
I,94.185525
O,94.943625
L,95.131008
E,95.318391
F,95.502893
C,95.687395
F,95.969684
C,96.015951
C,96.062219
H,96.24729
C,96.437646
I,97.0193
N,97.0193
N,97.58382
G,97.58382
P,98.145969
L,98.706466
I,98.706466
L,99.277183
G,99.277183
O,99.464566
L,99.650209
E,99.833025
F,100.017527
C,100.202029
F,100.487366
C,100.533634
C,100.579902
H,100.764973
C,100.955328
I,101.536983
N,101.536983
N,102.101502
G,102.101502
P,102.663651
L,103.224149
I,103.224149
L,103.794865
G,103.794865
O,104.36975
N,104.36975
L,104.940466
G,104.940466
O,105.499037
N,105.499037
L,106.060941
G,106.060941
O,106.62231
N,106.62231
L,107.179158
G,107.179158
O,107.735551
N,107.735551
L,108.291198
G,108.291198
P,108.835383
G,108.835383
O,109.392006
N,109.392006
K,109.947486
L,109.947486
O,110.504678
N,110.504678
N,111.066221
I,111.066221
O,111.62816
N,111.62816
K,112.189494
L,112.189494
O,112.747258
N,112.747258
N,113.30388
I,113.30388
O,113.861072
N,113.861072
K,114.417121
L,114.417121
O,114.974313
N,114.974313
L,115.530362
G,115.530362
O,116.092302
N,116.092302
N,116.653636
I,116.653636
O,117.215576
N,117.215576
L,117.77691
G,117.77691
O,118.338849
N,118.338849
L,118.900183
G,118.900183
L,119.462123
G,119.462123
K,120.585397
L,120.585397
P,121.150518
N,121.712667
A,122.273165
A,122.843881
B,123.40603
N,123.968179
A,124.528677
A,125.099393
B,125.286776
N,125.471278
E,125.65578
F,125.843163
C,126.030546
F,126.310465
C,126.356732
C,126.403
H,126.588071
C,126.778427
F,127.16176
H,127.536526
D,127.723909
E,127.911292
F,128.093
C,128.284571
F,128.56449
C,128.610757
C,128.657025
H,128.842096
C,129.032452
F,129.415785
H,129.790551
D,129.973925
E,130.164281
F,130.352251
C,130.540221
F,130.820726
C,130.866994
C,130.913262
H,131.098333
C,131.288688
C,131.476071
C,131.663454
F,131.941417
C,131.986707
C,132.031997
H,132.21764
C,132.407996
C,132.595379
C,132.782762
F,133.06268
C,133.108948
C,133.155216
H,133.340287
C,133.530642
F,133.913976
H,134.288742
C,134.473813
E,134.664168
F,134.851551
C,135.038934
F,135.318853
C,135.36512
C,135.411388
H,135.593648
C,135.784004
F,136.167337
H,136.542103
D,136.727174
E,136.91753
F,137.104913
C,137.292296
