motifs,time
F,4.637559
C,5.58994
F,5.58994
D,6.542321
F,6.542321
D,7.494702
F,7.494702
D,8.484217
F,8.484217
D,9.546164
F,9.546164
I,10.554567
P,10.554567
L,11.530177
I,11.530177
N,12.505787
G,12.505787
L,13.54027
I,13.54027
P,14.601846
P,14.601846
O,15.63633
P,16.670812
L,17.638554
E,18.606296
F,19.320582
D,19.558678
F,20.272963
H,20.511058
F,21.46344
I,21.46344
N,22.41582
F,22.41582
D,23.368202
F,23.368202
D,24.350344
E,24.350344
I,25.413624
N,26.485052
F,26.485052
I,26.957494
O,27.461695
P,27.461695
N,28.471239
L,28.471239
D,28.959044
I,29.48536
P,29.48536
P,30.538692
N,30.538692
O,31.726811
O,34.103049
N,34.103049
P,35.040549
N,35.040549
I,35.929438
L,36.818327
I,36.818327
N,37.243859
N,37.688304
D,38.577192
I,38.577192
P,39.466082
L,40.35497
I,40.35497
O,41.307352
L,42.334137
I,42.334137
P,43.223026
N,44.111915
H,45.000804
H,45.889693
H,46.834575
H,47.851524
D,47.851524
F,48.952441
H,48.952441
D,49.540677
F,50.272384
H,50.272384
H,51.298025
I,51.298025
N,52.250406
G,52.250406
P,53.202787
P,53.202787
P,54.155168
P,54.155168
P,55.092668
P,55.092668
P,56.071022
P,56.071022
P,57.142452
P,57.142452
P,58.150854
P,58.150854
L,59.126464
I,59.126464
L,60.102074
I,60.102074
L,61.136558
I,61.136558
P,62.198134
P,62.198134
N,63.289043
K,63.289043
O,65.470861
N,65.470861
P,66.408361
N,66.408361
I,67.29725
L,68.186139
I,68.186139
N,68.611671
N,69.056116
D,69.945004
I,69.945004
P,70.833894
L,71.722782
I,71.722782
O,72.675164
L,73.701949
I,73.701949
P,74.590838
N,75.479727
H,76.368616
H,77.257505
H,78.202387
H,79.219336
D,79.219336
F,80.320253
H,80.320253
D,80.908489
F,81.640196
H,81.640196
H,82.665837
I,82.665837
N,83.618218
G,83.618218
P,84.570599
P,84.570599
P,85.52298
P,85.52298
P,86.46048
P,86.46048
P,87.438834
P,87.438834
P,88.510264
P,88.510264
P,89.518666
P,89.518666
L,90.494276
I,90.494276
L,91.469886
I,91.469886
L,92.50437
I,92.50437
P,94.656855
P,94.656855
N,97.929582
P,97.929582
P,98.717673
P,98.717673
P,99.505764
P,99.505764
N,100.28989
B,100.28989
P,101.071602
P,101.071602
P,101.863825
P,101.863825
N,102.746874
B,102.746874
N,103.530444
B,103.530444
P,104.323229
P,104.323229
P,105.115452
P,105.115452
L,106.002854
I,106.265551
N,106.528248
B,106.78698
P,107.040787
N,107.294594
B,107.568692
P,107.830815
N,108.092938
B,108.360915
P,108.647448
N,108.940274
B,109.2331
P,109.495797
N,109.758494
B,110.017226
P,110.271033
N,110.52484
B,110.807992
P,111.070115
N,111.332238
B,111.600215
P,111.89021
N,112.191869
B,112.495052
L,112.495052
P,113.279178
J,113.279178
O,114.06089
N,114.06089
N,114.853113
I,114.853113
O,115.736162
L,115.736162
P,116.519732
J,116.519732
O,117.312517
N,117.312517
N,118.10474
I,118.10474
K,118.992142
N,118.992142
P,119.776268
J,119.776268
O,120.55798
N,120.55798
N,121.350203
I,121.350203
O,122.233252
L,122.233252
P,123.016822
J,123.016822
O,123.809607
L,123.809607
P,124.593177
J,124.593177
L,125.385962
I,125.385962
N,125.64021
D,125.64021
E,126.208958
G,126.208958
N,126.463206
D,126.463206
I,127.031954
N,127.031954
N,127.286202
D,127.286202
E,127.85495
G,127.85495
N,128.109198
D,128.109198
I,128.677946
L,128.677946
I,129.222188
N,129.222188
G,129.78692
L,129.78692
I,130.32993
N,130.32993
G,130.893336
L,130.893336
I,131.438816
N,131.438816
G,132.046442
L,132.046442
O,132.609848
N,132.609848
L,133.189586
G,133.189586
O,133.759684
N,133.759684
L,134.345078
G,134.345078
O,134.985977
N,134.985977
K,135.550709
N,135.550709
L,135.813406
G,135.813406
O,136.334835
N,136.334835
L,136.588642
G,136.588642
O,137.124189
N,137.124189
L,137.386886
G,137.386886
O,137.908315
N,137.908315
L,138.177385
G,138.177385
O,138.770748
N,138.770748
L,139.033445
G,139.033445
O,139.554874
N,139.554874
L,139.808681
G,139.808681
O,140.344228
N,140.344228
L,140.606925
G,140.606925
O,141.128354
N,141.128354
L,141.407437
G,141.407437
O,142.020496
N,142.283193
N,142.54589
B,142.804622
P,143.058429
N,143.312236
B,143.586334
P,143.848457
N,144.11058
B,144.378557
P,144.66509
N,144.957916
B,145.250742
P,145.513439
N,145.776136
B,146.034868
P,146.288675
N,146.542482
B,146.825634
P,147.087757
N,147.34988
B,147.617857
P,147.907852
N,148.209511
B,148.512694
L,148.512694
P,149.29682
J,149.29682
