motifs,time
P,0.37037
P,0.555555
P,0.74074
P,0.923667
P,1.106594
P,1.289114
P,1.467155
P,1.650641
P,1.832459
P,2.015386
P,2.195566
P,2.377937
P,2.556509
P,2.736689
P,2.912127
P,3.092307
P,3.269822
P,3.450002
P,3.626993
P,3.806098
P,3.985202
P,4.16702
P,4.344535
P,4.526353
P,4.705994
P,4.887812
P,5.065327
P,5.24605
P,5.42252
P,5.600562
P,5.775489
P,5.955669
P,6.131107
P,6.308622
P,6.484061
P,6.663165
P,6.835579
P,7.007993
K,7.350895
N,7.350895
N,7.702877
I,7.702877
N,8.054859
G,8.054859
P,8.406841
G,8.406841
N,8.758823
G,8.758823
O,9.110805
N,9.110805
P,9.288847
P,9.466888
P,9.637343
P,9.807797
O,9.978252
N,10.151662
P,10.329704
P,10.503114
N,10.681156
I,10.859197
P,11.030137
P,11.201077
O,11.372017
N,11.545428
P,11.723469
P,11.89688
N,12.074921
I,12.248332
O,12.421742
N,12.591234
N,12.760725
I,12.931665
O,13.102605
N,13.271145
N,13.439684
I,13.60543
O,13.771409
N,13.939007
N,14.106605
I,14.271895
O,14.437455
N,14.604586
N,14.771717
I,14.946136
P,15.117076
P,15.291494
P,15.462923
P,15.637341
P,15.80877
P,15.983188
P,16.154617
P,16.329035
P,16.500464
C,16.674882
F,16.84631
C,17.020729
F,17.192158
C,17.366576
I,17.538004
P,17.712423
P,17.883852
P,18.05827
P,18.229698
P,18.404117
P,18.575546
N,18.749964
P,18.921392
P,19.095811
P,19.26724
P,19.441658
P,19.613086
P,19.787505
P,19.958934
P,20.133352
P,20.30478
P,20.30478
O,20.479708
N,20.479708
N,20.654634
O,20.654634
N,20.829562
G,20.829562
O,21.004488
N,21.004488
N,21.179416
O,21.179416
N,21.354342
G,21.354342
N,21.529205
G,21.529205
O,21.703254
N,21.703254
N,21.881423
O,21.881423
O,22.057976
N,22.057976
N,22.235596
O,22.235596
N,22.410554
G,22.410554
N,22.587639
G,22.587639
O,22.76103
N,22.76103
N,22.935987
O,22.935987
N,23.106345
G,23.106345
O,23.281302
N,23.281302
N,23.453667
O,23.453667
O,23.628624
N,23.628624
L,23.800485
I,23.800485
N,23.974408
O,23.974408
O,24.148331
N,24.148331
N,24.324884
O,24.324884
N,24.497249
G,24.497249
O,24.672688
N,24.672688
N,24.845102
O,24.845102
O,25.02054
N,25.02054
L,25.192904
I,25.192904
L,25.368394
I,25.368394
N,25.539754
O,25.539754
O,25.712636
N,25.712636
L,25.882502
I,25.882502
N,26.057459
O,26.057459
N,26.227817
G,26.227817
N,26.400182
G,26.400182
O,26.57054
N,26.57054
N,26.744462
O,26.744462
O,26.911882
N,26.911882
N,27.079302
O,27.079302
O,27.243876
N,27.243876
K,27.412254
N,27.412254
L,27.585644
G,27.585644
P,27.754023
L,27.754023
P,27.927414
J,27.927414
O,28.095792
N,28.095792
N,28.269182
I,28.269182
P,28.437561
K,28.437561
O,28.610952
N,28.610952
N,28.77933
I,28.77933
N,28.95272
K,28.95272
O,29.121099
N,29.121099
L,29.29401
I,29.29401
L,29.465438
I,29.465438
N,29.63493
O,29.63493
N,29.804421
G,29.804421
P,29.973912
J,29.973912
P,30.142291
J,30.142291
P,30.315682
K,30.315682
O,30.48406
N,30.48406
N,30.65745
I,30.65745
N,30.825829
K,30.825829
N,30.99922
K,30.99922
O,31.167598
