motifs,time
L,1.2244
E,1.280892
I,2.043016
N,2.112366
E,2.177011
G,2.23746
O,3.936897
N,3.936897
E,3.936897
I,3.936897
N,4.857142
L,4.857142
I,4.857142
N,4.857142
E,5.882958
E,5.882958
I,5.882958
N,5.882958
L,6.835339
I,6.835339
O,6.835339
N,7.869772
G,7.869772
O,7.869772
N,8.770767
G,8.770767
O,8.770767
N,9.757758
N,9.757758
F,11.516498
D,11.516498
I,13.451438
N,13.530921
L,13.601405
E,13.664449
I,17.890025
N,17.890025
L,17.890025
O,18.190025
N,18.190025
K,18.190025
O,19.142406
N,19.142406
K,19.142406
O,20.489524
P,20.489524
N,20.489524
G,20.884261
P,20.884261
L,20.884261
I,21.884261
N,21.884261
L,21.884261
I,23.884261
P,23.884261
P,24.920056
P,24.920056
L,24.920056
I,25.819287
N,25.819287
L,25.819287
P,26.80222
L,26.80222
H,27.670579
D,27.670579
I,29.711599
N,29.778556
L,29.840034
E,29.895895
I,35.207974
J,35.207974
O,35.207974
J,36.21029
J,36.21029
O,36.21029
N,36.21029
O,37.188996
N,37.188996
I,37.188996
O,38.178318
N,38.178318
N,38.178318
E,38.178318
I,39.239336
L,39.239336
G,39.239336
P,43.498301
F,43.498301
I,43.498301
K,44.537122
L,44.537122
I,44.537122
P,44.537122
O,45.504754
L,45.504754
H,45.504754
I,46.499156
N,46.499156
N,46.499156
E,46.499156
I,47.548372
L,47.548372
H,47.548372
D,51.120291
G,51.193806
L,51.267321
E,51.340836
I,52.128024
N,52.198765
E,52.269507
G,52.340248
O,54.131364
N,54.159136
E,54.186907
E,54.214679
I,55.131195
N,55.151683
E,55.172172
E,55.19266
C,56.183604
G,56.183604
O,56.183604
N,57.135454
G,57.135454
O,57.135454
N,58.075745
G,58.075745
O,58.075745
N,59.001528
G,59.001528
O,59.001528
N,59.955792
H,59.955792
D,61.845747
F,61.845747
G,63.686716
N,63.71075
L,63.734097
E,63.756414
E,70.501411
I,70.501411
K,70.501411
N,70.948562
G,70.948562
K,70.948562
O,71.838638
N,71.838638
K,71.838638
O,73.184617
P,73.184617
N,73.184617
G,73.638769
P,73.638769
L,73.638769
I,74.523594
N,74.523594
L,74.523594
I,76.320549
P,76.320549
P,77.192515
P,77.192515
L,77.192515
I,78.064481
N,78.064481
L,78.064481
P,78.954386
L,78.954386
H,79.826352
D,79.826352
I,81.599691
N,81.620042
L,81.639944
E,81.659845
I,85.285857
L,85.513786
C,85.740919
C,85.965436
C,86.189429
E,86.410635
E,86.6316
E,86.849592
E,87.000387
E,87.021286
E,87.042186
E,87.063085
E,87.083985
I,87.301976
P,87.301976
P,87.519968
P,87.519968
P,87.737959
P,87.737959
N,87.972352
L,87.972352
N,87.972352
G,87.972352
L,87.972352
I,88.190344
O,88.190344
N,88.408335
G,88.408335
P,88.626327
P,88.626327
L,88.844318
I,88.844318
P,89.06231
P,89.06231
P,89.280301
P,89.280301
L,89.498293
I,89.498293
L,89.649087
D,89.669987
E,89.690886
E,89.711786
E,89.732686
I,89.947555
O,89.947555
N,90.162424
G,90.162424
P,90.377293
P,90.377293
L,90.526526
D,90.547426
E,90.568325
E,90.589225
E,90.610124
I,90.824993
P,90.824993
P,91.039862
P,91.039862
P,91.254731
P,91.254731
P,91.4696
P,91.4696
N,91.681435
O,91.681435
P,91.893269
P,91.893269
L,92.105104
I,92.105104
N,92.330429
B,92.330429
P,92.545298
P,92.545298
P,92.760167
P,92.760167
O,92.975036
N,92.975036
P,93.189905
P,93.189905
P,93.401815
P,93.401815
P,93.615748
P,93.615748
P,93.831918
P,93.831918
P,93.977246
N,93.995412
E,94.013578
E,94.031905
E,94.050339
I,94.271545
P,94.271545
P,94.492751
P,94.492751
P,94.713957
P,94.713957
N,94.935164
L,94.935164
N,94.935164
E,94.935164
E,94.935164
I,95.170236
O,95.170236
N,95.373461
G,95.373461
P,95.591452
P,95.591452
L,95.809444
I,95.809444
P,96.03065
P,96.03065
P,96.251856
P,96.251856
L,96.473063
I,96.473063
L,96.620533
D,96.638967
E,96.657401
E,96.675835
E,96.694269
I,96.915475
O,96.915475
N,97.136681
G,97.136681
P,97.357888
P,97.357888
P,97.579094
P,97.579094
N,97.803611
G,97.803611
P,98.028128
P,98.028128
P,98.252646
P,98.252646
P,98.476293
P,98.476293
L,98.694284
I,98.694284
N,98.912276
G,98.912276
L,99.130267
I,99.130267
N,99.372031
B,99.372031
O,99.595912
N,99.595912
P,99.819792
P,99.819792
P,100.03106
P,100.03106
P,100.20449
P,100.20449
P,100.412823
P,100.412823
P,100.621157
P,100.621157
P,100.845037
P,100.845037
L,101.074514
I,101.074514
N,101.289383
G,101.289383
P,101.504252
P,101.504252
P,101.709731
P,101.709731
P,101.889103
P,101.889103
L,102.094583
I,102.094583
N,102.300062
G,102.300062
L,102.517454
I,102.517454
N,102.734509
G,102.734509
O,102.949378
N,102.949378
P,103.164247
P,103.164247
P,103.351835
P,103.351835
P,103.525265
P,103.525265
P,103.727968
P,103.727968
P,103.930671
P,103.930671
P,104.141938
P,104.141938
L,104.365109
I,104.365109
N,104.576943
G,104.576943
P,104.788778
P,104.788778
P,104.986146
P,104.986146
P,105.186264
P,105.186264
L,105.391744
I,105.391744
N,105.597223
G,105.597223
L,105.814615
I,105.814615
N,106.03167
B,106.03167
P,106.246539
P,106.246539
P,106.461408
P,106.461408
O,106.664632
N,106.664632
P,106.867857
P,106.867857
P,107.082726
P,107.082726
P,107.297595
P,107.297595
P,107.512464
P,107.512464
P,107.850141
P,107.850141
N,107.850141
N,107.850141
I,109.584642
N,109.605611
E,109.626581
G,109.647551
O,111.327422
N,111.346308
L,111.364526
E,111.382745
I,114.901466
P,114.901466
N,114.901466
N,114.901466
I,116.621362
N,116.640708
E,116.660055
G,116.679402
O,118.359274
N,118.378159
L,118.396306
E,118.414163
I,121.74548
N,121.763699
L,121.781401
G,121.799104
O,123.432531
N,123.451878
E,123.471225
E,123.490571
I,125.096275
N,125.113978
L,125.131681
G,125.149384
O,126.764141
N,126.783193
E,126.802245
E,126.821297
I,128.394968
N,128.412424
L,128.429759
G,128.446975
O,128.85979
N,128.85979
I,128.85979
O,129.216399
L,129.233381
L,129.250248
G,129.267002
O,129.672006
N,129.672006
I,129.672006
P,130.078831
L,130.078831
O,130.078831
N,130.480922
B,130.480922
I,130.480922
O,130.832752
L,130.849506
L,130.86626
G,130.882836
O,131.279609
N,131.279609
I,131.279609
O,131.626742
L,131.643059
L,131.659375
G,131.675692
O,132.067286
N,132.067286
I,132.067286
P,132.45888
L,132.45888
O,132.45888
O,132.856174
N,132.856174
O,132.856174
N,133.269908
B,133.269908
I,133.269908
O,134.968282
N,134.968282
N,134.968282
G,135.381097
N,135.381097
I,135.381097
O,135.788309
N,135.788309
G,135.788309
J,136.193314
N,136.193314
I,136.193314
P,136.600139
L,136.600139
P,136.600139
N,137.00223
B,137.00223
I,137.00223
O,137.404143
L,137.404143
N,137.404143
G,137.800916
N,137.800916
I,137.800916
O,138.196999
N,138.196999
G,138.196999
J,138.588593
N,138.588593
I,138.588593
P,138.980187
N,138.980187
I,138.980187
L,139.377481
I,139.377481
P,139.377481
K,139.791215
N,139.791215
P,139.791215
N,139.791215
G,141.490691
L,143.190167
H,144.889643
I,146.589119
N,147.780539
B,148.185804
N,148.393296
E,148.596925
E,148.796931
E,148.992931
E,149.185575
E,149.374497
E,149.560301
E,149.742501
E,149.920648
E,150.098795
E,150.27527
G,150.451326
P,150.451326
N,151.1827
H,151.1827
I,151.391879
L,151.596986
H,151.797351
H,151.993351
H,152.185672
H,152.373964
H,152.558854
H,152.740312
I,152.740312
P,152.918602
L,153.09675
H,153.277441
H,153.414847
I,153.437544
K,153.460241
L,154.256212
G,155.955688
N,157.230295
B,157.655164
N,159.35464
I,160.951325
N,160.951325
F,161.163117
D,161.163117
F,161.372891
D,161.372891
F,161.579146
D,161.579146
F,161.781694
D,161.781694
F,161.980657
D,161.980657
F,162.17672
D,162.17672
F,162.369708
D,162.369708
F,162.559444
D,162.559444
F,162.746032
D,162.746032
F,162.932113
D,162.932113
F,163.117168
D,163.117168
E,163.300969
F,163.300969
D,164.054197
E,164.202104
F,164.202104
D,164.348502
F,164.348502
D,164.493626
F,164.493626
D,164.637283
F,164.637283
D,164.77911
F,164.77911
D,164.919744
F,164.919744
D,165.058812
F,165.058812
D,165.196534
F,165.196534
D,165.332572
F,165.332572
D,165.467513
F,165.467513
D,165.601366
F,165.601366
D,165.734156
F,165.734156
I,166.423194
L,166.423194
P,166.514444
P,166.514444
P,167.20896
J,167.20896
N,167.276453
E,167.293434
I,167.310388
L,167.310388
H,167.310388
I,167.445505
L,167.576238
E,167.703737
E,167.829276
E,167.952078
E,168.07306
E,168.191499
E,168.308277
E,168.426613
E,168.536891
E,168.647169
E,168.757447
F,168.757447
H,168.757447
I,168.886735
N,168.886735
H,168.886735
I,169.013128
N,169.138351
