motifs,time
O,1.585316
N,2.51658
O,2.51658
P,2.649618
P,2.649618
P,3.188944
P,3.188944
P,3.751643
P,3.751643
L,4.787126
K,4.787126
N,4.787126
H,4.787126
G,5.694254
L,5.823437
O,5.823437
N,6.748546
O,6.748546
N,6.882499
O,6.882499
P,7.425485
P,7.425485
P,7.979758
P,7.979758
L,9.016476
K,9.016476
N,9.016476
H,9.016476
G,9.923604
L,9.923604
N,10.051536
G,10.051536
N,10.968893
O,10.968893
N,11.101058
O,11.101058
P,11.453816
P,11.453816
P,11.830667
P,11.830667
P,12.23369
P,12.23369
L,13.27551
K,13.27551
N,13.27551
H,13.27551
G,14.188553
L,14.188553
N,14.317314
G,14.317314
N,15.212836
O,15.212836
N,15.340768
O,15.340768
N,15.599413
O,15.599413
P,15.870342
P,15.870342
P,16.164626
P,16.164626
P,16.464626
P,16.464626
L,17.514954
K,17.514954
N,17.514954
G,17.514954
J,19.048238
J,19.048238
P,19.361124
P,19.361124
P,19.667436
P,19.667436
P,19.950751
P,19.950751
P,20.214009
P,20.214009
P,20.465194
P,20.465194
P,20.710887
P,20.710887
P,20.94694
P,20.94694
P,21.174496
P,21.174496
P,21.394398
P,21.394398
P,21.612389
P,21.612389
P,21.826873
P,21.826873
P,22.037161
P,22.037161
P,22.241395
P,22.241395
P,22.44399
P,22.44399
P,22.638914
P,22.638914
P,22.829399
P,22.829399
P,23.016419
P,23.016419
P,23.200093
P,23.200093
P,23.380281
P,23.380281
P,23.558102
P,23.558102
P,23.689923
P,23.689923
P,23.820293
P,23.820293
P,23.949309
P,23.949309
N,24.07683
G,24.07683
O,26.835867
L,27.560943
H,27.923481
H,28.178787
D,28.234757
F,31.234403
H,31.959479
H,32.322017
H,32.577323
D,32.633293
F,33.462318
G,35.672902
O,35.672902
P,37.136271
N,37.136271
P,38.623603
P,38.623603
P,40.142105
K,40.142105
P,40.894456
N,45.877465
P,46.492635
K,46.535248
L,46.577862
O,47.711363
N,47.749147
L,47.78693
O,48.305289
N,48.894865
K,48.938597
L,48.982328
O,50.11583
N,50.153613
L,50.191396
O,50.746153
N,51.31836
K,51.359232
L,51.400104
O,52.424487
N,52.460631
L,52.496776
O,53.069923
N,53.624012
K,53.66359
L,53.703168
O,54.73026
N,54.76776
L,54.80526
O,55.3634
N,55.858324
J,55.896395
L,55.934466
G,55.972537
O,56.970798
L,56.970798
O,57.006683
L,57.042568
O,57.625092
N,58.197299
K,58.238171
L,58.279043
O,59.378771
N,59.417732
L,59.456693
O,60.02984
N,60.602048
K,60.64292
L,60.683791
O,61.708174
N,61.744319
L,61.780463
O,62.353611
N,62.9077
K,62.947278
L,62.986856
O,64.013948
N,64.051448
L,64.088948
O,64.647088
N,65.142012
J,65.180083
L,65.218154
G,65.256225
O,66.254485
N,66.290371
L,66.326256
I,66.90878
N,67.480987
K,67.521859
L,67.562731
O,68.662459
N,68.70142
L,68.740381
O,69.313528
N,69.903104
K,69.946836
L,69.990568
O,71.124069
N,71.161852
L,71.199636
O,71.754392
N,72.291477
K,72.32984
L,72.368203
O,73.355535
N,73.390419
L,73.425303
O,74.020836
N,74.502488
K,74.536891
L,74.571295
O,75.586834
N,75.623509
L,75.660184
O,76.20317
N,76.629866
J,76.662688
L,76.695511
G,76.728334
O,77.692952
N,77.692952
L,77.726434
G,77.759916
O,78.330712
N,78.902919
K,78.943791
L,78.984663
O,80.084391
N,80.123352
L,80.162313
O,80.73546
N,81.272545
K,81.310908
L,81.349271
O,82.342907
N,82.377791
L,82.412674
O,82.984834
N,83.456745
K,83.490453
L,83.52416
O,84.551252
N,84.588752
L,84.626252
O,85.176711
N,85.609084
J,85.642344
L,85.675603
G,85.708862
O,86.67348
N,86.67348
L,86.706962
G,86.740444
O,87.352145
N,87.924353
K,87.965225
L,88.006096
O,89.024195
N,89.058132
L,89.092068
O,89.587936
N,90.05599
L,90.08777
L,90.11955
O,91.097427
N,91.13025
L,91.163073
I,91.715943
N,92.148316
J,92.181575
L,92.214835
G,92.248094
O,93.270757
N,93.305885
G,93.341014
O,93.836882
N,94.304936
L,94.336716
L,94.368495
O,95.326974
N,95.359797
L,95.392619
I,95.94549
N,96.377863
J,96.411122
L,96.444382
G,96.477641
O,97.500303
N,97.535432
G,97.570561
O,98.109887
N,98.577941
L,98.609721
L,98.6415
O,99.599979
N,99.632801
L,99.665624
I,100.218495
N,100.650867
J,100.684127
L,100.717386
G,100.750646
O,101.773308
N,101.808437
G,101.843566
O,102.386552
N,102.854606
L,102.886385
L,102.918165
O,103.876643
N,103.909466
L,103.942289
I,104.508481
N,104.972767
J,105.008481
L,105.044196
G,105.07991
O,106.958159
N,107.036284
E,107.811593
E,107.991368
E,108.171143
E,108.358497
H,108.545851
E,108.733204
E,108.915437
E,109.097669
F,109.143227
B,109.188785
E,109.234343
C,109.280189
C,109.336395
C,109.392365
C,109.448162
C,109.50359
C,109.558842
C,109.613888
C,109.668605
C,109.723166
C,109.777465
C,109.831504
C,109.881714
C,109.931923
C,109.982132
C,110.032341
