motifs,time
F,1.299498
C,1.605683
I,1.911868
P,2.218053
P,2.524238
P,2.830423
P,3.136608
P,3.442793
P,3.748978
C,4.055163
F,4.361348
C,4.667533
I,5.000127
P,5.302546
N,5.604966
P,5.907385
N,6.209804
P,6.512224
O,6.830695
P,7.133114
N,7.435533
P,7.737952
P,8.040372
D,8.342791
E,8.682927
E,8.982328
C,9.28173
C,9.581131
F,9.880532
C,10.179933
I,10.479334
P,10.778736
P,11.078137
P,11.377538
P,11.67694
P,11.976341
O,12.298229
P,12.59763
N,12.897032
P,13.196433
O,13.495834
P,13.804476
P,14.113118
P,14.442066
N,14.753916
H,15.065766
H,15.377616
D,15.683801
F,16.023937
C,16.329436
I,16.634935
P,16.940434
P,17.245933
P,17.551432
P,17.856931
P,18.16243
P,18.467929
C,18.773428
F,19.078927
C,19.384426
I,19.720749
P,20.026248
N,20.331747
P,20.637246
N,20.942745
P,21.248244
O,21.570132
P,21.878774
N,22.187416
P,22.496058
P,22.8047
D,23.113342
E,23.449665
E,23.758307
C,24.066949
C,24.375591
F,24.684233
C,24.992875
I,25.292276
P,25.591678
P,25.903528
P,26.21217
P,26.520812
C,26.829454
F,27.138096
C,27.446738
C,27.75538
C,28.064022
F,28.372664
C,28.681306
I,28.977749
P,29.280168
P,29.605548
P,29.917398
P,30.229248
C,30.541098
F,30.852948
H,32.10035
D,32.72405
E,33.367827
E,34.011604
I,34.662363
P,34.971005
L,35.279647
P,35.588289
K,35.896931
P,36.205573
P,36.514215
P,36.826065
L,37.137916
P,37.449766
K,37.761616
P,38.090563
P,38.41951
L,39.036794
H,39.654078
H,40.271362
I,40.593251
N,40.91514
C,41.223782
F,41.532424
D,41.841066
F,42.177388
F,42.48603
E,42.794672
E,43.103314
C,43.411956
H,43.720598
H,44.02924
C,44.337882
E,44.646524
F,44.964996
C,45.283467
C,45.601938
H,45.942074
G,47.78148
L,48.398764
H,49.016048
C,49.65007
G,49.958712
N,50.267354
C,50.575996
C,50.884638
C,51.19328
C,51.51866
C,51.827302
E,52.135944
C,52.457832
G,52.77972
P,53.112315
N,53.444909
G,53.444909
O,53.753551
N,54.062193
H,54.370835
H,54.679477
C,54.988119
E,55.320713
I,55.320713
O,55.629355
N,55.937997
H,56.246639
H,56.555281
C,56.863923
H,57.172565
I,57.172565
O,57.481207
N,57.789849
H,58.098491
H,58.407133
C,58.715775
H,59.041155
I,59.041155
O,59.343574
N,59.645993
H,59.948412
H,60.250832
C,60.553251
G,60.87514
O,60.87514
O,61.168682
N,61.462224
G,61.761625
L,62.061026
C,62.360427
G,62.659828
O,62.659828
O,62.962248
N,63.264667
G,63.567086
L,63.869506
C,64.171925
G,64.474344
O,64.474344
O,64.773745
N,65.073146
G,65.372548
L,65.671949
C,65.97135
G,66.279992
O,66.279992
O,66.582412
N,66.884831
G,67.18725
L,67.489669
C,67.792088
G,68.113977
O,68.113977
O,68.404675
N,68.695372
K,68.991815
L,69.288258
C,69.584701
G,69.88712
O,69.88712
O,70.183563
N,70.480006
G,70.776448
L,71.072891
C,71.369334
G,71.691222
O,71.691222
O,71.984764
N,72.278306
G,72.571848
L,72.86539
C,73.158932
G,73.452474
L,73.781422
N,74.093272
H,74.405122
H,74.716972
D,75.023157
F,75.329342
C,75.635527
I,75.941712
P,76.247897
P,76.554082
P,76.860267
P,77.166452
P,77.472637
P,77.778822
C,78.085007
F,78.391192
C,78.697377
I,79.029972
P,79.332391
N,79.63481
P,79.937229
N,80.239648
P,80.542068
O,80.860539
P,81.162958
N,81.465378
P,81.767797
P,82.070216
D,82.372635
E,82.712771
E,83.012172
F,83.311574
H,83.610975
H,83.910376
F,84.209778
I,84.509179
P,84.80858
P,85.107981
P,85.407382
P,85.706784
P,86.006185
O,86.328074
P,86.627475
N,86.926876
L,87.226277
H,87.525678
H,87.83432
C,88.142962
G,88.47191
N,88.78376
H,89.09561
H,89.40746
H,89.719311
H,90.048258
I,90.353757
L,90.659256
P,90.964755
K,91.270254
P,91.575753
P,91.894224
P,92.199723
K,92.505222
P,92.810721
L,93.139668
P,93.44831
P,93.756952
D,94.065594
G,94.374236
P,94.670679
L,94.967122
C,95.269541
F,95.588012
I,95.890432
L,96.192851
C,96.49527
H,96.79769
G,97.100109
P,97.415235
P,97.714636
N,98.014037
C,98.313438
I,98.61284
P,98.912241
P,99.230712
P,99.230712
O,99.530114
N,99.829515
C,100.128916
I,100.428317
P,100.743443
P,101.058569
G,101.058569
O,101.367211
N,101.675853
C,101.984495
F,102.293137
C,102.611608
F,102.944203
C,103.249702
E,103.568173
F,103.870592
H,104.173012
G,104.484862
P,104.799988
P,105.105487
P,105.410986
C,105.716485
D,106.021984
C,106.327483
G,106.645954
O,106.645954
N,106.951453
D,107.256952
F,107.562451
H,107.891398
H,108.203248
C,108.518374
C,108.823874
D,109.129372
C,109.434872
D,109.74037
I,110.04587
L,110.364341
D,110.66984
E,110.975339
E,111.280838
C,111.58948
H,111.898122
H,112.216593
H,112.522092
C,112.827591
F,113.13309
I,113.438589
P,113.744088
P,114.076682
P,114.076682
O,114.385324
N,114.693966
C,115.002608
I,115.31125
P,115.626376
P,115.941502
G,115.941502
O,116.253352
N,116.565203
C,116.877053
F,117.188903
C,117.507374
F,117.836322
G,118.138741
P,118.432283
P,118.740925
P,119.049567
N,119.358209
C,119.666851
I,119.975493
P,120.269035
P,120.577677
P,120.886319
N,121.182762
C,121.497888
I,121.80653
P,122.115172
P,122.423814
P,122.732456
P,123.041098
P,123.366477
P,123.678328
P,123.990178
P,124.302028
P,124.613878
P,124.925728
P,125.237579
P,125.552705
P,125.867831
P,126.182957
P,126.498083
P,126.813209
P,127.128335
P,127.440185
L,127.752035
F,128.063886
I,128.375736
N,128.690862
I,129.005988
P,129.31463
N,129.623272
C,129.931914
C,130.240556
C,130.555682
C,130.870808
C,131.182658
E,131.494508
C,131.806358
H,132.118209
C,132.443588
F,132.768968
H,132.768968
I,133.080818
P,134.596552
K,134.596552
P,136.442755
P,136.442755
P,138.313992
P,138.313992
P,138.912794
P,138.912794
P,139.511597
P,139.511597
N,140.162356
B,140.477482
L,140.792608
F,141.095027
C,141.397446
F,141.699866
F,142.002285
F,142.304704
I,142.607123
N,142.909542
C,143.211962
F,143.527088
H,143.842214
H,144.147713
I,144.453212
N,144.74089
C,145.06421
F,145.396804
H,145.729398
I,146.031818
P,146.334237
C,146.636656
F,146.939075
C,147.257546
F,147.576018
G,147.887868
P,148.199718
P,148.511568
P,148.823419
P,149.14189
P,149.485927
P,149.801053
P,150.116179
P,150.431305
P,150.746431
P,151.061557
P,151.376683
P,151.676084
P,151.975485
P,152.274886
P,152.574288
C,152.886138
I,153.197988
P,153.49739
P,153.796791
C,154.108641
D,154.420491
C,154.732342
D,155.044192
C,155.362663
C,155.681134
C,156.003023
C,156.324911
C,156.665047
C,157.005183
C,157.307602
C,157.610022
E,157.912441
E,158.21486
C,158.51728
H,158.846227
H,159.158077
C,159.469927
E,159.769328
E,160.06873
C,160.368131
H,160.697078
F,161.314362
A,161.931646
A,162.54893
A,163.179182
A,163.809434
A,164.439686
A,165.70019
B,165.70019
N,166.330442
B,166.330442
N,167.590946
B,167.590946
N,168.221198
B,168.221198
