motifs,time
N,4.663379
C,4.752136
C,4.840893
G,7.615461
N,7.857886
E,8.10031
E,8.342734
F,9.047803
I,9.17177
N,10.477357
C,10.577357
C,10.677357
H,10.777357
H,13.238897
D,13.546589
E,13.854282
E,14.161974
E,14.469667
E,15.365189
E,15.663697
E,16.291969
E,16.920241
F,18.132363
H,18.738424
D,19.344485
C,19.738573
H,20.132662
D,20.526751
B,21.570145
C,21.709034
G,22.915064
N,23.215064
E,23.515064
E,23.815064
E,24.115064
E,25.010586
E,25.309094
E,25.937366
E,26.565638
C,27.77776
H,28.383821
D,28.989882
C,29.383971
H,29.778059
D,30.172148
B,33.254601
P,33.360984
N,34.590451
C,34.665078
C,34.739705
H,34.814331
H,36.048926
C,36.134396
F,36.234396
C,36.35832
F,37.484257
C,37.579194
C,37.67413
H,37.780513
H,37.886896
D,38.012919
F,47.225142
A,54.521152
A,61.825636
A,69.098009
B,70.922993
N,70.922993
N,70.922993
F,71.819469
I,71.819469
N,71.819469
G,71.819469
N,72.706722
B,72.706722
N,72.706722
G,72.706722
O,74.430863
N,74.430863
N,74.430863
F,75.311237
B,75.311237
I,75.311237
L,75.311237
F,76.198568
B,76.198568
N,76.198568
G,76.198568
K,77.710606
N,77.710606
N,77.932828
I,77.932828
N,79.229915
G,79.229915
P,79.454634
P,79.454634
N,79.685403
O,79.685403
N,81.411134
G,81.411134
O,82.936407
N,82.936407
N,83.158629
I,83.158629
P,84.458909
P,84.458909
P,84.608721
P,84.608721
N,84.760551
G,84.760551
L,84.914397
I,84.914397
N,86.640128
O,86.640128
N,87.946788
K,87.946788
N,88.391232
G,88.391232
L,89.049961
I,89.049961
P,89.264247
P,89.264247
N,89.708691
G,89.708691
L,90.158129
I,90.158129
P,91.031041
P,91.031041
L,91.477138
I,91.477138
L,91.929968
I,91.929968
N,92.393288
O,92.393288
P,92.628582
P,92.628582
N,92.870517
B,92.870517
N,95.067037
K,95.067037
N,95.511481
G,95.511481
L,96.173317
I,96.173317
P,96.390708
P,96.390708
O,96.838925
N,96.838925
P,97.295199
P,97.295199
L,98.17766
I,98.17766
N,98.628788
G,98.628788
P,99.081618
P,99.081618
P,99.544938
P,99.544938
P,99.783982
P,99.783982
O,100.043722
N,100.043722
F,102.121646
B,102.121646
P,103.299272
N,103.299272
P,104.487508
N,105.672751
G,107.669071
N,107.744448
G,108.602645
N,108.602645
P,109.808675
N,111.008402
G,113.011068
N,113.086826
G,114.681571
L,114.791425
C,114.901279
H,115.011133
H,118.306748
G,118.306748
P,118.556249
P,118.556249
L,118.80575
I,118.80575
P,119.077768
P,119.077768
