motifs,time
E,1.470478
E,1.616934
I,1.771845
N,1.916507
E,2.062963
E,2.209419
I,2.363534
N,2.508468
E,2.653403
E,2.798338
E,2.946723
E,3.091657
C,3.236592
H,3.381526
H,3.526461
I,3.671395
N,3.81633
H,3.81633
I,3.961264
P,4.118662
H,4.118662
I,4.274393
O,4.430124
N,4.430124
G,4.585855
O,4.741586
N,4.897317
E,5.053048
E,5.208779
I,5.36451
N,5.509444
E,5.654379
E,5.799313
I,5.953702
N,6.098636
E,6.245458
E,6.392279
I,6.539101
N,6.683415
E,6.827729
E,6.972043
I,7.125694
N,7.270629
E,7.41745
E,7.564272
I,7.711093
N,7.855755
E,8.000417
E,8.145079
I,8.294155
N,8.439089
E,8.585545
E,8.732001
I,8.878457
N,9.023119
E,9.169218
E,9.315317
I,9.618561
N,9.767209
E,9.920661
E,10.074114
I,10.808513
N,10.955335
L,11.102156
E,11.248978
E,11.393292
F,11.537606
H,11.68192
G,11.980506
N,12.127327
E,12.274149
E,12.42097
E,12.565632
E,12.710294
F,12.854956
G,13.004032
P,13.148966
L,13.295422
C,13.441878
G,13.588334
P,13.732996
L,13.879095
C,14.025194
G,14.175127
O,14.328438
N,14.477086
C,14.630538
I,14.783991
P,14.937443
N,15.090896
C,15.244348
I,15.397801
P,15.551253
N,15.704706
C,15.84964
F,15.994575
I,16.139509
N,16.284444
P,16.429378
O,16.574313
P,16.727624
N,16.876272
C,17.029724
I,17.183177
P,17.336629
N,17.490082
C,17.643534
I,17.796987
P,17.950439
N,18.103892
C,18.248826
I,18.393761
P,18.538695
P,18.68363
P,18.828564
N,18.973499
L,19.273874
H,19.273874
D,19.578907
I,19.578907
N,19.886316
O,19.886316
N,20.20538
I,20.20538
P,21.481636
P,21.481636
P,22.656208
P,22.656208
O,24.115741
N,24.115741
P,24.405065
P,24.405065
P,24.70544
P,24.70544
P,25.015768
P,25.015768
K,26.281656
K,26.281656
P,27.456228
P,27.456228
O,28.915761
N,28.915761
P,29.205085
P,29.205085
P,29.50546
P,29.50546
N,29.815788
G,29.974024
L,30.13226
C,30.281313
H,30.430367
C,30.57942
E,30.728474
C,30.877527
H,31.026581
C,31.176005
E,31.325243
C,31.47342
G,31.621164
P,31.768475
L,31.915664
C,32.062852
G,32.215765
P,32.364067
L,32.512369
C,32.660671
H,32.814376
C,32.96494
G,33.115505
P,33.266069
L,33.416634
C,33.565687
E,33.714741
C,33.863794
G,34.012848
P,34.161901
P,34.310955
P,34.460008
P,34.609062
P,34.757117
P,34.905171
P,35.052914
N,35.200287
C,35.347353
C,35.494053
C,35.64045
F,35.786488
C,35.932225
C,36.077962
C,36.223699
I,36.369436
P,36.515173
P,36.66091
P,36.806647
P,36.952325
P,37.09759
N,37.242434
C,37.386864
I,37.53082
P,37.67443
N,37.818039
P,37.961649
O,38.105258
P,38.252816
N,38.400374
P,38.543984
O,38.687593
P,38.831906
N,38.977826
P,39.125385
O,39.274626
O,39.578085
N,39.578085
H,39.578085
D,39.865304
E,39.865304
I,39.865304
P,40.747334
N,40.747334
H,40.747334
D,41.034553
E,41.034553
I,41.034553
P,41.615721
N,41.615721
H,41.615721
I,42.20164
N,42.20164
G,42.20164
O,42.78756
P,42.78756
N,42.78756
E,42.78756
I,43.947201
N,44.621267
L,44.716658
E,44.812281
C,44.908135
H,45.004224
D,45.10055
C,45.773425
D,45.869165
E,45.965134
C,46.061344
H,46.157785
D,46.254408
F,46.830714
A,47.40966
B,47.40966
G,47.40966
N,47.40966
I,48.558189
N,48.655112
E,48.751855
E,48.848478
G,49.724131
N,49.724131
H,49.724131
I,50.325041
N,50.325041
G,50.325041
P,50.937984
N,50.937984
G,52.20725
N,52.20725
F,52.521556
B,52.521556
D,52.834206
B,52.834206
F,53.145197
B,53.145197
C,53.474922
F,53.474922
D,54.421791
B,54.737414
F,55.362858
H,55.994961
H,57.247505
I,57.247505
N,57.560709
B,57.560709
N,57.873633
B,57.873633
N,58.184076
B,58.184076
P,58.493099
P,58.493099
P,59.77922
P,59.77922
N,60.405492
I,60.405492
O,61.129316
L,61.226179
E,61.322741
C,61.419066
H,61.515096
D,61.610893
F,62.189289
H,62.28666
D,62.383343
E,62.479906
C,62.576231
H,62.672261
D,62.768058
C,63.350425
D,63.350425
I,63.644109
L,63.927958
D,64.214477
I,64.604456
N,64.701319
E,64.797881
C,64.894206
H,64.990236
D,65.086033
F,65.664429
H,65.7618
D,65.858483
E,65.955046
C,66.051371
H,66.1474
D,66.243198
F,66.825565
H,66.922935
D,67.019619
E,67.116181
C,67.212507
H,67.308536
D,67.404333
F,69.150963
G,69.150963
O,71.60509
N,71.60509
G,71.60509
P,74.736238
E,74.881172
E,75.027628
E,75.17593
I,75.330841
N,75.475503
E,75.621959
E,75.768415
I,75.92253
N,76.067464
E,76.212399
E,76.357333
E,76.505718
E,76.650653
C,76.795587
H,76.940522
H,77.085456
I,77.230391
N,77.375325
H,77.375325
I,77.52026
P,77.677657
H,77.677657
I,77.833388
O,77.989119
N,77.989119
G,78.14485
O,78.300581
N,78.456312
E,78.612043
E,78.767774
I,78.923505
N,79.06844
E,79.213374
E,79.358309
I,79.512697
N,79.657632
E,79.804453
E,79.951275
I,80.098096
N,80.24241
E,80.386724
E,80.531038
I,80.68469
N,80.829624
E,80.976446
E,81.123267
I,81.270089
N,81.414751
E,81.559413
E,81.704075
I,81.85315
N,81.998085
E,82.144541
E,82.290997
I,82.437453
N,82.582115
E,82.728214
E,82.874313
I,83.177557
N,83.326204
E,83.479657
E,83.633109
I,84.367509
N,84.51433
L,84.661152
E,84.807973
E,84.952287
F,85.096601
H,85.240915
G,85.539501
N,85.686323
E,85.833144
E,85.979966
E,86.124628
E,86.26929
F,86.413952
G,86.563027
P,86.707962
L,86.854418
C,87.000874
G,87.14733
P,87.291992
L,87.438091
C,87.58419
G,87.734122
O,87.887434
N,88.036081
C,88.189534
I,88.342986
P,88.496439
N,88.649891
C,88.803344
I,88.956796
P,89.110249
N,89.263701
C,89.408636
F,89.55357
I,89.698505
N,89.843439
P,89.988374
O,90.133308
P,90.28662
N,90.435267
C,90.58872
I,90.742172
P,90.895625
N,91.049077
C,91.20253
I,91.355982
P,91.509435
N,91.662887
