motifs,time
L,1.513142
E,1.513142
F,1.703618
B,1.703618
H,1.703618
I,1.898424
P,1.898424
H,1.898424
I,2.093228
P,2.093228
H,2.093228
I,2.29731
P,2.29731
H,2.29731
G,2.508578
P,2.726411
L,2.726411
E,2.726411
I,2.921216
N,2.921216
E,2.921216
I,3.123236
N,3.123236
E,3.123236
I,3.325256
N,3.325256
E,3.325256
I,3.536524
N,3.536524
E,3.536524
I,3.755502
N,3.981066
E,3.981066
E,3.981066
F,4.171542
B,4.171542
H,4.171542
I,4.36509
N,4.36509
H,4.36509
I,4.558638
N,4.558638
H,4.558638
I,4.759981
N,4.759981
H,4.759981
G,4.975948
P,5.18392
L,5.18392
E,5.18392
I,5.378096
N,5.378096
E,5.378096
I,5.580116
N,5.580116
E,5.580116
F,5.782844
H,5.782844
H,5.782844
I,5.994111
N,5.994111
H,5.994111
G,6.213089
P,6.431271
L,6.431271
E,6.431271
F,6.62482
B,6.62482
H,6.62482
I,6.820898
N,6.820898
H,6.820898
I,7.016977
N,7.016977
H,7.016977
I,7.226664
N,7.226664
H,7.226664
G,7.436352
P,7.654185
L,7.654185
E,7.654185
F,7.84899
D,7.84899
E,7.84899
F,8.050333
D,8.050333
E,8.050333
F,8.251675
D,8.251675
E,8.251675
F,8.461363
D,8.461363
E,8.461363
I,8.680341
N,8.90506
B,8.90506
F,9.099235
B,9.099235
C,9.296603
C,9.296603
C,9.493972
C,9.493972
C,9.701944
C,9.701944
F,9.924166
B,10.132139
E,10.132139
E,10.132139
I,10.335529
N,10.335529
E,10.335529
I,10.542425
N,10.542425
E,10.542425
F,10.750459
B,10.750459
H,10.750459
I,11.005778
N,11.005778
H,11.005778
G,11.261097
O,11.261097
N,11.502061
I,11.502061
N,11.71112
B,11.71112
P,11.905925
P,11.905925
P,12.10073
P,12.10073
P,12.307627
P,12.307627
K,12.523454
P,12.523454
N,12.745676
I,12.745676
P,12.944642
P,12.944642
P,13.148723
P,13.148723
P,13.352805
P,13.352805
P,13.566328
P,13.566328
O,13.785306
P,13.785306
N,14.010025
N,14.010025
F,14.201718
B,14.201718
C,14.401054
C,14.401054
C,14.600389
C,14.600389
C,14.812403
C,14.812403
G,15.032183
P,15.032183
N,15.240156
I,15.240156
P,15.439121
P,15.439121
P,15.641824
P,15.641824
N,15.845121
B,15.845121
P,16.060175
P,16.060175
L,16.285739
I,16.285739
N,16.503921
N,16.503921
G,16.503921
N,16.698096
B,16.698096
L,16.698096
I,16.898765
N,16.898765
L,16.898765
I,17.099434
N,17.099434
L,17.099434
I,17.309122
N,17.309122
L,17.309122
H,17.518809
I,17.518809
N,17.736643
D,17.736643
G,17.736643
O,17.930818
N,17.930818
G,17.930818
O,18.130818
N,18.130818
G,18.130818
O,18.330818
N,18.330818
E,18.330818
F,18.540505
D,18.540505
E,18.540505
I,18.756333
K,18.756333
O,18.974166
L,18.974166
I,18.974166
P,19.172343
N,19.172343
G,19.172343
O,19.377823
N,19.377823
G,19.377823
O,19.583302
N,19.583302
G,19.583302
O,19.791275
N,19.791275
G,19.791275
N,20.013497
I,20.013497
O,20.221469
L,20.221469
E,20.221469
I,20.424859
N,20.424859
E,20.424859
I,20.631756
N,20.631756
E,20.631756
I,20.838548
N,20.838548
G,20.838548
O,21.050562
N,21.050562
G,21.050562
O,21.270342
N,21.497614
L,21.497614
E,21.497614
F,21.688697
B,21.688697
H,21.688697
I,21.885419
N,21.885419
H,21.885419
I,22.08214
N,22.08214
H,22.08214
I,22.290113
N,22.290113
H,22.290113
G,22.50608
P,22.714052
L,22.714052
L,22.714052
I,22.90636
N,22.90636
L,22.90636
I,23.107702
N,23.107702
L,23.107702
I,23.309866
N,23.309866
L,23.309866
I,23.52188
N,23.52188
L,23.52188
I,23.740858
N,23.948471
L,23.948471
E,23.948471
F,24.138947
B,24.138947
H,24.138947
I,24.336315
N,24.336315
H,24.336315
I,24.533684
N,24.533684
H,24.533684
I,24.741656
N,24.741656
H,24.741656
H,24.957623
I,25.161705
L,25.161705
G,25.161705
P,25.355253
N,25.355253
G,25.355253
P,25.557273
N,25.557273
G,25.557273
P,25.760002
N,25.760002
G,25.760002
P,25.98305
N,25.98305
G,25.98305
O,26.195816
N,26.41365
E,26.41365
E,26.41365
F,26.607198
B,26.607198
H,26.607198
I,26.807198
N,26.807198
H,26.807198
I,27.007198
N,27.007198
H,27.007198
I,27.215171
N,27.215171
H,27.215171
G,27.431138
P,27.63911
L,27.63911
L,27.63911
I,27.838076
N,27.838076
L,27.838076
I,28.044261
N,28.044261
L,28.044261
I,28.250461
N,28.250461
L,28.250461
I,28.495359
N,28.495359
L,28.495359
I,28.718407
N,28.950965
L,28.950965
F,29.149142
B,29.149142
C,29.35392
C,29.35392
I,29.558698
P,29.558698
P,29.769966
P,29.769966
K,29.993846
P,30.201819
L,30.201819
E,30.201819
I,30.400784
N,30.400784
E,30.400784
I,30.60697
N,30.60697
E,30.60697
I,30.813169
N,30.813169
G,30.813169
O,31.041306
N,31.041306
G,31.041306
P,31.304464
G,31.304464
N,31.529183
K,31.529183
N,31.738242
B,31.738242
P,31.934964
P,31.934964
P,32.131685
P,32.131685
P,32.335075
P,32.335075
L,32.551042
O,32.551042
N,32.759015
I,32.759015
L,32.759015
I,32.950708
N,32.950708
L,32.950708
I,33.153411
N,33.153411
L,33.153411
I,33.356708
N,33.356708
L,33.356708
I,33.570994
N,33.570994
L,33.570994
I,33.790774
N,33.790774
N,34.016338
I,34.016338
N,34.208645
B,34.208645
P,34.404724
P,34.404724
P,34.600802
P,34.600802
P,34.81207
P,34.81207
L,35.035118
I,35.035118
N,35.243091
N,35.243091
G,35.243091
P,35.434174
N,35.434174
G,35.434174
P,35.635516
N,35.635516
G,35.635516
P,35.83768
N,35.83768
G,35.83768
P,36.058268
N,36.058268
G,36.058268
O,36.283832
P,36.283832
N,36.520986
I,36.520986
N,36.719163
B,36.719163
P,36.923941
P,36.923941
P,37.128719
P,37.128719
P,37.336691
P,37.336691
K,37.552658
P,37.552658
N,37.760631
I,37.760631
P,37.959596
P,37.959596
P,38.165782
P,38.165782
P,38.42894
P,38.42894
P,38.65282
P,38.65282
O,38.898722
N,38.898722
N,39.127729
D,39.127729
F,39.346707
B,39.346707
C,39.574844
C,39.574844
I,39.802981
P,39.802981
P,40.042025
P,40.042025
P,40.292025
P,40.292025
K,40.827739
N,40.865239
P,42.965239
K,42.965239
P,43.208154
P,43.208154
O,43.441617
N,43.441617
P,43.65514
P,43.65514
O,43.875728
N,43.875728
P,44.089251
P,44.089251
O,44.309031
N,44.309031
P,44.520299
P,44.520299
O,44.743347
N,44.846087
H,44.948361
H,45.050867
H,45.154078
H,45.258004
H,45.362535
G,45.573807
L,45.573807
P,45.809101
P,45.809101
O,46.03382
N,46.03382
P,46.248874
P,46.248874
O,46.472754
N,46.472754
P,46.689361
P,46.689361
O,46.912409
N,46.912409
P,47.128237
P,47.128237
N,47.984278
B,47.984278
L,47.984278
G,48.417887
N,48.63902
L,48.856942
N,48.856942
I,49.072769
O,49.286292
N,49.496819
L,49.496819
O,49.71266
N,49.932173
L,50.15062
E,50.15062
E,50.368012
I,50.579279
N,50.788338
L,50.788338
I,51.001104
N,51.222506
E,51.443908
E,51.443908
E,51.664363
I,51.883209
N,52.1006
G,52.1006
O,52.317992
N,52.559927
E,52.689799
G,52.81746
O,53.309263
N,53.309263
L,53.309263
F,53.791191
D,53.791191
I,53.791191
P,54.248415
L,54.248415
P,54.248415
H,54.684779
C,54.684779
G,54.684779
P,55.130876
N,55.130876
G,55.130876
O,55.99894
K,56.331043
N,56.386394
K,56.441744
N,56.878108
B,56.878108
C,57.300643
I,57.300643
P,57.732298
P,57.732298
O,59.01831
N,59.233364
L,59.443154
E,59.653927
E,59.865818
F,60.085598
G,60.305378
N,60.521984
L,60.7335
E,60.946393
E,61.160808
F,61.380588
G,61.600368
O,61.817759
N,61.817759
P,62.035151
P,62.035151
L,62.255739
D,62.255739
E,62.255739
I,62.476327
N,62.476327
F,62.696915
I,62.696915
L,62.917503
I,62.917503
J,63.365363
N,63.393772
L,63.422182
G,64.047181
L,64.270229
I,64.485283
N,64.708332
