motifs,time
N,1.333641
E,1.333641
F,1.658997
B,1.658997
P,1.764631
P,1.764631
D,2.211618
E,2.211618
F,2.653087
B,2.653087
H,2.979085
D,2.979085
F,3.084718
C,3.084718
C,3.517502
C,3.517502
F,3.958971
B,3.958971
H,4.284327
I,4.284327
P,4.389591
P,4.389591
N,4.841314
B,4.841314
N,5.28751
G,5.28751
N,5.613999
B,5.613999
D,5.719633
E,5.719633
F,6.152417
B,6.152417
P,6.588686
P,6.588686
H,6.909587
I,6.909587
P,7.014117
C,7.014117
F,7.459787
B,7.459787
H,7.90282
D,7.90282
F,8.228818
B,8.228818
D,8.334825
E,8.334825
F,8.776495
B,8.776495
D,8.993399
E,9.2134
I,9.2134
P,9.436498
L,9.659596
E,9.877256
F,10.094915
B,10.094915
D,10.469728
F,10.619175
B,11.118925
I,11.118925
N,11.650557
B,11.650557
P,12.091847
P,12.091847
C,12.417188
I,12.417188
P,12.521717
P,12.521717
C,12.966385
F,12.966385
C,13.407916
F,13.407916
C,13.734418
F,13.734418
C,13.839682
F,13.839682
C,14.271679
C,14.271679
C,14.713151
F,14.713151
C,15.038523
I,15.038523
P,15.143786
P,15.143786
P,15.601226
O,15.601226
P,16.047522
N,16.047522
P,16.374033
P,16.374033
C,16.478494
F,16.478494
C,16.908871
I,16.908871
P,17.345187
P,17.345187
C,17.666074
I,17.666074
P,17.77024
P,17.77024
C,18.217923
F,18.217923
C,18.66103
F,18.66103
C,18.987536
F,18.987536
C,19.092799
F,19.092799
C,19.532902
C,19.532902
D,19.749859
E,19.969834
I,19.969834
P,20.192932
L,20.41603
E,20.633713
F,20.851372
B,20.851372
D,21.255249
F,21.404573
B,21.916784
P,21.916784
N,22.428817
G,22.428817
P,22.666912
L,22.901287
I,22.901287
P,23.140331
N,23.374706
H,23.609081
C,23.838966
I,23.838966
P,24.070626
P,24.31159
P,24.31159
F,24.542359
H,24.773128
H,25.003897
D,25.234666
B,25.234666
P,25.470887
N,25.707107
C,25.943328
H,26.179548
I,26.179548
P,26.424446
N,26.669344
E,26.669344
I,26.914242
N,27.167407
C,27.167407
I,27.167407
N,27.414831
H,27.664312
H,27.915885
D,28.169677
B,28.169677
P,28.392775
P,28.610926
P,28.610926
C,28.936282
I,28.936282
P,29.041545
P,29.041545
C,29.487791
F,29.487791
C,29.92926
F,29.92926
C,30.255258
F,30.255258
C,30.360521
F,30.360521
C,30.792564
C,30.792564
C,31.234033
F,31.234033
C,31.559389
I,31.559389
P,31.664652
P,31.664652
L,32.116375
I,32.116375
N,32.339473
P,32.562571
P,32.562571
P,32.88906
P,32.88906
C,32.994324
F,32.994324
C,33.426367
I,33.426367
P,33.862636
P,33.862636
C,34.183537
I,34.183537
P,34.287704
P,34.287704
D,34.732649
E,34.732649
F,35.174737
B,35.174737
D,35.418639
E,35.649408
E,35.86759
F,36.097475
B,36.097475
P,36.344389
L,36.597553
I,36.597553
P,36.837553
N,37.583084
B,38.166006
D,38.821744
F,39.477482
G,39.477482
P,39.717482
L,39.952776
I,39.952776
P,40.19182
N,40.426195
H,40.659658
C,40.889543
I,40.889543
P,41.124837
P,41.365801
P,41.365801
F,41.59657
H,41.827339
H,42.058108
D,42.288877
B,42.288877
P,42.525098
N,42.761318
C,42.997539
H,43.233759
I,43.233759
P,43.478657
N,43.723555
E,43.723555
I,43.968453
N,44.221618
C,44.221618
I,44.221618
N,44.469041
H,44.718523
H,44.970096
D,45.223887
B,45.223887
P,45.446985
P,45.665136
P,45.665136
C,45.990492
I,45.990492
P,46.095387
P,46.095387
C,46.540897
F,46.540897
C,46.982366
F,46.982366
C,47.308364
F,47.308364
C,47.413259
F,47.413259
C,47.844565
C,47.844565
C,48.286034
F,48.286034
C,48.61139
I,48.61139
P,48.716557
P,48.716557
L,49.168088
I,49.168088
N,49.391186
P,49.614284
P,49.614284
P,49.940774
P,49.940774
C,50.046781
F,50.046781
C,50.480311
I,50.480311
P,50.91658
P,50.91658
C,51.237482
I,51.237482
P,51.341288
P,51.341288
D,51.785512
E,51.785512
F,52.2276
B,52.2276
D,52.471502
E,52.702271
E,52.920453
F,53.150338
B,53.150338
P,53.405657
L,53.665398
I,53.665398
P,53.916444
N,54.701047
B,55.351997
D,56.041652
