motifs,time
N,4.424782
B,4.424782
N,4.563671
B,4.563671
N,4.712836
B,4.712836
P,5.296225
P,5.296225
N,5.435598
B,5.435598
N,5.574971
B,5.574971
P,6.250654
L,6.250654
E,6.485396
F,6.485396
H,6.720138
D,6.720138
F,6.95488
D,6.95488
C,7.189622
G,7.189622
O,7.424364
N,7.424364
D,8.022449
B,8.022449
F,8.162309
B,8.162309
C,8.310886
C,8.310886
D,8.894276
B,8.894276
F,9.038835
B,9.038835
D,9.18858
E,9.18858
F,9.412327
H,9.412327
D,9.636074
F,9.636074
D,9.864263
F,9.864263
H,10.099005
I,10.099005
N,10.333747
D,10.333747
F,10.568489
G,10.568489
O,11.505554
P,11.505554
P,12.376721
P,12.376721
N,13.243795
G,13.243795
N,14.156643
G,14.156643
N,15.067664
G,15.067664
P,15.495961
P,15.495961
P,15.933183
P,15.933183
N,16.368328
G,16.368328
P,17.04401
P,17.04401
L,17.04401
H,17.278752
I,17.278752
N,17.278752
L,17.510646
I,17.510646
N,17.510646
J,17.746365
O,17.746365
N,17.746365
G,17.979194
O,17.979194
P,18.213936
P,18.213936
L,18.894724
P,18.894724
P,19.124732
P,19.124732
P,19.352869
P,19.352869
P,19.583852
P,19.583852
P,19.811988
P,19.811988
L,20.041997
I,20.041997
L,20.71415
P,20.71415
L,20.94144
I,20.94144
N,20.94144
N,21.164306
B,21.164306
O,21.164306
N,21.390704
E,21.390704
I,21.390704
P,21.6162
P,21.6162
P,21.846209
P,21.846209
N,22.291941
G,22.291941
L,22.291941
I,22.729186
P,22.729186
N,22.729186
D,23.390078
B,23.390078
I,23.390078
N,23.612944
O,23.612944
N,24.051027
G,24.051027
L,24.051027
I,24.49507
P,24.49507
N,24.49507
D,25.15263
C,25.15263
G,25.15263
O,25.376378
P,25.376378
N,25.808654
G,25.808654
L,25.808654
E,26.253569
I,26.253569
N,26.253569
L,26.902018
C,26.902018
G,26.902018
L,27.124884
I,27.124884
P,27.553915
P,27.553915
L,27.553915
I,27.987858
P,27.987858
N,27.987858
D,28.641218
C,28.641218
G,28.641218
N,28.867616
F,29.335197
I,29.335197
P,29.335197
P,30.203274
O,30.203274
N,30.203274
F,31.0763
B,31.0763
O,31.0763
L,31.961523
I,31.961523
N,31.961523
K,32.409954
N,32.409954
N,32.868179
B,32.868179
P,32.868179
N,33.298446
G,33.298446
O,33.298446
L,33.735668
I,33.735668
N,33.735668
P,34.395301
O,34.395301
N,34.395301
H,34.619048
I,34.619048
N,34.619048
N,34.847237
B,34.847237
O,34.847237
N,35.081979
L,35.081979
I,35.081979
O,35.081979
N,35.316721
C,35.316721
I,35.316721
P,35.551463
O,35.551463
N,35.551463
N,35.551463
D,36.020947
F,36.488528
B,36.488528
I,36.488528
P,37.358602
P,37.358602
O,37.358602
N,38.230124
G,38.230124
O,38.230124
L,38.67171
I,38.67171
N,38.67171
P,39.334397
P,39.334397
J,39.334397
N,39.559015
F,39.559015
I,39.559015
L,39.559015
E,39.782762
I,39.782762
L,40.006509
I,40.006509
N,40.223476
G,40.223476
P,40.445484
P,40.445484
N,40.445484
P,41.107301
O,41.107301
N,41.331048
G,41.331048
N,41.554795
G,41.554795
N,41.778542
G,41.778542
P,41.997153
P,41.997153
L,42.21703
I,42.21703
L,42.869865
I,42.869865
P,43.09148
P,43.09148
P,43.740939
P,43.740939
P,43.960816
P,43.960816
N,44.613651
G,44.613651
L,44.835266
I,44.835266
P,45.484725
P,45.484725
P,45.704602
P,45.704602
P,46.357437
P,46.357437
N,46.579052
G,46.579052
P,47.046633
P,47.046633
N,47.480495
G,47.480495
P,47.917717
P,47.917717
L,48.340252
I,48.340252
N,48.787746
G,48.787746
P,49.229331
P,49.229331
P,49.667439
P,49.667439
P,50.109024
P,50.109024
O,50.55826
N,50.55826
L,50.994163
I,50.994163
L,51.431385
I,51.431385
L,51.856917
I,51.856917
N,52.304411
G,52.304411
P,52.745996
P,52.745996
P,53.184972
P,53.184972
P,53.627376
P,53.627376
N,54.076612
N,54.076612
I,54.076612
K,54.076612
N,54.508767
C,54.508767
I,54.508767
K,54.954499
N,54.954499
E,54.954499
G,54.954499
P,55.386654
P,55.386654
N,55.386654
G,55.823876
L,55.823876
I,55.823876
K,55.823876
N,56.261698
B,56.261698
H,56.261698
I,56.70743
N,56.70743
H,57.578648
I,57.578648
P,57.578648
H,58.470112
I,58.470112
N,58.470112
H,59.342874
I,59.342874
N,59.342874
G,59.342874
O,60.240584
N,60.240584
G,61.113327
P,61.113327
P,61.113327
L,62.004791
I,62.004791
N,62.004791
L,62.87909
P,62.87909
J,62.87909
P,63.7768
O,63.7768
N,63.7768
I,64.659889
N,64.659889
H,64.659889
D,65.551353
E,65.551353
I,65.551353
P,66.424115
N,66.424115
H,66.424115
H,66.424115
D,67.321825
E,67.321825
I,68.20659
K,68.20659
L,68.20659
