motifs,time
P,4.541667
P,4.541667
O,10.583333
N,10.583333
P,12.011905
P,12.011905
P,13.511905
P,13.511905
P,18.011905
P,18.011905
P,22.54231
P,22.54231
P,28.621856
P,28.621856
N,28.621856
L,30.050427
I,30.050427
N,30.050427
L,31.550427
I,31.550427
N,31.550427
L,36.050427
I,36.050427
P,40.556873
P,40.556873
P,45.056873
P,45.056873
P,46.556873
P,46.556873
P,47.952222
P,47.952222
P,49.53117
P,49.53117
P,55.53117
P,55.53117
P,56.876461
P,56.876461
P,58.411718
P,58.411718
N,62.911718
O,62.911718
P,67.257009
P,67.257009
N,71.68558
I,71.68558
P,73.264528
P,73.264528
P,74.666397
P,74.666397
P,76.068266
P,76.068266
O,80.431902
N,80.431902
P,82.477357
P,82.477357
P,83.159176
P,83.159176
P,83.840994
P,83.840994
C,84.522812
F,84.522812
C,85.254519
F,85.254519
C,86.587853
F,86.587853
H,87.951489
D,87.951489
I,88.292398
P,88.633308
P,88.633308
O,90.678762
N,90.678762
P,91.36058
P,91.36058
C,92.058255
F,92.058255
C,92.740073
F,92.740073
G,93.421892
N,94.10371
E,94.785528
E,95.467346
F,96.149164
H,96.88481
I,97.536984
N,97.536984
C,98.900621
I,98.900621
P,99.582439
P,99.582439
C,100.264258
F,100.264258
D,100.961932
E,100.961932
C,101.731163
I,103.094799
P,103.094799
K,103.094799
O,104.458436
N,104.458436
G,104.458436
P,105.15611
N,105.15611
O,107.234032
L,107.915851
E,108.582518
E,109.249184
I,109.915851
N,110.582518
E,111.249184
E,111.915851
F,112.582518
H,113.249185
I,114.612821
L,114.612821
F,115.976458
C,115.976458
I,117.280806
N,118.644442
I,118.644442
P,120.121715
N,120.121715
C,122.880701
E,122.880701
F,124.27605
C,124.27605
I,125.639686
N,127.068258
I,127.068258
P,128.496829
F,128.496829
H,129.925401
G,129.925401
P,134.353972
P,134.353972
N,138.782544
I,138.782544
N,143.326538
B,143.326538
L,146.778345
E,147.138922
C,147.499499
H,147.892169
I,149.392169
P,149.392169
P,150.915012
P,150.915012
P,152.437854
P,152.437854
P,157.0736
P,157.0736
P,161.604005
P,161.604005
P,165.00083
L,165.359682
C,165.736566
H,166.129236
D,167.699917
B,167.699917
N,167.699917
L,169.270598
I,169.270598
N,169.270598
L,170.841278
I,170.841278
N,170.841278
L,175.542394
E,178.720865
E,179.055687
C,179.401309
H,179.746931
C,182.87076
E,183.205581
C,183.551203
H,183.89524
C,187.006386
E,187.338244
C,187.68071
G,188.023175
P,191.116945
L,191.445892
C,191.786802
G,192.127711
P,195.212489
L,195.544348
P,195.876206
K,196.223428
P,199.298937
L,199.629334
P,199.9687
K,200.308067
P,203.38185
L,203.712247
P,204.042643
K,204.385109
P,204.727575
L,205.07004
P,205.412506
K,205.774825
P,206.117291
L,206.459757
P,206.802222
K,207.162799
P,207.505265
L,207.847731
P,208.190196
K,208.547339
P,208.889805
L,209.232271
P,209.574737
K,209.92851
N,210.270976
L,210.613442
C,210.955908
G,211.314759
N,211.661981
E,212.009204
C,212.356426
H,212.720504
C,213.075954
E,213.431404
C,213.786854
H,214.158141
C,214.52046
E,214.882779
C,215.245098
H,215.625809
H,215.995267
H,216.364725
C,216.734183
I,217.122784
N,218.653396
B,218.653396
P,220.184008
P,220.184008
L,221.928194
I,221.928194
P,228.08204
L,228.08204
E,228.08204
I,228.08204
N,229.620502
N,229.620502
G,229.620502
O,229.620502
N,231.158963
P,231.158963
N,231.158963
G,231.158963
N,235.774348
O,235.774348
O,237.312809
N,237.312809
H,237.312809
G,240.430218
K,240.430218
O,241.96868
N,241.96868
H,241.96868
