B	0.981751 00:00:00.9817510
E	1.079971 00:00:01.0799710
E	1.167479 00:00:01.1674790
E	1.246309 00:00:01.2463090
E	1.321048 00:00:01.3210480
E	1.395325 00:00:01.3953250
E	1.468946 00:00:01.4689460
E	1.541833 00:00:01.5418330
E	1.614 00:00:01.6140000
E	1.685447 00:00:01.6854470
E	1.756211 00:00:01.7562110
E	1.826396 00:00:01.8263960
E	1.895953 00:00:01.8959530
E	1.964864 00:00:01.9648640
E	2.033132 00:00:02.0331320
E	2.100792 00:00:02.1007920
E	2.167801 00:00:02.1678010
E	2.234328 00:00:02.2343280
E	2.300255 00:00:02.3002550
E	2.365601 00:00:02.3656010
E	2.430368 00:00:02.4303680
E	2.494623 00:00:02.4946230
E	2.55825 00:00:02.5582500
E	2.621462 00:00:02.6214620
E	2.684132 00:00:02.6841320
E	2.746789 00:00:02.7467890
E	2.809445 00:00:02.8094450
E	2.872102 00:00:02.8721020
I	4.726738 00:00:04.7267380
N	4.726738 00:00:04.7267380
C	4.858087 00:00:04.8580870
C	4.858087 00:00:04.8580870
E	5.684533 00:00:05.6845330
E	5.768568 00:00:05.7685680
E	5.850675 00:00:05.8506750
E	5.930733 00:00:05.9307330
E	6.008832 00:00:06.0088320
E	6.085085 00:00:06.0850850
E	6.159558 00:00:06.1595580
E	6.232342 00:00:06.2323420
E	6.303511 00:00:06.3035110
E	6.373951 00:00:06.3739510
E	6.443882 00:00:06.4438820
E	6.513311 00:00:06.5133110
E	6.582087 00:00:06.5820870
E	6.650378 00:00:06.6503780
E	6.718183 00:00:06.7181830
E	6.785388 00:00:06.7853880
E	6.852092 00:00:06.8520920
E	6.918333 00:00:06.9183330
E	6.984123 00:00:06.9841230
E	7.049326 00:00:07.0493260
E	7.114094 00:00:07.1140940
E	7.17843 00:00:07.1784300
E	7.242241 00:00:07.2422410
E	7.305579 00:00:07.3055790
E	7.368506 00:00:07.3685060
E	7.430896 00:00:07.4308960
E	7.493162 00:00:07.4931620
E	7.555429 00:00:07.5554290
I	9.408895 00:00:09.4088950
N	9.408895 00:00:09.4088950
C	9.540243 00:00:09.5402430
C	9.540243 00:00:09.5402430
E	10.390101 00:00:10.3901010
E	10.488109 00:00:10.4881090
E	10.581936 00:00:10.5819360
E	10.671757 00:00:10.6717570
E	10.757967 00:00:10.7579670
E	10.840852 00:00:10.8408520
E	10.920608 00:00:10.9206080
E	10.99754 00:00:10.9975400
E	11.071732 00:00:11.0717320
E	11.143678 00:00:11.1436780
E	11.2144 00:00:11.2144000
E	11.284096 00:00:11.2840960
E	11.352646 00:00:11.3526460
E	11.420238 00:00:11.4202380
E	11.486782 00:00:11.4867820
E	11.552365 00:00:11.5523650
E	11.61707 00:00:11.6170700
E	11.680927 00:00:11.6809270
E	11.744784 00:00:11.7447840
E	11.808331 00:00:11.8083310
E	11.871782 00:00:11.8717820
E	11.934901 00:00:11.9349010
E	11.997953 00:00:11.9979530
E	12.060642 00:00:12.0606420
E	12.123299 00:00:12.1232990
E	12.185565 00:00:12.1855650
