motifs,time
E,0.504202
F,0.750104
C,0.833764
C,0.917426
H,1.001086
I,1.248693
P,1.507872
N,1.759974
E,2.012074
F,2.264176
C,2.348209
C,2.432243
H,2.516276
I,2.76611
P,3.022894
N,3.274994
E,3.527096
F,3.779196
C,3.86323
C,3.947264
H,4.031298
I,4.280012
P,4.539192
N,4.791293
E,5.043394
F,5.295495
C,5.379529
C,5.463562
H,5.547596
I,5.803176
P,6.062356
N,6.314456
E,6.566558
F,6.826507
C,6.910541
C,6.994575
H,7.078608
I,7.330709
P,7.589889
N,7.84199
E,8.094091
F,8.346192
C,8.430225
C,8.514259
H,8.598293
I,8.848126
P,9.107306
N,9.359407
E,9.611508
I,9.863609
P,10.11571
L,10.367811
I,10.623391
P,10.875492
G,11.127593
N,11.379694
D,11.635096
G,11.893678
O,12.0898
N,12.122657
L,12.155619
O,12.418777
N,12.673014
F,12.918916
C,13.002598
C,13.08628
H,13.169962
I,13.418677
P,13.677856
N,13.947084
E,14.199185
F,14.446098
C,14.52978
C,14.613462
H,14.697144
I,14.945859
N,15.205039
D,15.205039
I,15.453754
N,15.453754
F,15.709334
D,15.709334
I,15.959167
N,15.959167
E,16.213599
F,16.213599
F,16.4657
B,16.4657
C,16.722483
F,16.722483
H,16.969397
C,17.220443
F,17.471489
D,17.595292
B,17.719095
L,17.966702
C,17.966702
H,18.225106
D,18.477207
E,18.729308
F,18.981409
C,19.065443
C,19.149477
H,19.23351
I,19.482225
P,19.741405
N,19.993506
E,20.245607
F,20.497708
C,20.581742
C,20.665775
H,20.749809
I,21.00569
P,21.264869
N,21.51697
E,21.769071
F,22.029021
C,22.113055
C,22.197088
H,22.281122
I,22.533223
P,22.792402
N,23.044504
E,23.296604
F,23.548706
C,23.632739
C,23.716773
H,23.800806
I,24.05064
P,24.30982
N,24.56192
E,24.814022
I,25.066122
P,25.318224
L,25.570324
I,25.825904
P,26.078006
G,26.330106
N,26.582208
D,26.83761
G,27.096191
O,27.292314
N,27.325171
L,27.358132
O,27.617873
N,27.873192
F,28.125293
C,28.209327
C,28.29336
H,28.377394
I,28.626109
P,28.885288
N,29.154516
E,29.406617
F,29.658718
C,29.742752
C,29.826785
H,29.910819
I,30.159534
N,30.687941
N,30.940042
G,31.192143
P,31.192143
P,31.276177
N,31.36021
H,31.444244
C,31.692959
I,32.221366
N,32.473467
G,32.725568
P,32.725568
P,32.809602
N,32.893635
H,32.977669
C,33.226384
F,33.734278
H,33.734278
H,33.989858
F,33.989858
F,34.239692
H,34.239692
D,34.494123
F,34.494123
F,34.746224
B,34.746224
C,35.003008
F,35.003008
H,35.259791
C,35.516575
F,35.773358
D,35.897162
B,36.020965
L,36.268571
C,36.268571
I,36.528965
L,36.666246
E,36.801898
E,36.935866
E,37.068182
E,37.199588
E,37.330994
C,37.601216
C,37.688044
C,37.774872
H,37.8617
H,37.995557
C,38.133273
E,38.270662
C,38.409144
H,38.54896
H,38.690162
D,38.973716
E,39.111105
E,39.247083
E,39.381676
E,39.514815
F,39.646623
H,39.781757
C,39.914275
C,40.048036
H,40.183048
H,40.323931
D,40.459692
E,40.593559
E,40.725568
F,40.857181
H,40.989593
C,41.122631
E,41.256286
F,41.489746
G,41.489746
L,41.579614
I,41.758514
N,41.758514
L,41.84755
I,42.027652
N,42.027652
L,42.119026
I,42.299913
N,42.299913
H,42.389151
I,42.567223
N,42.567223
H,42.656056
I,42.83562
N,42.83562
H,42.926562
I,43.113428
N,43.113428
L,43.207889
C,43.387933
G,43.387933
O,43.477595
N,43.658526
G,43.658526
O,43.7499
N,43.930936
E,43.930936
I,44.020598
P,44.198973
N,44.198973
H,44.287807
I,44.46737
N,44.46737
H,44.558313
I,44.742835
N,44.742835
L,44.835647
C,45.014653
G,45.014653
O,45.103587
P,45.28031
N,45.28031
L,45.369139
C,45.551559
G,45.551559
O,45.64339
N,45.820942
