motifs,time
H,1.719912
H,2.598488
H,3.500307
I,6.184252
N,6.560601
A,6.68605
A,6.950112
B,6.950112
I,6.950112
L,7.451742
E,7.710988
I,7.710988
N,7.710988
E,8.219721
F,8.478364
H,8.478364
C,9.006487
C,9.259652
H,9.259652
D,9.632292
B,9.632292
F,9.756505
B,9.756505
C,10.019179
E,10.019179
I,10.019179
P,10.518555
L,10.776575
F,10.776575
H,10.776575
I,11.28346
N,11.548899
H,11.548899
C,12.082612
C,12.341859
H,12.341859
C,12.727332
C,12.727332
F,12.859363
B,12.859363
E,13.133461
I,13.133461
P,13.662142
N,13.950326
B,13.950326
N,14.479007
F,14.75988
H,14.75988
C,15.296409
F,15.564673
B,15.564673
C,15.96
E,16.094819
C,16.368917
D,16.368917
I,16.368917
N,17.188736
F,17.188736
C,17.581527
E,17.714352
C,17.98845
H,17.98845
I,17.98845
L,18.50449
E,18.772779
I,18.772779
N,18.772779
L,19.293793
I,19.559232
L,19.559232
I,19.559232
N,20.107428
H,20.405372
H,20.405372
C,20.836528
C,20.983861
D,20.983861
E,21.28228
I,21.28228
N,21.28228
G,23.685256
N,24.061605
A,24.187054
B,24.451116
I,24.451116
N,24.451116
G,24.955106
L,25.214352
F,25.214352
H,25.214352
I,25.723086
N,25.981728
H,25.981728
C,26.509852
C,26.763016
H,26.763016
C,27.135656
C,27.135656
D,27.259869
B,27.259869
F,27.522543
C,27.522543
E,27.522543
E,28.021919
E,28.279939
I,28.279939
N,28.279939
E,28.786824
F,29.052264
H,29.052264
C,29.585976
C,29.845223
H,29.845223
F,30.230696
B,30.230696
F,30.362727
B,30.362727
I,30.636825
P,30.636825
P,31.165506
N,31.45369
B,31.45369
N,31.982372
F,32.263244
B,32.263244
C,32.799773
F,33.068038
B,33.068038
C,33.463364
E,33.598183
C,33.872281
D,33.872281
I,33.872281
N,34.6921
F,34.6921
C,35.084891
E,35.217717
C,35.491815
H,35.491815
I,35.491815
L,36.007855
E,36.276143
I,36.276143
N,36.276143
L,36.797157
I,37.062597
L,37.062597
I,37.062597
N,37.610793
H,37.908737
H,37.908737
C,38.339892
E,38.487225
I,38.785644
N,38.785644
E,38.785644
I,41.243941
N,41.62029
A,41.745739
B,42.009801
C,42.009801
H,42.009801
I,42.51613
L,42.710565
F,42.775376
G,42.775376
N,42.775376
E,43.284109
F,43.542752
H,43.542752
H,43.542752
I,44.070875
P,44.32404
L,44.32404
D,44.69668
E,44.820893
E,45.101765
I,45.101765
N,45.101765
E,45.608094
E,45.802529
F,45.867341
G,45.867341
L,45.867341
I,46.376074
N,46.634717
H,46.634717
I,46.634717
N,47.16284
B,47.415609
N,47.415609
G,47.415609
O,47.415609
N,47.788249
B,47.788249
P,47.788249
O,47.788249
N,47.915166
B,47.915166
L,47.915166
I,47.915166
O,48.196039
L,48.196039
E,48.196039
I,48.196039
N,48.702368
P,48.702368
L,48.702368
I,48.970656
P,48.970656
N,48.970656
G,49.339993
P,49.339993
L,49.339993
H,49.463105
I,49.463105
L,49.463105
E,49.718685
I,49.718685
N,49.718685
F,50.088022
B,50.088022
H,50.088022
D,50.211134
B,50.211134
E,50.211134
E,50.402819
I,50.470564
N,50.470564
G,50.470564
P,50.842196
L,50.842196
I,50.842196
P,50.967603
N,50.967603
E,50.967603
F,51.223183
D,51.223183
E,51.594815
I,51.594815
N,51.594815
C,51.720223
I,51.720223
N,51.720223
I,51.982003
N,51.982003
L,51.982003
I,52.35134
P,52.35134
N,52.35134
I,52.474452
O,52.474452
N,52.474452
I,52.730032
P,52.730032
L,52.730032
H,53.099368
C,53.099368
E,53.099368
I,53.222481
N,53.222481
E,53.222481
E,53.414166
I,53.48191
N,53.48191
G,53.48191
P,53.853542
L,53.853542
I,53.853542
N,53.97895
D,53.97895
I,53.97895
N,54.23453
E,54.23453
E,54.603866
C,54.603866
H,54.603866
D,54.726979
B,54.726979
E,54.726979
F,54.982013
B,54.982013
I,54.982013
N,55.355454
L,55.470748
H,55.730588
I,55.730588
L,55.730588
C,56.107493
G,56.228018
P,56.355808
L,56.419703
C,56.489555
G,56.489555
L,56.489555
I,56.489555
L,56.865778
E,56.991463
I,57.247043
L,57.247043
I,57.247043
N,57.629235
H,57.751242
I,58.013022
N,58.013022
G,58.013022
N,58.013022
F,58.392769
B,58.519492
F,58.779999
B,58.779999
I,58.779999
N,59.159746
L,59.286469
I,59.542049
N,59.542049
G,59.542049
O,59.932817
N,60.064338
G,60.332626
O,60.332626
N,60.332626
G,61.482736
N,61.610526
B,61.866106
I,61.866106
N,61.866106
G,62.245853
L,62.372576
E,62.634356
I,62.634356
L,62.634356
I,63.012349
N,63.138346
D,63.406635
I,63.406635
L,63.406635
I,63.786382
N,63.913105
D,64.174885
I,64.174885
L,64.174885
I,64.552877
N,64.552877
H,64.552877
I,64.678875
N,64.678875
G,64.678875
P,64.947163
P,64.947163
H,64.947163
I,65.332339
N,65.332339
L,65.332339
I,65.46066
P,65.46066
H,65.46066
D,65.724574
E,65.724574
I,65.724574
N,66.113444
G,66.113444
N,66.113444
H,66.243067
H,66.243067
I,66.243067
P,66.511355
L,66.511355
I,66.511355
O,67.719329
N,67.854148
B,68.123786
I,68.123786
N,68.123786
G,68.508962
L,68.637283
E,68.899063
I,68.899063
L,68.899063
I,69.280613
N,69.407796
D,69.676085
I,69.676085
N,69.676085
G,70.055831
N,70.182555
D,70.444335
I,70.444335
N,70.444335
E,70.822327
F,70.948325
G,71.216613
L,71.216613
I,71.216613
N,71.607374
H,71.607374
I,71.607374
P,71.73734
L,71.73734
I,71.73734
P,72.013888
L,72.013888
I,72.013888
N,72.414315
H,72.414315
I,72.414315
P,72.547791
L,72.547791
I,72.547791
N,72.836091
H,72.836091
C,73.645915
F,73.645915
C,74.038585
F,74.169475
B,74.439114
C,74.439114
H,74.439114
I,74.956133
L,75.22087
F,75.22087
H,75.22087
I,75.740351
N,76.004435
H,76.004435
H,76.004435
I,76.543712
N,76.802222
H,76.802222
C,77.18274
C,77.18274
C,77.309579
C,77.309579
I,77.577795
P,77.577795
H,77.577795
I,78.087696
L,78.351155
F,78.351155
H,78.351155
I,78.868709
N,79.139736
H,79.139736
H,79.139736
I,79.684695
N,79.949432
H,79.949432
C,80.343028
C,80.343028
C,80.477847
C,80.477847
I,80.757724
P,80.757724
P,81.298032
N,81.582674
B,81.582674
N,82.122534
F,82.404388
H,82.404388
C,82.952183
F,83.226081
B,83.226081
C,83.629738
E,83.76739
C,84.047267
D,84.047267
I,84.047267
N,84.867091
F,84.867091
C,85.268155
E,85.403778
E,85.683655
F,85.683655
H,85.683655
I,86.210572
L,86.484495
F,86.484495
G,86.484495
P,87.016504
P,87.287531
L,87.287531
I,87.287531
N,87.847285
H,88.151514
H,88.151514
C,88.591764
E,88.742215
F,88.742215
I,89.054645
P,89.054645
H,89.054645
I,91.585958
N,91.962306
A,92.087756
B,92.351817
C,92.351817
H,92.351817
I,92.858146
L,93.052581
F,93.117393
G,93.117393
L,93.117393
I,93.626126
N,93.884769
H,93.884769
H,93.884769
I,94.412892
P,94.666056
L,94.666056
D,95.038696
E,95.162909
E,95.443782
C,95.443782
H,95.443782
I,95.950111
L,96.144546
F,96.209357
G,96.209357
L,96.209357
I,96.71809
N,96.976733
H,96.976733
H,96.976733
I,97.504856
K,97.757626
P,97.757626
N,97.757626
L,97.757626
E,98.130266
I,98.130266
L,98.130266
I,98.130266
L,98.257183
I,98.257183
N,98.257183
G,98.257183
L,98.538055
G,98.538055
N,98.538055
H,98.538055
G,100.945315
L,100.945315
H,100.945315
I,101.327773
N,101.327773
H,101.327773
I,101.455259
N,101.455259
H,101.455259
I,101.743499
P,101.743499
N,101.743499
E,101.743499
F,102.522989
B,102.522989
H,102.522989
I,102.908498
P,102.908498
H,102.908498
I,103.039035
P,103.039035
L,103.039035
I,103.335009
P,103.335009
N,103.335009
