motifs,time
I,1.677383
P,1.677383
N,3.519004
G,3.519004
P,6.003818
L,6.625022
F,6.83209
D,7.660362
B,8.281565
N,8.488633
D,9.316904
B,9.502916
C,9.567851
H,9.632787
C,9.697722
E,9.877664
I,10.087337
P,10.087337
P,10.970989
N,10.970989
G,11.385125
P,11.83912
H,11.83912
I,11.83912
L,12.647092
J,13.041414
O,13.508413
P,13.508413
P,14.392065
N,14.392065
G,14.806201
N,15.260196
H,15.260196
H,15.260196
C,16.168187
C,16.168187
I,16.168187
P,17.158286
P,17.158286
P,18.133578
N,19.029368
I,19.336305
N,19.643242
F,19.950179
D,20.261656
F,20.60924
G,21.048415
L,21.048415
I,21.048415
L,21.048415
I,22.725798
P,22.725798
N,22.725798
D,24.567419
I,24.567419
O,27.052233
N,27.052233
I,27.673437
P,27.880505
P,27.880505
N,28.708776
G,28.708776
O,29.32998
P,29.537048
P,29.537048
N,30.365319
B,30.551331
C,30.616266
H,30.681201
C,30.746136
E,30.926079
F,31.135751
I,31.135751
P,32.019404
N,32.43354
F,32.887535
D,32.887535
F,33.695507
H,33.695507
D,33.881519
F,33.946454
H,34.011389
C,34.076324
E,34.256266
E,34.465939
I,35.349592
P,35.763728
F,35.990725
H,36.217723
D,36.217723
F,37.133474
F,37.133474
I,37.133474
N,38.049225
L,38.049225
I,38.049225
J,38.049225
P,40.218109
P,40.218109
P,40.218109
L,40.218109
E,40.651885
F,40.651885
G,40.651885
N,40.651885
C,41.085662
C,41.085662
G,41.085662
N,41.085662
F,41.592762
B,41.592762
I,41.592762
N,43.733173
N,43.733173
E,44.16695
F,44.16695
F,44.600726
B,44.600726
C,45.107826
I,45.107826
N,47.248237
B,47.248237
N,47.682014
B,47.682014
L,48.115791
I,48.115791
P,48.580043
P,48.580043
N,50.720454
G,50.720454
P,51.154231
P,51.154231
P,51.588008
P,51.588008
P,52.908425
P,52.908425
N,54.620754
B,54.620754
N,55.476918
B,55.476918
N,56.205663
K,56.205663
O,56.312806
N,56.436263
B,56.436263
N,56.680165
I,56.680165
O,56.786548
N,56.91103
B,56.91103
N,57.154932
I,57.154932
O,57.261315
N,57.38952
B,57.38952
N,57.38952
N,57.38952
G,57.887445
O,57.887445
P,58.13036
N,58.13036
L,58.13036
E,58.373275
I,58.373275
L,58.373275
I,58.61619
N,58.61619
L,58.61619
D,58.859105
G,58.859105
P,58.859105
P,59.105007
P,59.105007
P,59.361417
P,59.361417
L,59.361417
C,59.845288
G,59.845288
J,60.337224
P,60.337224
J,61.06303
P,61.06303
N,62.030772
G,62.030772
L,62.283937
I,62.283937
O,62.523937
N,62.523937
O,62.763937
N,62.763937
P,63.003937
P,63.003937
P,63.254983
P,63.254983
N,63.738854
B,63.738854
J,64.230789
P,64.230789
N,64.956596
B,64.956596
N,65.924338
O,65.924338
N,66.177502
O,66.177502
N,66.417502
G,66.417502
O,66.657502
N,66.657502
L,66.897502
I,66.897502
L,67.148548
I,67.148548
N,67.274071
H,67.395039
C,67.516007
C,67.636975
D,67.636975
E,67.757942
F,67.757942
D,67.87891
F,67.87891
D,67.999878
F,67.999878
D,68.128633
F,68.128633
D,68.628506
E,68.628506
F,68.750478
D,68.750478
F,68.872948
H,68.872948
H,68.99592
D,68.99592
F,69.119398
D,69.119398
G,69.615266
L,69.615266
F,69.737238
D,69.737238
F,69.859708
H,69.859708
H,69.982679
D,69.982679
F,70.106157
D,70.106157
I,70.354091
N,70.354091
P,70.475695
P,70.475695
N,70.597153
G,70.597153
N,70.719075
G,70.719075
N,70.841027
G,70.841027
P,70.963447
N,70.963447
H,71.085896
F,71.085896
E,71.208345
F,71.208345
H,71.208345
I,71.330449
N,71.330449
H,71.330449
C,71.452244
E,71.452244
I,71.452244
P,71.573702
N,71.573702
H,71.573702
I,71.694698
N,71.694698
G,71.694698
O,71.815209
N,71.815209
H,71.815209
F,71.936897
B,71.936897
E,71.936897
I,72.060812
N,72.060812
E,72.060812
C,72.560812
G,72.560812
O,72.560812
P,73.129532
L,73.129532
I,73.873334
L,74.130844
I,74.377758
L,74.49824
C,74.618722
C,74.739204
C,74.859686
C,74.980168
I,75.138898
P,75.138898
I,75.8827
L,76.140211
I,76.387124
L,76.507606
C,76.628088
C,76.74857
