motifs,time
C,1.235558
H,1.410996
H,1.586435
H,1.761873
H,1.937312
H,2.11275
C,2.463627
E,2.836434
E,3.185271
G,3.71167
L,3.891311
F,4.061766
H,4.234179
H,4.40759
H,4.581
H,4.754411
H,4.927821
C,5.274642
E,5.64036
E,5.986208
E,6.503483
E,6.684206
F,6.85466
D,7.029079
F,7.203498
C,7.374926
F,7.54734
D,7.719754
F,7.894172
F,8.066586
C,8.239996
D,8.421814
F,8.596233
C,8.770652
F,8.94507
D,9.119488
E,9.293907
E,9.465336
E,9.636764
E,9.808192
E,9.980606
E,10.15302
E,10.325434
E,10.497848
E,10.671258
E,10.844668
I,11.018079
N,11.218079
F,11.5649
D,12.094312
B,12.094312
P,12.295654
P,12.295654
P,12.471092
P,12.471092
P,12.646531
P,12.646531
P,12.821969
P,12.821969
P,12.997408
P,12.997408
P,13.172846
P,13.172846
P,13.348285
P,13.348285
P,13.699162
P,13.699162
P,14.071969
P,14.071969
P,14.420806
P,14.420806
O,14.944061
N,14.944061
O,15.12588
N,15.12588
P,15.296334
P,15.296334
P,15.468748
P,15.468748
P,15.642158
P,15.642158
P,15.815569
P,15.815569
P,15.988979
P,15.988979
P,16.16239
P,16.16239
P,16.509211
P,16.509211
P,16.874929
P,16.874929
P,17.223766
P,17.223766
O,17.747022
L,17.927744
I,17.927744
N,18.098199
L,18.272618
F,18.447036
C,18.621454
I,18.621454
N,18.795873
E,18.970292
F,18.970292
D,19.14471
E,19.319128
I,19.319128
N,19.493547
L,19.675365
F,19.849784
C,20.024202
I,20.024202
N,20.198621
E,20.373039
F,20.373039
D,20.547458
I,20.547458
P,20.718886
P,20.718886
P,20.890315
P,20.890315
P,21.061743
P,21.061743
P,21.234157
P,21.234157
P,21.406571
P,21.406571
P,21.578984
P,21.578984
N,21.772533
B,21.772533
P,22.11736
P,22.11736
P,22.496671
P,22.496671
P,22.843492
P,22.843492
N,23.286777
N,23.37497
C,23.462689
E,23.550162
E,23.637371
E,23.724135
E,23.81084
E,23.897064
E,23.98309
E,24.068804
E,24.154307
E,24.239535
E,24.324361
E,24.408995
E,24.493265
I,24.577535
N,24.6465
C,24.715466
H,24.784431
C,24.853397
E,24.922362
I,24.922362
P,25.196127
N,25.297479
G,25.297479
O,25.991929
N,25.991929
P,26.681912
P,26.681912
I,26.757867
N,26.831827
C,26.906847
C,26.98133
H,27.054187
C,27.128473
E,27.199901
E,27.289722
I,27.379542
N,27.738823
I,27.738823
P,28.109194
P,28.109194
N,28.460071
G,28.831118
P,28.831118
P,29.536768
P,29.536768
I,29.712206
N,29.767151
H,29.822096
C,29.877041
E,30.130112
F,30.218347
G,30.218347
P,30.394818
N,30.450066
H,30.505315
C,30.560563
E,30.821246
C,30.916183
H,30.916183
D,31.31092
F,32.015257
B,32.096779
L,32.178301
I,32.706321
N,32.787843
L,32.869365
I,33.393064
N,33.474145
L,33.555227
I,34.07438
N,34.155461
L,34.236543
C,34.813816
I,34.813816
P,35.48429
P,35.48429
P,36.210893
P,36.210893
P,36.881367
P,36.881367
P,37.593381
P,37.593381
N,38.095327
G,38.095327
P,38.433379
P,38.433379
P,38.767644
P,38.767644
P,39.100977
P,39.100977
P,39.312245
P,39.312245
P,39.669388
P,39.669388
N,40.026531
B,40.026531
I,40.387977
P,41.087977
P,41.087977
P,41.44512
L,41.44512
D,41.806566
H,42.149423
I,42.506566
