motifs,time
H,0
H,0.950872
I,1.922375
N,1.922375
H,1.922375
H,2.880077
I,3.844552
N,3.844552
H,3.844552
I,4.775651
N,4.775651
G,5.907553
N,6.010887
E,6.110629
E,6.206802
I,8.215666
N,8.28469
G,8.35206
P,8.35206
P,9.210184
N,10.092278
I,10.962221
N,11.844315
H,12.708246
H,12.708246
D,13.360703
F,13.469446
H,13.578189
H,13.578189
D,14.454229
I,14.454229
P,15.355265
F,15.355265
I,16.256301
O,16.256301
P,17.150889
P,17.150889
P,17.803346
E,17.907774
C,18.012202
H,18.450222
G,18.917439
P,18.917439
F,18.917439
H,19.838249
I,20.808652
N,20.808652
P,22.749458
P,22.749458
N,23.641784
G,23.641784
N,24.502616
G,24.502616
P,25.130406
L,25.230862
C,25.331317
H,25.752725
H,26.183141
H,26.183141
F,27.031917
B,27.905152
I,27.905152
P,28.753928
N,29.620855
H,29.620855
I,30.036482
L,30.45211
C,31.312942
H,31.312942
G,32.173774
P,33.079434
N,33.079434
H,33.946361
H,34.838687
I,36.623339
N,36.623339
H,36.623339
D,37.25545
H,37.353966
C,37.452481
H,37.859703
C,38.288793
F,38.288793
I,38.7102
N,39.123025
H,39.53585
H,39.948675
H,39.948675
H,39.948675
I,40.786209
N,41.629024
H,41.629024
I,42.460279
N,43.31498
H,43.31498
H,43.31498
D,43.938422
H,44.036937
C,44.135453
H,44.539984
C,44.958578
F,44.958578
I,45.239517
N,45.512191
H,45.776601
H,46.049031
H,46.336778
H,46.63422
H,46.63422
H,46.63422
I,47.471274
N,48.332106
H,48.332106
I,49.163361
N,50.006176
G,50.006176
P,50.629617
L,50.729418
C,50.829218
H,51.242043
H,51.666431
H,51.666431
F,52.497686
A,53.328941
B,53.328941
I,54.177717
L,55.017425
C,55.083606
E,55.141506
G,55.141506
P,56.377918
N,56.591593
E,56.698431
C,56.805268
H,57.223795
C,57.642322
C,58.875292
C,59.293819
E,59.727283
E,60.160746
F,60.160746
H,61.053072
F,61.053072
F,61.96562
H,61.96562
D,63.861954
G,63.861954
N,63.861954
G,64.269206
N,64.685346
C,65.098171
H,65.510996
I,65.510996
N,65.510996
G,65.918218
N,66.325439
E,67.186271
G,67.186271
N,67.186271
G,67.596288
N,68.015306
C,68.42531
H,68.835314
I,68.835314
N,68.835314
G,69.242535
N,69.649757
C,70.475407
D,70.475407
E,70.475407
I,70.897479
N,71.280884
C,72.1047
I,72.1047
N,72.1047
H,72.506521
F,72.908343
G,73.733993
N,73.733993
L,73.733993
I,74.586273
L,75.440974
F,75.440974
H,75.440974
I,77.150376
N,77.150376
H,77.150376
H,78.11053
I,79.091563
N,79.091563
H,79.091563
H,80.058681
I,81.032707
L,81.032707
I,81.032707
P,81.972998
N,81.972998
G,82.993935
N,83.102128
E,83.205356
E,83.30493
I,88.615775
N,89.560657
G,90.613289
