motifs,time
O,1.875
L,2.24537
E,2.969208
F,2.969208
I,2.969208
P,3.344208
L,4.068044
G,4.068044
O,4.068044
L,4.438415
E,5.188415
F,5.188415
I,5.188415
O,5.554268
N,6.291158
I,6.291158
O,6.291158
L,6.661529
E,7.385366
I,7.385366
O,7.385366
P,7.760366
L,8.460407
G,8.460407
O,8.460407
L,8.835407
E,9.558718
I,9.558718
O,9.558718
O,9.929089
N,10.684075
I,10.684075
O,10.684075
L,11.037016
E,11.787016
I,11.787016
O,11.787016
O,12.176626
N,12.915074
I,12.915074
O,12.915074
L,13.294821
H,14.064178
I,14.064178
O,14.064178
O,14.453789
N,15.172378
I,15.172378
O,15.172378
L,15.60095
G,16.412353
P,16.412353
K,16.840924
O,17.572632
N,17.572632
K,18.001203
P,18.796219
J,18.796219
P,19.475247
N,19.850247
I,19.850247
O,19.850247
L,20.220618
E,20.944454
E,20.944454
I,20.944454
K,21.314825
P,22.065294
L,22.065294
I,22.065294
K,22.431148
O,23.190642
L,23.190642
I,23.190642
K,23.539478
P,23.869149
P,24.25876
J,24.25876
O,24.699936
P,26.691166
P,27.175037
N,27.175037
H,29.338986
G,29.338986
O,29.338986
L,29.709356
E,30.433193
F,30.433193
I,30.433193
P,30.808193
L,31.483193
G,31.483193
O,31.483193
L,31.853564
E,32.603564
F,32.603564
I,32.603564
O,32.969417
N,33.706307
I,33.706307
O,33.706307
L,34.076678
E,34.786961
I,34.786961
O,34.786961
P,35.161961
L,35.826449
G,35.826449
O,35.826449
L,36.201449
E,36.92476
I,36.92476
O,36.92476
O,37.295131
N,38.014338
I,38.014338
O,38.014338
L,38.367279
E,39.117279
I,39.117279
O,39.117279
O,39.483133
N,40.19883
I,40.19883
O,40.19883
L,40.583446
H,41.357672
I,41.357672
O,41.357672
O,41.747282
N,42.465871
I,42.465871
O,42.465871
L,42.894443
G,43.705846
P,43.705846
K,44.134418
O,44.824073
N,44.824073
K,45.252644
P,46.02842
J,46.02842
P,46.707448
N,47.082448
I,47.082448
O,47.082448
L,47.452819
E,48.176656
E,48.176656
I,48.176656
K,48.547026
P,49.31288
L,49.31288
I,49.31288
K,49.678733
O,50.438227
L,50.438227
I,50.438227
K,50.787064
P,51.116735
P,51.506345
J,51.506345
O,51.990216
P,52.759447
N,53.159447
E,53.871526
E,54.251273
I,54.962552
N,55.332923
I,56.048121
N,56.427868
I,57.139147
N,57.509518
E,58.232829
F,58.612576
H,59.331784
D,60.072525
G,60.438378
L,60.804232
I,61.831576
J,62.154157
O,62.491235
L,62.840072
I,63.859398
K,64.185485
O,64.522563
L,64.875504
I,65.879579
J,66.23252
O,66.585461
L,66.965208
O,67.984959
L,68.30754
I,68.640873
N,69.006727
G,70.053332
L,70.406273
O,70.759214
N,71.125068
G,72.16356
L,72.516501
O,72.869442
N,73.235295
H,74.269778
G,74.622719
O,74.97566
L,75.341513
I,76.375996
L,76.728937
O,77.081878
N,77.447731
H,78.482214
G,78.835155
O,79.188096
L,79.553949
I,82.510642
N,82.510642
L,82.510642
F,82.872088
H,83.613281
D,83.613281
E,83.613281
E,83.974727
I,84.720788
N,84.720788
L,84.720788
F,85.082234
F,85.814051
H,85.814051
E,85.814051
E,86.175497
I,86.907313
N,86.907313
L,86.907313
I,87.268759
L,88.005205
D,88.005205
E,88.005205
E,88.366651
I,89.103097
N,89.103097
L,89.103097
I,89.464543
N,90.231395
I,90.231395
O,90.231395
L,90.601765
E,91.325602
F,91.325602
I,91.325602
P,91.700602
L,92.424439
G,92.424439
O,92.424439
L,92.79481
E,93.54481
I,93.54481
O,93.54481
O,93.910663
N,94.647553
I,94.647553
O,94.647553
L,95.017924
E,95.741761
F,95.741761
I,95.741761
P,96.116761
L,96.835968
G,96.835968
O,96.835968
L,97.210968
E,97.93428
I,97.93428
O,97.93428
O,98.30465
N,99.059636
I,99.059636
O,99.059636
L,99.412577
F,100.162577
H,100.162577
I,100.162577
L,100.552188
E,101.326414
F,101.326414
I,101.326414
P,101.711029
N,102.48026
F,102.48026
I,102.48026
P,102.891219
L,103.713137
I,103.713137
N,103.713137
H,104.141709
H,105.357925
I,106.204507
N,106.627042
H,107.93193
G,107.93193
P,108.814283
L,109.225242
I,109.994473
N,110.394473
E,111.106552
E,111.486299
I,112.223189
N,112.593559
I,113.308757
N,113.688504
I,114.399784
N,114.770154
E,115.493466
F,115.904425
H,116.619623
D,117.319664
G,117.685517
L,118.051371
I,119.068194
J,119.390774
O,119.727853
L,120.07669
I,121.096015
K,121.411805
O,121.748883
L,122.101824
I,123.105899
J,123.467345
O,123.816182
L,124.195929
O,125.21568
L,125.538261
I,125.871594
N,126.237448
G,127.284053
L,127.636994
O,127.989935
N,128.355789
G,129.386532
L,129.739473
O,130.092414
N,130.458267
H,131.49275
G,131.845691
O,132.198632
L,132.564485
I,133.587474
L,133.940415
O,134.293356
N,134.659209
H,135.693692
G,136.046633
O,136.399574
L,136.789184
I,139.745877
N,139.745877
L,139.745877
F,140.107323
C,140.868769
I,140.868769
P,140.868769
E,141.230215
I,141.976276
N,141.976276
L,141.976276
F,142.337722
I,143.069539
P,143.069539
N,143.069539
E,143.430985
I,144.162801
N,144.162801
L,144.162801
I,144.524247
L,145.260693
D,145.260693
E,145.260693
E,145.622139
F,146.358585
G,146.358585
O,146.358585
N,146.720031
N,147.498144
I,147.498144
O,147.498144
L,147.868514
G,148.592351
N,148.592351
H,148.592351
H,148.967351
H,149.691188
G,149.691188
O,149.691188
L,150.061559
G,150.793266
