motifs,time
I,2.802786
P,3.448086
N,4.122396
D,4.122396
I,4.122396
N,4.796704
L,4.796704
I,4.796704
N,6.145322
G,6.145322
O,6.145322
N,6.482477
F,6.819632
I,6.819632
P,7.509446
N,8.19926
G,8.19926
N,8.940183
C,8.940183
I,8.940183
N,10.42203
L,10.42203
I,10.42203
P,10.759184
L,11.148896
I,11.148896
P,11.823205
N,12.497514
D,12.497514
I,12.497514
N,13.179487
L,13.179487
I,13.179487
N,14.543433
G,14.543433
O,14.543433
N,14.892351
E,15.24127
E,15.24127
I,15.915578
N,16.437678
F,16.602549
I,16.602549
P,17.343473
P,17.343473
N,18.415157
N,18.756143
G,19.085886
N,19.447419
G,19.447419
O,19.447419
N,20.129392
N,20.811365
I,20.811365
N,20.811365
P,21.534431
O,21.534431
N,21.534431
N,22.61903
E,22.960016
E,22.960016
I,22.960016
N,23.301003
E,23.64199
I,23.64199
O,23.64199
N,24.301475
N,24.975784
I,24.975784
N,24.975784
L,25.69885
E,25.69885
I,25.69885
N,26.421916
C,27.119752
D,27.119752
E,27.119752
I,27.801726
P,27.801726
L,27.801726
I,29.165672
N,29.165672
G,29.165672
O,30.594584
N,30.594584
G,31.30904
N,31.30904
G,31.30904
P,32.016656
N,32.016656
H,32.016656
H,32.70647
F,32.70647
E,32.70647
I,33.396284
N,33.396284
E,33.396284
F,33.745202
H,33.745202
H,33.745202
H,33.991977
D,34.041333
E,34.090688
E,34.140043
I,34.846091
N,34.846091
P,35.625514
N,35.625514
G,35.625514
P,36.068123
N,36.068123
E,36.068123
E,36.615768
I,36.615768
P,37.307172
N,37.98148
D,37.98148
I,37.98148
N,38.65579
L,38.65579
I,38.65579
N,40.004408
G,40.004408
O,40.004408
N,40.341562
F,40.678716
I,40.678716
P,41.36853
N,42.058344
G,42.058344
N,42.799268
C,42.799268
I,42.799268
N,44.281115
L,44.281115
I,44.281115
P,44.61827
L,45.007981
I,45.007981
P,45.68229
N,46.356599
D,46.356599
I,46.356599
N,47.038572
L,47.038572
I,47.038572
N,48.402518
J,48.402518
O,48.402518
N,48.751436
E,49.100354
G,49.100354
O,49.100354
N,49.774664
E,50.461634
E,50.461634
I,50.461634
N,51.202558
B,51.202558
N,51.202558
I,51.202558
N,52.274242
H,52.615228
I,52.615228
P,52.944971
O,53.306504
N,53.306504
P,53.951804
N,54.626113
G,54.626113
O,54.626113
N,55.278428
G,55.278428
P,55.930744
P,55.930744
N,55.930744
E,56.58306
I,56.58306
P,57.235375
N,57.235375
G,57.235375
L,57.880675
I,57.880675
P,58.206833
L,58.529483
I,58.529483
N,58.852133
D,59.248975
E,60.524082
I,60.524082
P,60.88131
L,61.292382
I,61.292382
P,61.990218
N,62.688055
D,62.688055
I,62.688055
N,63.402511
L,64.116967
I,64.116967
N,64.831423
F,65.216137
D,65.600851
E,65.600851
I,66.323917
N,66.920219
F,67.10545
I,67.10545
L,67.939015
I,67.939015
N,69.653791
G,69.653791
P,70.039494
P,70.039494
L,70.475668
I,70.475668
L,71.267433
I,71.267433
P,72.059198
P,72.059198
P,72.895086
P,72.895086
O,74.566861
N,74.566861
L,74.566861
F,75.41198
B,75.41198
G,75.41198
N,76.974887
B,76.974887
G,76.974887
O,77.847234
P,77.847234
L,79.496038
G,79.496038
P,79.881742
P,79.881742
L,80.317915
I,80.317915
P,81.10968
P,81.10968
L,81.901446
I,81.901446
P,82.737334
P,82.737334
P,84.409108
P,84.409108
P,84.794812
P,84.794812
N,84.794812
D,85.230985
I,85.230985
N,85.230985
P,86.055388
P,86.055388
N,86.055388
G,86.87979
P,86.87979
N,86.87979
H,87.778262
G,87.778262
O,87.778262
P,88.74945
P,88.74945
N,88.74945
H,89.865107
D,89.865107
I,89.865107
P,93.135312
N,93.135312
G,94.007659
O,94.939071
N,94.939071
G,95.811417
P,96.654205
N,96.654205
G,97.539614
O,98.400166
L,98.400166
I,99.236216
P,100.204663
L,100.204663
I,101.08988
N,101.94469
N,101.94469
G,102.806128
N,103.7046
B,103.7046
G,104.576946
P,105.508358
N,105.508358
H,105.508358
G,106.380705
O,107.223492
N,107.223492
H,107.223492
I,109.014204
N,109.014204
I,109.014204
O,109.88655
N,110.817962
N,110.817962
D,110.817962
I,111.690309
P,112.533096
N,112.533096
H,112.533096
G,114.316978
L,114.316978
I,114.316978
O,115.189325
N,116.120737
N,116.120737
I,116.120737
O,116.993084
N,117.835871
N,117.835871
I,118.72128
N,118.72128
N,118.72128
G,118.72128
N,119.619753
H,120.46745
D,121.361666
E,121.361666
I,121.361666
L,121.361666
I,123.05706
O,124.842486
L,124.842486
I,124.842486
O,125.714833
N,126.646245
K,126.646245
N,126.646245
G,127.518592
N,128.361379
O,128.361379
N,128.361379
G,129.275412
N,129.275412
N,129.275412
G,129.275412
N,130.160628
H,131.008326
I,131.970001
O,131.970001
N,131.970001
P,131.970001
I,132.910735
O,132.910735
P,133.914415
P,133.914415
N,135.972892
F,135.972892
G,136.845238
O,137.77665
N,137.77665
G,138.648996
P,139.491784
N,139.491784
G,140.377194
O,141.237746
L,141.237746
N,141.237746
H,141.237746
H,142.073796
C,143.042242
G,143.042242
N,143.042242
G,143.92746
N,144.782269
C,144.782269
G,144.782269
L,146.542179
I,146.542179
N,146.542179
G,147.414526
N,148.345938
G,148.345938
N,148.345938
G,149.218284
P,150.061072
N,150.061072
H,150.061072
I,151.851783
L,151.851783
N,151.851783
N,151.851783
I,152.72413
N,153.655542
G,153.655542
N,153.655542
G,154.527888
P,155.370676
N,155.370676
H,155.370676
G,157.154558
N,157.154558
I,158.026904
N,158.958316
E,158.958316
I,159.830663
N,160.67345
N,160.67345
I,161.55886
N,161.55886
N,161.55886
G,161.55886
N,162.457332
H,163.305029
D,164.199245
E,164.199245
I,164.199245
L,164.199245
I,165.894639
L,167.680066
G,167.680066
N,167.680066
G,168.552412
N,169.483824
G,169.483824
N,169.483824
G,170.356171
P,171.198958
N,171.198958
G,172.084368
N,172.084368
I,172.084368
P,174.779785
N,174.779785
G,174.779785
O,177.475203
P,177.475203
P,177.475203
N,177.475203
N,179.272148
I,180.17062
N,180.17062
G,180.17062
N,181.069093
I,182.866038
N,182.866038
L,182.866038
I,183.590851
P,183.590851
P,184.26516
L,184.26516
O,184.26516
O,184.26516
N,184.26516
J,184.26516
N,184.939469
K,184.939469
O,184.939469
O,184.939469
N,184.939469
J,184.939469
N,186.288087
C,186.288087
G,186.288087
O,186.625241
P,186.625241
P,186.962396
P,186.962396
P,187.65221
L,188.342024
G,188.342024
O,188.342024
O,188.342024
N,188.342024
J,188.342024
N,189.082947
K,189.082947
O,189.082947
O,189.082947
N,189.082947
J,189.082947
N,190.564794
O,190.564794
P,190.901949
P,190.901949
P,191.29166
P,191.29166
N,191.29166
L,191.965969
I,191.965969
P,192.640278
L,192.640278
O,192.640278
O,192.640278
N,192.640278
J,192.640278
N,193.322251
K,193.322251
O,193.322251
O,193.322251
N,193.322251
J,193.322251
N,194.686197
C,194.686197
G,194.686197
O,195.035116
P,195.035116
O,195.384034
N,195.384034
N,196.058343
E,196.580442
F,196.745314
H,196.745314
G,196.745314
P,197.486237
P,197.486237
O,198.557921
L,198.898908
C,198.898908
I,199.22865
N,199.590183
G,199.590183
O,199.590183
N,200.272156
N,200.954129
I,200.954129
N,200.954129
P,201.677195
O,201.677195
N,201.677195
N,202.761794
E,203.102781
E,203.102781
I,203.102781
N,203.443767
E,203.784754
I,203.784754
O,203.784754
N,204.114496
D,204.444239
F,204.781394
D,205.118548
E,205.118548
I,205.118548
N,205.480081
L,205.841614
E,205.841614
I,205.841614
N,206.203147
L,206.56468
F,206.913598
D,207.262517
F,207.262517
I,207.262517
N,207.603503
D,207.94449
I,207.94449
O,207.94449
N,208.285476
D,208.626463
F,208.967449
D,209.308436
I,209.308436
O,209.308436
N,209.665664
D,210.022892
E,210.022892
I,210.022892
N,210.38012
L,210.737348
F,211.094576
H,211.475383
I,211.475383
L,211.475383
I,211.825115
N,212.220998
B,212.220998
N,212.220998
G,212.565904
N,212.910812
E,212.910812
E,212.910812
I,213.255718
P,213.600626
P,213.600626
N,213.600626
E,213.949544
I,213.949544
N,213.949544
I,214.344384
P,214.344384
N,214.344384
G,214.697409
N,215.050433
G,215.050433
N,215.050433
G,215.440144
N,215.829856
G,215.829856
N,215.829856
I,215.829856
P,216.285922
H,216.285922
I,216.84375
P,216.84375
P,217.543214
N,218.217522
D,218.217522
I,218.217522
N,218.891832
L,218.891832
I,218.891832
N,220.24045
G,220.24045
O,220.24045
N,220.577604
F,220.914758
I,220.914758
P,221.604572
N,222.294386
G,222.294386
N,223.03531
C,223.03531
I,223.03531
N,224.517157
L,224.517157
I,224.517157
P,224.854312
L,225.244023
I,225.244023
P,225.918332
N,226.592641
D,226.592641
I,226.592641
N,227.274614
L,227.274614
I,227.274614
N,228.63856
J,228.63856
O,228.63856
N,228.987478
E,229.336396
G,229.336396
O,229.336396
N,230.010706
L,230.697676
E,230.697676
I,230.697676
N,231.4386
B,231.4386
L,231.4386
F,232.510284
B,232.85127
I,232.85127
P,233.181013
O,233.542546
N,233.542546
P,234.525
L,234.862155
I,234.862155
N,235.188313
L,235.51447
I,235.840628
N,235.840628
P,236.166786
L,236.492944
I,236.492944
N,236.819102
D,237.145259
I,237.145259
P,237.471417
N,237.794067
G,237.794067
P,238.116717
L,238.442875
I,238.442875
L,238.765525
I,238.765525
O,239.088175
N,239.410825
E,239.740568
E,240.07031
E,240.415217
E,240.760124
E,241.117352
F,241.528424
G,241.528424
P,242.22626
N,242.924097
D,242.924097
I,242.924097
N,243.638553
L,244.353009
I,244.353009
N,245.067465
F,245.452179
D,245.836893
E,245.836893
I,246.559959
N,247.369961
G,247.369961
P,247.786744
P,249.918302
L,249.918302
I,249.918302
N,250.870986
N,252.776353
I,252.776353
O,252.776353
N,253.793647
F,255.828235
H,255.828235
I,255.828235
N,256.900046
G,257.971858
N,259.043669
G,259.043669
P,259.620814
L,263.145109
I,263.783678
P,263.783678
L,267.615095
H,267.615095
G,267.615095
O,271.446512
N,271.446512
G,271.446512
