motifs,time
L,0.153151
I,0.229726
L,0.7532
I,0.830665
L,0.908131
I,0.985596
N,1.51033
B,1.588096
L,1.665862
I,1.743629
L,2.26828
I,2.346047
L,2.423814
I,2.50158
N,3.023947
B,3.102072
L,3.180197
I,3.258322
N,3.775468
E,3.788375
E,3.801281
E,3.814188
I,4.698536
N,4.776606
G,4.854676
O,4.932746
L,5.497651
C,5.497651
E,5.497651
G,6.269984
L,6.345524
L,6.421065
I,6.496605
J,6.782619
N,6.858159
L,6.933699
I,7.009239
L,7.507775
H,7.634133
C,7.697312
C,7.760491
H,8.263763
D,8.456847
B,8.521208
F,9.019754
I,9.296685
L,9.372225
L,9.447766
I,9.523306
J,9.801367
N,9.876907
L,9.952447
I,10.027987
L,10.526523
H,10.779239
I,11.035496
N,11.282511
D,11.411234
B,11.454141
C,11.539956
H,12.038502
I,12.311303
L,12.386843
L,12.462384
I,12.537924
J,12.814702
N,12.890242
L,12.965783
I,13.041323
L,13.539858
H,13.666216
C,13.729396
C,13.792575
H,14.295847
D,14.48893
B,14.553291
F,15.051837
I,15.324639
L,15.400179
L,15.475719
I,15.551259
J,15.825507
N,15.901047
L,15.976588
I,16.052128
L,16.550663
H,16.80338
I,17.059637
N,17.306652
D,17.435374
B,17.478281
C,17.564096
H,18.062642
I,18.340987
L,18.416527
G,18.492068
O,18.567608
J,18.844386
N,18.919926
L,18.995467
I,19.071007
L,19.569542
D,19.822259
B,19.900715
C,19.979171
H,20.057627
H,20.304642
D,20.509243
B,20.577443
F,21.075989
I,21.332246
L,21.407786
G,21.483327
O,21.558867
J,21.836928
N,21.912468
G,21.988008
O,22.063548
L,22.562084
D,22.8148
B,22.893256
C,22.971712
H,23.050168
H,23.297183
D,23.479051
B,23.569985
F,24.068531
I,24.342704
L,24.417504
L,24.492303
I,24.567103
N,25.063544
G,25.137241
L,25.210938
I,25.284636
L,25.778756
I,25.851648
J,25.92454
O,25.997431
N,26.483874
G,26.555287
L,26.6267
I,26.698114
L,27.176094
C,27.247072
G,27.318049
O,27.389026
L,27.865109
I,27.937942
L,28.010775
I,28.083608
N,28.61235
E,28.688459
C,28.764568
H,28.840678
C,29.100744
H,29.379089
G,29.670747
N,29.670747
L,29.670747
I,30.233124
N,30.449123
N,30.927863
I,31.146219
N,31.63971
O,31.88023
P,32.501052
N,32.746773
N,32.746773
C,33.001896
C,33.001896
E,33.292904
I,33.544815
N,33.544815
C,33.806618
C,33.806618
E,34.101922
I,34.350699
N,34.350699
C,34.612502
C,34.612502
E,34.90351
F,35.15126
B,35.22708
L,35.302901
I,35.378722
N,35.66973
B,35.91748
N,35.91748
C,36.172603
C,36.172603
E,36.455382
I,36.707293
N,36.707293
G,36.963506
N,37.228781
G,37.477558
N,37.477558
C,37.739361
C,37.739361
E,38.030369
F,38.278119
B,38.354519
L,38.430919
I,38.507319
N,38.798327
B,39.046076
N,39.046076
C,39.3012
C,39.3012
F,39.578746
B,39.830657
N,39.830657
C,40.09246
C,40.09246
G,40.379294
N,40.628071
H,40.628071
C,40.889874
C,40.889874
I,41.202082
N,41.449831
H,41.449831
C,41.704955
C,41.704955
D,41.976227
C,42.228138
H,42.228138
C,42.489941
C,42.489941
I,42.766209
P,43.014986
N,43.014986
C,43.276789
C,43.276789
E,43.567797
C,43.816574
H,43.816574
C,44.078377
C,44.078377
D,44.341328
B,44.341328
C,44.59864
C,44.59864
C,44.862748
C,44.862748
G,45.192092
N,45.439842
N,45.439842
C,45.694965
C,45.694965
E,46.002059
I,46.25397
N,46.25397
C,46.515773
C,46.515773
E,46.811077
I,47.059854
N,47.059854
C,47.321657
C,47.321657
E,47.612665
F,47.860415
B,47.934659
L,48.008904
I,48.083148
N,48.374156
B,48.621906
N,48.621906
C,48.877029
C,48.877029
E,49.159808
I,49.411719
N,49.411719
G,49.671032
N,49.942059
G,50.190836
N,50.190836
C,50.452639
C,50.452639
E,50.743647
F,50.991397
B,51.06676
L,51.142124
I,51.217488
N,51.508496
B,51.756245
N,51.756245
C,52.011369
C,52.011369
F,52.288915
B,52.540826
N,52.540826
C,52.802629
C,52.802629
G,53.0962
N,53.344977
H,53.344977
C,53.60678
C,53.60678
I,53.918987
N,54.166737
H,54.166737
C,54.42186
C,54.42186
D,54.693133
C,54.945043
H,54.945043
C,55.206846
C,55.206846
I,55.483115
P,55.735874
N,55.735874
C,55.997677
C,55.997677
E,56.288685
C,56.539333
H,56.539333
C,56.801136
C,56.801136
I,57.359683
O,57.359683
P,57.623791
P,57.623791
N,57.907909
B,57.907909
N,58.165221
B,58.165221
P,58.429329
P,58.429329
N,58.704331
L,58.961643
I,58.961643
P,59.225751
P,59.225751
N,59.500754
L,59.758066
I,59.758066
N,60.022174
B,60.022174
N,60.29972
L,60.557032
I,60.557032
P,60.82114
P,60.82114
P,61.105258
N,61.105258
G,61.105258
O,61.928706
N,61.928706
E,61.928706
I,62.836563
O,63.800123
L,63.875663
L,63.951203
I,64.026743
J,64.312757
N,64.388297
L,64.463837
I,64.539378
L,65.037913
H,65.164271
C,65.22745
C,65.29063
H,65.793902
D,65.992682
B,66.058943
F,66.557489
I,66.83442
L,66.90996
L,66.9855
I,67.061041
J,67.339102
N,67.414642
L,67.490182
I,67.565722
L,68.064258
H,68.316974
I,68.573231
N,68.820246
D,68.948968
B,68.991876
C,69.077691
H,69.576237
I,69.854814
L,69.930354
L,70.005894
I,70.081435
J,70.358213
N,70.433753
L,70.509293
I,70.584834
L,71.083369
H,71.209727
C,71.272906
C,71.336086
H,71.839358
D,72.036398
B,72.102078
F,72.600624
I,72.873425
L,72.948965
L,73.024505
I,73.100046
J,73.374294
N,73.449834
L,73.525374
I,73.600914
L,74.09945
H,74.352166
I,74.608423
N,74.855438
D,74.98416
B,75.027068
C,75.112883
H,75.611429
I,75.889774
L,75.965314
G,76.040854
O,76.116394
J,76.393173
N,76.468713
L,76.544253
I,76.619793
L,77.118329
D,77.371045
B,77.449501
C,77.527957
H,77.606413
H,77.853428
D,78.058029
B,78.12623
F,78.624776
I,78.881033
L,78.956573
G,79.032113
O,79.107653
J,79.385714
N,79.461254
G,79.536794
O,79.612335
L,80.11087
D,80.363587
B,80.442043
C,80.520499
H,80.598955
H,80.84597
D,81.027837
B,81.118771
F,81.617317
I,81.89149
L,81.964912
L,82.038333
I,82.111755
N,82.608195
G,82.680743
L,82.753291
I,82.825839
L,83.319959
I,83.392219
J,83.464478
O,83.536738
N,84.02318
G,84.094593
L,84.166007
I,84.23742
L,84.715401
C,84.786378
G,84.857355
O,84.928333
L,85.404415
I,85.477248
L,85.550081
I,85.622915
N,86.161773
E,86.241779
C,86.321786
H,86.401792
C,86.666119
H,86.951861
G,87.258014
N,87.258014
L,87.258014
