motifs,time
C,0.520866
E,0.592295
E,0.663724
I,1.118268
N,1.189697
E,1.261126
E,1.332554
I,2.685938
O,3.248438
N,3.248438
N,3.248438
N,4.373438
H,4.373438
G,4.373438
O,4.654688
P,4.654688
N,4.654688
N,4.748438
B,4.748438
O,4.748438
N,4.95252
G,4.95252
N,4.95252
O,5.360682
N,5.42871
E,5.496737
E,5.564764
I,5.972927
N,6.040954
E,6.108981
E,6.177008
I,7.309082
O,7.830822
L,7.830822
L,7.830822
F,8.8743
G,8.8743
N,8.8743
P,9.135169
O,9.135169
N,9.135169
G,9.225804
O,9.225804
N,9.225804
P,9.419352
F,9.419352
G,9.419352
J,9.941091
P,9.941091
O,10.46283
L,10.46283
N,14.404974
B,14.47394
E,14.542905
E,14.61187
I,15.025664
N,15.094629
E,15.163594
E,15.23256
I,16.473939
O,17.036439
L,17.036439
N,17.036439
G,17.880189
N,17.880189
L,17.880189
F,17.973939
B,17.973939
N,17.973939
L,18.161439
C,18.161439
G,18.161439
N,18.442689
G,18.442689
L,18.442689
I,18.536439
P,18.536439
N,18.536439
K,18.74052
O,18.74052
N,18.74052
G,19.148684
N,19.216711
E,19.284738
E,19.352765
I,19.760928
N,19.828955
E,19.896982
E,19.96501
I,21.03244
O,21.533832
N,21.533832
G,21.533832
P,22.536618
O,22.536618
N,22.536618
L,22.787315
C,22.787315
G,22.787315
O,22.87795
P,22.87795
N,22.87795
L,23.071498
E,23.071498
I,23.071498
L,23.593237
C,23.593237
I,23.593237
L,23.593237
H,24.137044
C,24.137044
I,24.137044
N,24.137044
G,27.731374
N,28.688831
H,28.777326
H,28.865822
H,28.954318
H,29.042813
H,29.131308
H,29.219804
H,29.3083
H,29.396795
H,29.48529
H,29.573786
D,30.104759
E,30.193604
E,30.282802
E,30.372443
E,30.462443
E,30.547609
E,30.643741
F,31.25666
B,31.346931
H,31.436841
H,31.526305
H,31.615414
H,31.704084
H,31.79238
I,32.402171
N,33.274352
H,33.361057
