motifs,time
L,2.311596
F,2.472782
H,2.472782
G,2.472782
O,3.130677
N,3.130677
G,3.130677
O,3.807267
N,3.807267
G,3.807267
O,5.216711
N,5.216711
D,5.861456
F,5.861456
D,6.345015
E,6.345015
E,6.506201
I,6.506201
N,7.167431
B,7.167431
P,7.878416
P,7.878416
O,9.300386
N,9.300386
N,10.016804
G,10.016804
P,10.512727
P,10.512727
N,10.678034
G,10.678034
P,11.339264
P,11.339264
P,12.043655
P,12.043655
P,13.452437
J,13.452437
P,14.185127
P,14.185127
L,14.774828
I,14.774828
L,14.971394
I,14.971394
N,15.714612
B,15.714612
N,16.502634
B,16.502634
N,18.078678
G,18.723423
N,18.723423
I,19.206982
N,19.368168
G,19.368168
N,19.368168
L,20.019422
C,20.019422
G,20.019422
O,20.696012
N,20.696012
G,20.696012
O,22.287946
N,22.287946
D,22.932691
F,22.932691
D,23.426113
F,23.426113
I,23.590586
L,23.590586
C,24.296608
C,24.296608
I,25.211382
N,25.211382
N,25.211382
I,25.211382
L,25.211382
I,27.36038
N,27.36038
F,28.024979
B,28.024979
D,28.523428
E,28.523428
E,28.689578
I,28.689578
P,29.364646
P,29.364646
P,30.061591
P,30.061591
N,31.580445
B,31.580445
O,32.386355
P,32.386355
L,33.022667
I,33.022667
N,33.234771
B,33.509446
N,33.509446
N,34.284106
B,34.284106
P,35.19888
P,35.19888
