motifs,time
I,1.243524
P,1.340574
L,1.452189
I,1.684287
L,1.684287
P,1.781336
G,1.890954
L,2.115928
I,2.115928
P,2.212978
L,2.321753
F,2.546054
G,2.546054
P,2.643431
G,2.752206
O,2.976507
L,2.976507
P,3.073557
L,3.181922
E,3.405452
I,3.405452
P,3.502829
G,3.610781
P,3.831813
H,3.831813
D,3.928863
G,4.036816
P,4.257848
K,4.257848
P,4.354572
L,4.463346
E,4.687648
I,4.687648
P,4.784697
G,4.893892
O,5.120374
L,5.120374
P,5.217424
G,5.326618
L,5.550976
I,5.550976
P,5.649021
L,5.759478
G,5.986231
P,5.986231
P,6.092531
L,6.208603
I,6.487724
L,6.487724
P,6.584774
L,6.69639
I,6.933908
L,6.933908
P,7.030957
G,7.140992
L,7.37123
I,7.37123
P,7.46828
L,7.579456
F,7.805523
G,7.805523
P,7.9029
G,8.012518
O,8.238531
L,8.238531
P,8.33558
L,8.444775
E,8.669327
I,8.669327
P,8.766704
G,8.875479
P,9.10065
H,9.10065
D,9.197699
G,9.306894
N,9.531251
G,9.531251
P,9.627975
G,9.73717
P,9.96276
J,9.96276
P,10.05981
G,10.17185
P,10.40118
G,10.40118
P,10.498229
L,10.61027
G,10.840486
P,10.840486
P,10.938532
L,11.053237
G,11.290903
P,11.290903
P,11.397203
L,11.513275
I,11.788378
L,11.788378
P,11.836903
L,11.885428
C,11.941236
D,11.997043
I,12.229141
L,12.229141
P,12.277666
E,12.32619
C,12.380999
I,12.435808
L,12.660782
I,12.660782
P,12.709307
L,12.757832
C,12.81222
D,12.866607
F,13.090908
G,13.090908
P,13.139597
E,13.188285
C,13.242672
I,13.29706
O,13.521361
L,13.521361
P,13.569886
L,13.618411
C,13.672594
D,13.726776
E,13.950306
I,13.950306
P,13.998994
E,14.047683
C,14.101659
I,14.155635
P,14.376667
H,14.376667
D,14.425192
E,14.473717
C,14.527693
I,14.58167
P,14.802702
K,14.802702
P,14.851064
L,14.899426
C,14.953813
D,15.0082
E,15.232502
I,15.232502
P,15.281026
E,15.329551
C,15.384148
I,15.438746
O,15.665228
L,15.665228
P,15.713753
E,15.762278
C,15.816875
I,15.871472
L,16.09583
I,16.09583
P,16.144852
L,16.193875
C,16.249103
D,16.304332
G,16.531085
P,16.531085
P,16.584235
L,16.637385
C,16.695421
D,16.753457
I,17.032578
L,17.032578
P,17.081103
L,17.129628
C,17.185436
D,17.241244
I,17.478762
L,17.478762
P,17.527286
E,17.575811
C,17.630829
I,17.685846
L,17.916084
I,17.916084
P,17.964609
L,18.013134
C,18.068722
D,18.12431
F,18.350377
G,18.350377
P,18.399066
E,18.447754
C,18.502563
I,18.557372
O,18.783385
L,18.783385
P,18.83191
L,18.880434
C,18.935032
D,18.989629
E,19.214181
I,19.214181
P,19.26287
E,19.311558
C,19.365946
I,19.420333
P,19.645504
H,19.645504
D,19.694028
E,19.742553
C,19.79715
I,19.851748
N,20.076105
G,20.076105
P,20.124467
E,20.172829
C,20.227426
I,20.282024
P,20.507614
J,20.507614
P,20.556139
E,20.604664
C,20.660684
I,20.716704
P,20.946034
G,20.946034
P,20.996369
L,21.046705
C,21.104176
D,21.161647
G,21.399039
P,21.399039
P,21.450763
L,21.502487
C,21.562487
D,21.622487
G,21.871797
P,21.871797
P,21.924947
L,21.978097
C,22.036133
D,22.094169
I,22.389736
L,22.389736
P,22.486786
G,22.60025
P,22.834196
G,22.834196
P,22.931246
G,23.041784
P,23.26768
H,23.26768
D,23.36473
G,23.473504
P,23.697806
L,23.697806
P,23.795183
G,23.905884
P,24.132112
L,24.132112
P,24.229162
G,24.340272
P,24.566547
G,24.566547
P,24.663924
G,24.775864
P,25.000884
G,25.000884
P,25.097934
G,25.209549
P,25.441647
G,25.441647
P,25.538696
G,25.648314
P,25.873288
H,25.873288
D,25.970338
G,26.079113
P,26.303414
L,26.303414
P,26.400791
G,26.511492
P,26.73772
L,26.73772
P,26.83477
G,26.946294
P,27.172982
G,27.172982
P,27.270359
G,27.382299
P,27.607319
G,27.607319
P,27.704368
G,27.815984
P,28.048082
G,28.048082
P,28.145131
G,28.254748
P,28.479723
G,28.479723
P,28.576773
G,28.689132
P,28.917019
L,28.917019
D,29.014396
G,29.1289
P,29.362926
