motifs,time
C,5.952941
H,6.042405
C,6.131164
H,6.219313
E,6.307984
F,6.396917
H,6.48524
C,6.572959
C,6.660936
H,6.749782
C,6.837845
E,6.926081
E,7.014577
I,7.220173
N,7.309025
C,7.397261
H,7.485069
C,7.573564
H,7.661714
E,7.749348
F,7.837671
H,7.926517
C,8.015803
C,8.104387
H,8.192192
C,8.280602
E,8.370066
E,8.458824
I,8.664395
N,8.754724
E,8.844496
E,8.933811
E,9.023308
E,9.11253
E,9.201481
G,9.29016
N,9.37788
H,9.465343
H,9.553407
H,9.641902
H,9.730398
D,9.817692
F,9.905927
H,9.994423
D,10.082314
I,10.170206
L,10.258702
H,10.346851
D,10.43457
F,10.522289
H,10.610009
D,10.697728
F,10.785958
H,10.874548
D,10.963407
I,11.052813
L,11.143891
D,11.236905
F,11.331831
H,11.534553
C,11.622443
C,11.710421
H,11.799708
C,11.88926
H,11.978195
E,12.066258
F,12.154234
H,12.24308
C,12.332277
C,12.421035
H,12.509098
C,12.597334
E,12.686004
E,12.774761
I,12.981799
N,13.070557
C,13.159227
H,13.247811
C,13.33692
H,13.425416
E,13.513565
F,13.602763
H,13.692049
C,13.780719
C,13.868955
H,13.957018
C,14.045952
E,14.134974
E,14.223557
F,14.329849
F,14.430271
C,14.5206
H,14.610372
C,14.699687
G,14.789184
N,14.878406
H,14.967357
H,15.056036
I,15.143761
N,15.231825
H,15.320321
H,15.40873
H,15.496194
H,15.584516
H,15.673012
D,15.761507
F,15.850003
D,15.937895
I,16.025615
N,16.114024
F,16.202519
F,16.289905
I,16.376948
N,16.464667
F,16.552897
D,16.641487
I,16.730346
N,16.819752
F,16.91126
H,17.005176
C,17.101944
F,17.203371
B,17.308222
N,17.411896
N,17.514881
I,17.617184
O,17.718703
N,17.819772
N,17.920674
I,18.021469
O,18.122053
N,18.222742
F,18.323644
I,18.424763
O,18.525991
N,18.627867
N,18.730961
I,18.835296
P,18.938504
N,19.03941
N,19.140311
I,19.241213
O,19.342114
N,19.443016
N,19.543811
F,19.644395
I,19.74519
N,19.846201
N,19.947429
C,20.048979
I,20.150746
N,20.25328
N,20.356822
I,20.4607
O,20.56225
N,20.6638
N,20.765243
I,20.866472
O,20.9677
N,21.06871
N,21.169612
I,21.270407
O,21.370991
N,21.47168
F,21.572582
I,21.673701
O,21.774929
N,21.876804
N,21.979899
I,22.084234
O,22.1871
N,22.289967
P,22.392723
I,22.495936
O,22.601314
N,22.708238
N,22.818009
I,22.933247
O,23.038275
P,23.144003
N,23.250445
I,23.357608
O,23.465374
N,23.573631
N,23.682261
I,23.790654
O,23.892204
N,23.993755
N,24.095198
I,24.196426
O,24.297654
N,24.398665
N,24.499566
I,24.600362
O,24.700945
N,24.801635
F,24.902536
I,25.003655
O,25.104884
N,25.206759
N,25.309853
I,25.414188
P,25.517396
N,25.618302
N,25.719204
I,25.820105
O,25.921007
N,26.021908
N,26.122704
F,26.223287
I,26.324083
N,26.425093
N,26.526321
C,26.627871
I,26.729638
N,26.832172
N,26.935714
I,27.038697
O,27.141122
N,27.243214
N,27.34498
I,27.44653
O,27.547759
N,27.64866
N,27.749244
E,27.849504
G,27.950192
N,28.051203
N,28.152431
I,28.253981
O,28.355748
N,28.458282
N,28.561824
I,28.665254
O,28.76779
P,28.869991
N,28.971974
I,29.073741
O,29.175184
N,29.276412
N,29.377313
I,29.478003
O,29.578264
N,29.678847
N,29.779749
I,29.880977
O,29.982527
N,30.084402
N,30.186602
I,30.289138
O,30.391952
N,30.494153
N,30.596136
I,30.697903
O,30.799345
N,30.900574
N,31.001475
I,31.102165
O,31.202425
N,31.303009
N,31.40391
I,31.505139
O,31.606689
N,31.708563
N,31.810764
I,31.9133
O,32.021448
N,32.118539
N,32.220522
I,32.322289
O,32.428793
N,32.52496
N,32.625861
I,32.726551
O,32.826812
N,32.927395
N,33.028297
I,33.129475
O,33.231553
N,33.335462
N,33.44139
I,33.549168
O,33.662978
N,33.765469
N,33.872742
I,33.979522
O,34.085692
N,34.191378
N,34.296464
I,34.401077
O,34.505338
N,34.61007
N,34.715516
I,34.821563
O,34.928342
N,35.035742
N,35.143765
I,35.253325
O,35.363138
N,35.472563
N,35.581601
I,35.690258
O,35.798533
N,35.906431
N,36.013953
I,36.121104
O,36.228257
N,36.337169
N,36.448037
I,36.560925
P,36.67577
N,36.792787
D,36.912064
I,37.135606
N,37.224054
C,37.311773
H,37.399578
C,37.488074
H,37.575623
E,37.663258
F,37.751666
H,37.839301
C,37.926851
C,38.015435
H,38.103499
C,38.19139
E,38.279799
E,38.367775
I,38.578202
N,38.666697
C,38.755193
H,38.843256
C,38.932189
H,39.020685
E,39.109007
F,39.197329
H,39.285306
C,39.373629
C,39.46152
H,39.55019
C,39.638081
E,39.726144
E,39.814379
I,40.022521
N,40.11285
E,40.202622
E,40.291937
E,40.381434
E,40.470656
E,40.559607
G,40.648197
N,40.735917
H,40.824762
H,40.913433
H,41.001496
H,41.090081
D,41.178927
F,41.266989
H,41.35566
D,41.443983
I,41.531788
L,41.620284
H,41.708347
D,41.796412
F,41.88517
H,41.973406
D,42.061382
F,42.149612
H,42.238202
D,42.327062
I,42.416468
L,42.507546
D,42.60056
F,42.695694
H,42.894292
C,42.982614
C,43.070334
H,43.158918
C,43.247414
H,43.335133
E,43.423283
F,43.511778
H,43.599928
C,43.688424
C,43.776747
H,43.86481
C,43.953655
E,44.042151
E,44.130646
C,44.241618
H,44.334546
C,44.422826
C,44.510802
H,44.599735
C,44.688319
E,44.776381
E,44.865052
C,44.953722
H,45.041527
C,45.129591
C,45.218348
H,45.306584
C,45.394389
E,45.482884
E,45.57138
I,45.778474
N,45.866883
C,45.95486
H,46.043009
C,46.131593
H,46.219569
E,46.308327
C,46.396564
H,46.484627
C,46.57321
C,46.661533
H,46.749338
C,46.837487
E,46.925722
E,47.013958
C,47.124033
H,47.216961
C,47.305675
C,47.394171
H,47.48232
C,47.569954
E,47.657588
E,47.746172
C,47.833892
H,47.921955
C,48.0108
C,48.098864
H,48.1871
C,48.275335
E,48.363399
E,48.451634
I,48.570606
N,48.662385
C,48.752721
H,48.842493
C,48.931808
G,49.021305
N,49.110527
H,49.199478
H,49.288178
H,49.376804
H,49.465471
H,49.554344
H,49.643304
H,49.732435
H,49.821695
H,49.911081
H,50.000997
C,50.091832
C,50.181817
H,50.27159
C,50.360904
G,50.450401
N,50.539624
H,50.628574
H,50.717253
H,50.805374
H,50.893745
H,50.982371
H,51.071502
H,51.16141
H,51.252109
H,51.343614
D,51.435846
G,51.620496
N,51.712821
H,51.805145
H,51.894532
H,51.983919
H,52.073306
H,52.162692
H,52.252341
H,52.341989
H,52.431638
H,52.521286
H,52.611193
H,52.701099
H,52.791006
H,52.881001
H,52.971172
H,53.061343
H,53.151514
H,53.241686
H,53.331857
H,53.422028
H,53.512199
H,53.602371
H,53.692542
H,53.782713
H,53.872884
H,53.963143
H,54.053842
H,54.145346
H,54.23767
H,54.330829
I,54.726086
N,54.824588
I,54.922467
O,55.020139
N,55.117706
C,55.21497
I,55.312131
O,55.409086
N,55.505842
C,55.602498
I,55.698849
O,55.795102
N,55.891157
C,55.985741
I,56.080324
O,56.174908
N,56.269491
C,56.364075
I,56.458658
O,56.553242
N,56.647825
C,56.742409
I,56.836992
O,56.931576
N,57.026159
C,57.120743
I,57.215326
O,57.30991
N,57.404493
C,57.50206
I,57.599628
O,57.697195
N,57.794762
C,57.890224
I,57.985687
O,58.081149
N,58.176611
N,58.273567
I,58.370522
O,58.467478
N,58.564433
N,58.661389
I,58.758344
O,58.8553
N,58.951464
N,59.049032
I,59.146911
O,59.245203
N,59.34381
N,59.442837
I,59.542182
O,59.641955
N,59.742266
N,59.844345
I,59.948491
O,60.054786
N,60.163317
N,60.274998
I,60.391738
O,60.514018
P,66.033658
L,67.419256
E,67.503668
C,67.58808
H,67.775229
D,68.112876
E,68.450524
E,68.809676
E,70.198082
I,70.880831
P,71.57523
N,72.281278
H,72.979358
C,73.669727
F,74.208649
H,74.443024
D,75.896184
E,78.73642
E,78.820832
C,78.905244
H,79.092393
F,79.439214
E,79.786035
E,80.145187
C,80.83939
H,81.533593
C,82.216342
F,82.910741
H,83.969813
C,84.066587
E,84.163361
C,84.260135
D,84.35691
F,85.441248
D,85.872902
B,88.817121
N,90.24893
E,90.333342
C,90.417754
H,90.604903
D,90.94776
E,91.290617
E,91.649769
E,93.038175
I,93.720924
P,94.415323
N,95.121371
H,95.819451
C,96.164635
C,96.262038
H,96.35944
C,96.456843
E,96.554246
F,97.120283
H,97.358379
D,98.793294
E,101.63353
E,101.717942
C,101.802353
H,101.989502
F,102.332359
E,102.675216
E,103.034369
C,103.728572
H,104.422775
C,105.105524
F,105.799922
G,106.858994
N,106.958994
E,107.058994
C,107.158994
I,107.258994
N,108.370106
D,108.804888
B,110.250986
I,111.356526
O,111.711556
N,113.164868
E,113.254132
C,113.343397
C,113.432661
C,113.521926
C,113.581435
C,113.640945
H,113.700455
C,113.878984
E,114.422054
F,114.608066
I,115.310067
N,116.236343
H,116.440164
H,116.643985
H,116.847805
H,117.053106
I,117.38781
O,117.568249
N,118.930729
N,119.021561
H,119.557148
C,119.735677
H,120.278747
I,120.464759
N,121.878662
E,122.626126
F,122.871155
H,123.120772
H,123.375146
C,124.783644
E,124.854232
C,124.924511
C,124.994279
C,125.063543
H,125.132345
D,125.475202
E,125.818059
E,126.177211
E,127.565617
I,128.248366
P,128.942765
N,129.648813
H,130.346893
C,130.692077
