motifs,time
E,0.498504
E,0.747756
F,0.997008
F,1.24626
E,1.495512
E,1.744764
F,2.118642
F,2.36515
E,2.608913
E,2.852677
F,3.099184
F,3.345248
E,3.588124
E,3.84214
F,4.099346
F,4.345409
E,4.588285
E,4.83116
F,5.077224
F,5.3224
E,5.563499
E,5.804599
F,6.048382
F,6.29485
E,6.537725
E,6.780601
F,7.024368
F,7.268135
E,7.51101
E,7.753886
F,7.997156
F,8.240426
E,8.484189
E,8.727953
F,8.96972
F,9.210592
E,9.452566
E,9.694541
F,9.93736
F,10.18063
E,10.423506
E,10.666381
F,10.910148
F,11.153465
E,11.395439
E,11.645904
F,11.897711
F,12.141028
E,12.38048
E,12.619795
I,12.862084
N,13.104959
E,13.346512
E,13.58846
F,13.830842
D,14.071941
E,14.312175
E,14.551115
I,14.790486
N,15.030716
E,15.270947
E,15.514753
F,15.758559
D,15.99879
F,16.23902
D,16.479251
F,16.718774
D,16.957589
F,17.192662
D,17.431186
E,17.671857
E,17.911225
F,18.150593
D,18.389961
F,18.631974
D,18.876633
E,19.124056
E,19.383534
F,19.639356
B,19.879203
C,20.11602
C,20.355866
C,20.596134
C,20.833796
C,21.071458
C,21.309119
C,21.549388
C,21.789234
C,22.026051
C,22.265897
C,22.506166
C,22.743827
C,22.981488
C,23.21915
C,23.459418
C,23.699265
C,23.936082
C,24.175928
C,24.416196
C,24.653858
C,24.89152
C,25.129181
H,25.36945
D,25.609296
C,25.846113
C,26.088212
I,26.356637
N,26.595803
C,26.837223
C,27.085179
E,27.354546
E,27.594392
C,27.831209
C,28.073308
I,28.341733
N,28.580899
C,28.822319
C,29.070768
F,29.339481
D,29.579327
C,29.816144
C,30.055991
C,30.296259
C,30.531949
C,30.765666
C,30.999384
C,31.23768
C,31.477526
C,31.714343
C,31.956443
C,32.224868
C,32.464033
C,32.705454
C,32.948329
C,33.191205
C,33.431051
C,33.667868
C,33.904685
C,34.142915
C,34.382081
C,34.623501
C,34.87195
C,35.140663
C,35.380509
C,35.617326
C,35.859426
C,36.12785
C,36.367016
C,36.608436
C,36.856392
C,37.125759
C,37.365605
C,37.602422
C,37.844522
C,38.112946
C,38.352112
C,38.593532
C,38.841981
C,39.126622
C,39.366468
C,39.603285
C,39.845385
C,40.11381
C,40.352975
C,40.594396
C,40.842844
G,41.001373
O,41.122811
N,41.362657
C,41.599474
C,41.83932
G,41.960758
P,42.079589
N,42.31725
C,42.554912
C,42.792573
G,42.911404
P,43.032842
N,43.272688
C,43.509505
C,43.749351
C,43.98962
C,44.227281
G,44.364745
P,44.483209
N,44.720139
G,44.838604
P,44.960041
N,45.199888
G,45.318296
P,45.436705
N,45.676551
G,45.797989
P,45.916819
N,46.154481
G,46.273312
P,46.392142
N,46.629804
G,46.76664
P,46.888078
N,47.127924
C,47.364741
C,47.604587
C,47.844856
C,48.082517
C,48.320179
C,48.55784
G,48.676671
P,48.798109
N,49.037955
C,49.274772
C,49.514618
E,49.636056
I,49.754887
N,49.992548
C,50.23021
C,50.467871
G,50.586702
O,50.70814
N,50.947986
C,51.184803
C,51.424649
C,51.664918
C,51.902579
G,52.02141
P,52.140241
N,52.377902
G,52.496733
P,52.618171
N,52.858017
G,52.976426
P,53.094834
N,53.33468
E,53.456118
I,53.574949
N,53.81261
E,53.931441
I,54.050272
N,54.287933
G,54.406764
O,54.528202
N,54.768048
C,55.004865
C,55.244711
C,55.48498
C,55.722641
C,55.960303
C,56.197964
F,56.441421
D,56.687485
E,56.93036
E,57.173236
I,57.4193
N,57.664475
E,57.905575
E,58.146674
F,58.39185
D,58.637914
E,58.880789
E,59.123665
I,59.369729
N,59.614904
E,59.856004
E,60.097103
I,60.217653
N,60.341815
E,60.586527
E,60.827626
E,61.068726
F,61.309825
F,61.550925
E,61.792024
E,62.036736
I,62.161362
N,62.285524
E,62.530236
E,62.771335
E,63.012435
F,63.253534
F,63.494634
E,63.735733
E,63.980445
G,64.601719
N,64.767268
A,64.932818
A,65.098367
A,65.263916
A,65.429466
A,65.595015
A,65.760564
A,65.929994
A,66.103305
B,66.351629
H,66.599953
D,67.593249
F,67.758798
H,67.928228
D,68.101538
B,68.598186
H,68.763735
H,68.936698
H,69.117073
H,69.369153
I,70.629925
N,70.795474
H,70.968437
H,71.148812
H,71.400892
I,71.652971
N,71.821024
H,71.991706
H,72.123144
D,72.152515
E,72.181885
G,72.211255
N,72.468215
G,74.208407
N,74.234212
E,74.260017
G,74.285822
N,74.542782
G,75.831555
N,75.960532
C,76.089509
C,76.218485
C,76.347462
C,76.475942
C,76.604422
C,76.728584
C,76.852746
C,76.980732
C,77.108718
C,77.23288
C,77.357042
C,77.484539
C,77.612036
C,77.739532
C,77.867029
C,77.993069
C,78.119109
C,78.245148
C,78.371188
C,78.500165
C,78.629142
C,78.758118
C,78.887095
D,79.016072
C,79.145049
C,79.271567
G,79.651122
L,79.77764
I,80.157195
N,80.283713
C,80.410231
D,80.538711
C,80.667191
C,80.791353
C,80.915515
C,81.043501
C,81.171487
C,81.295649
C,81.419811
C,81.547308
C,81.674805
