motifs,time
C,1.872074
C,2.808111
C,3.744148
F,4.040006
H,4.187935
D,4.335864
E,4.660539
F,4.660539
I,4.954225
P,5.101068
D,5.247911
F,5.604417
H,6.540454
D,7.282197
E,7.405959
E,7.529722
I,8.458515
N,8.458515
N,9.168454
D,9.30457
E,9.440686
I,10.369479
N,10.369479
N,11.07548
D,11.205689
E,11.335897
F,11.645495
G,11.645495
N,11.93704
G,11.93704
P,12.246638
P,12.246638
L,12.533994
I,12.533994
L,12.829852
I,12.829852
P,12.994868
N,13.077377
E,13.159885
I,14.095922
N,14.095922
J,14.961862
L,15.077961
I,16.006754
N,16.006754
L,16.849055
E,16.964262
I,17.885921
N,17.885921
L,18.725233
E,18.838697
I,19.134555
N,19.134555
L,19.430413
E,19.735291
F,19.735291
I,20.028977
P,20.17582
D,20.340836
F,20.546094
D,20.668844
I,21.590503
N,21.590503
J,22.311749
L,22.426078
E,22.540408
I,23.462067
N,23.462067
E,24.185593
E,24.305401
E,24.42521
I,25.391394
N,25.391394
N,26.154336
D,26.280175
E,26.406014
I,27.421389
N,27.421389
N,28.25684
C,28.425417
E,28.593994
I,29.782348
J,31.224226
L,32.160263
C,33.0963
C,34.032337
C,34.968374
F,35.264232
H,35.412161
D,35.56009
E,35.884765
F,35.884765
I,36.178451
P,36.325294
D,36.472136
F,36.828643
H,37.76468
D,38.506423
E,38.630185
E,38.753947
I,39.68274
N,39.68274
N,40.39268
D,40.528796
E,40.664912
I,41.593705
N,41.593705
N,42.299706
D,42.429914
E,42.560123
F,42.86972
G,42.86972
N,43.161266
G,43.161266
P,43.470863
P,43.470863
L,43.75822
I,43.75822
L,44.054078
I,44.054078
P,44.219094
N,44.301603
E,44.384111
I,45.320148
N,45.320148
J,46.186088
L,46.302187
I,47.23098
N,47.23098
L,48.073281
E,48.188488
I,49.110147
N,49.110147
L,49.949459
E,50.062923
I,50.358781
N,50.358781
L,50.654639
E,50.959517
F,50.959517
I,51.253203
P,51.400046
D,51.565062
F,51.77032
D,51.89307
I,52.814729
N,52.814729
J,53.535975
L,53.650304
E,53.764633
I,54.686292
N,54.686292
E,55.409819
E,55.529627
E,55.649435
I,56.615619
N,56.615619
N,57.398113
D,57.528321
E,57.658529
I,58.711265
N,58.711265
N,59.571273
C,59.754244
E,59.937216
I,61.161956
K,62.762383
N,62.762383
N,63.059031
G,63.059031
P,63.199849
L,63.355322
I,63.355322
N,63.355322
L,63.798954
I,63.952423
N,63.952423
N,64.246166
G,64.246166
P,64.385339
L,64.539803
I,64.539803
N,64.539803
L,64.982452
I,65.136916
N,65.136916
L,65.418553
I,65.418553
N,65.418553
L,65.553034
I,65.706503
N,65.706503
L,65.98814
I,65.98814
N,65.98814
L,66.121119
I,66.26981
N,66.26981
L,66.553096
I,66.553096
N,66.553096
L,66.686822
I,66.833694
N,66.833694
L,67.138665
I,67.138665
N,67.138665
L,67.296178
F,67.465996
G,67.465996
P,68.054289
L,68.348435
C,68.513289
C,68.595715
C,68.678142
G,68.678142
P,69.284264
N,69.637246
H,70.062839
H,70.062839
C,70.852417
F,73.221151
I,73.221151
N,73.517799
G,73.517799
P,73.658618
L,73.81409
I,73.81409
N,73.81409
L,74.257722
I,74.411191
N,74.411191
N,74.704934
G,74.704934
P,74.844107
L,74.998571
I,74.998571
N,74.998571
L,75.44122
I,75.595684
N,75.595684
L,75.877321
I,75.877321
N,75.877321
L,76.011802
I,76.165271
N,76.165271
L,76.446908
I,76.446908
N,76.446908
L,76.579887
I,76.728579
N,76.728579
L,77.011865
I,77.011865
N,77.011865
L,77.14559
I,77.292462
N,77.292462
L,77.597433
I,77.597433
N,77.597433
L,77.754946
F,77.924764
G,77.924764
P,78.533963
L,78.849786
C,79.019296
C,79.104052
C,79.188807
G,79.188807
P,79.827173
N,80.188663
H,80.633173
H,80.633173
C,81.43865
F,85.733568
D,86.649738
B,89.398248
N,90.334285
P,91.270322
P,92.206359
P,93.142396
P,93.438254
P,93.734112
L,94.058787
E,94.352473
C,94.646159
H,95.002665
G,95.938702
N,96.680445
E,96.804207
E,96.92797
I,97.856763
N,97.856763
N,98.566702
D,98.702818
E,98.838934
I,99.767727
N,99.767727
L,100.734145
I,100.734145
N,101.043743
I,101.043743
N,101.335288
G,101.335288
P,101.644886
P,101.644886
L,101.932242
F,101.932242
H,102.2281
I,102.2281
P,102.393117
N,102.475625
E,102.558133
I,103.49417
N,103.49417
L,104.476209
P,104.476209
N,104.785807
I,104.785807
N,105.077352
G,105.077352
N,105.38695
D,105.38695
E,105.674306
F,105.674306
H,105.970164
D,105.970164
I,106.135181
P,106.300197
I,107.236234
N,107.236234
G,108.218273
P,108.218273
N,108.514613
I,108.514613
N,108.79243
G,108.79243
N,109.086591
I,109.086591
L,109.360601
F,109.360601
H,109.64233
I,109.64233
O,109.807347
N,109.972363
N,110.848403
G,110.848403
O,111.65658
L,111.772679
O,112.623864
N,112.623864
N,113.37746
I,113.493559
O,114.327652
N,114.327652
N,115.085808
I,115.201907
O,115.596696
N,115.596696
N,116.031369
I,116.031369
