motifs,time
F,0.17581
D,0.263426
F,0.350799
D,0.437989
F,0.524996
D,0.611783
F,0.698388
H,0.698388
H,1.058727
C,1.146807
F,1.234662
D,1.322278
F,1.409651
D,1.496799
F,1.583726
D,1.670431
F,1.756876
H,1.756876
D,2.118976
E,2.205823
F,2.292608
D,2.379615
F,2.466843
D,2.554297
F,2.641975
D,2.729879
F,2.81801
H,2.81801
D,3.186787
E,3.272812
F,3.358733
D,3.44499
F,3.531585
D,3.618531
F,3.705781
D,3.793406
F,3.881402
H,3.881402
C,4.336017
F,4.423964
D,4.511683
F,4.599136
D,4.686367
F,4.773374
D,4.860119
F,4.946724
H,4.946724
F,5.401032
B,5.48863
D,5.575991
F,5.663233
D,5.750341
F,5.837228
D,5.924015
F,6.01062
H,6.01062
F,6.374919
B,6.4616
F,6.547886
D,6.634431
F,6.721276
D,6.808395
F,6.895818
D,6.983505
F,7.071501
D,7.160964
F,7.250677
D,7.34039
F,7.442549
D,7.442549
E,7.442549
I,7.798677
N,8.552475
E,8.640473
F,8.728285
D,8.815902
F,8.903251
D,8.990204
F,9.076538
D,9.16225
F,9.247339
H,9.247339
H,9.607679
C,9.695759
F,9.783613
D,9.87123
F,9.958602
D,10.045526
F,10.131749
D,10.217314
F,10.302201
H,10.302201
D,10.663386
E,10.748523
F,10.834577
D,10.921425
F,11.008654
D,11.096107
F,11.183786
D,11.27169
F,11.359821
H,11.359821
D,11.728598
E,11.814623
F,11.900544
D,11.986801
F,12.073396
D,12.160342
F,12.247591
D,12.335217
F,12.423213
H,12.423213
C,12.877827
F,12.965774
D,13.053494
F,13.140947
D,13.228177
F,13.315184
D,13.401929
F,13.488534
H,13.488534
F,13.942842
B,14.03044
D,14.117802
F,14.205043
D,14.292151
F,14.379038
D,14.465825
F,14.55243
H,14.55243
F,14.916729
B,15.003411
F,15.089696
D,15.176241
F,15.263087
D,15.350205
F,15.437628
D,15.525316
F,15.613312
D,15.702774
F,15.792487
D,15.8822
F,15.984359
D,15.984359
E,15.984359
I,16.340488
O,17.091746
N,17.179744
P,17.267555
P,17.355172
P,17.442545
C,17.529735
C,17.616742
C,17.703529
C,17.790134
E,18.150473
I,18.238471
P,18.326283
C,18.4139
D,18.501272
C,18.588462
C,18.675469
C,18.762256
C,18.848861
E,19.209872
I,19.29787
P,19.385682
P,19.473299
P,19.560671
C,19.647895
C,19.734423
C,19.819923
C,19.904385
E,20.265396
I,20.353394
P,20.441205
C,20.528822
D,20.616195
C,20.702935
C,20.788806
C,20.874013
C,20.958577
E,21.319588
I,21.407586
P,21.495397
P,21.583014
P,21.670386
C,21.757577
C,21.844584
C,21.931371
C,22.017976
E,22.378987
I,22.466985
P,22.554797
C,22.642413
D,22.729786
C,22.816976
C,22.903983
C,22.99077
C,23.077375
E,23.438386
I,23.526384
P,23.614196
P,23.701812
P,23.789185
C,23.875952
C,23.961952
C,24.047303
C,24.132008
E,24.493019
I,24.581018
P,24.668829
C,24.756446
D,24.843818
C,24.930704
C,25.016783
C,25.102096
C,25.186633
E,25.547644
F,25.634607
D,25.72203
C,25.809904
D,25.898318
F,25.985281
D,26.072704
C,26.160662
D,26.249158
F,26.336902
D,26.423952
C,26.511569
D,26.599842
I,26.686805
P,26.774228
P,26.862102
P,26.950515
N,27.037479
D,27.124902
C,27.21286
D,27.301356
F,27.3891
D,27.47615
C,27.563701
D,27.694477
I,27.781418
P,27.868842
P,27.956716
P,28.045129
N,28.132092
D,28.219516
C,28.307473
D,28.395969
F,28.483714
D,28.570763
C,28.658381
D,28.746653
I,28.833616
P,28.92104
C,29.008914
I,29.097327
P,29.18429
P,29.271714
C,29.359671
I,29.448167
P,29.535912
P,29.622961
C,29.710512
I,29.844453
P,29.929822
P,30.014939
O,30.100271
P,30.185815
P,30.271575
P,30.35755
O,30.443762
P,30.530203
P,30.616866
P,30.703748
O,30.790852
N,30.878347
P,30.972463
P,31.049621
I,31.135645
N,34.37442
E,34.465192
F,34.554678
D,34.642939
F,34.729955
D,34.816852
F,34.903859
D,34.990646
F,35.077251
H,35.077251
H,35.43759
C,35.52567
F,35.613525
D,35.701141
F,35.788514
D,35.875662
F,35.962589
D,36.049294
F,36.13574
H,36.13574
D,36.49784
E,36.584686
F,36.671471
D,36.758478
F,36.845707
D,36.93316
F,37.020838
D,37.108742
F,37.196874
H,37.196874
D,37.565651
E,37.651675
F,37.737597
