motifs,time
N,0.495826
E,0.612785
E,0.72927
E,0.845342
E,0.960986
E,1.076166
E,1.190958
E,1.305298
H,1.419254
C,1.53321
H,1.647757
H,1.762901
H,1.889238
I,2.233499
P,2.352803
P,2.698129
P,2.81696
P,3.160965
P,3.280744
P,3.625698
L,3.761163
I,4.133896
N,4.25699
E,4.373948
E,4.490433
E,4.606505
E,4.722149
E,4.837329
E,4.952121
E,5.066461
H,5.180417
C,5.294373
H,5.40892
H,5.524064
I,5.661389
N,6.034122
N,6.157216
E,6.274174
E,6.390659
E,6.506731
E,6.622375
E,6.737555
E,6.852347
E,6.966687
H,7.080643
C,7.194599
H,7.309146
H,7.42429
H,7.550627
I,7.894889
O,8.014192
N,8.359518
O,8.482238
N,8.838912
O,8.964194
N,9.329995
P,9.46546
P,9.85546
O,10.000066
N,10.418071
P,10.571555
P,11.012864
K,11.844073
N,12.216806
N,12.339899
E,12.456858
E,12.573343
E,12.689415
E,12.805058
E,12.920239
E,13.035031
E,13.14937
H,13.263326
C,13.377283
H,13.49183
H,13.606974
H,13.733311
I,14.077572
P,14.196876
P,14.542202
P,14.661033
P,15.005038
P,15.124817
P,15.469771
L,15.605236
I,15.977969
N,16.101062
E,16.218021
E,16.334506
E,16.450578
E,16.566222
E,16.681402
E,16.796194
E,16.910534
H,17.02449
C,17.138446
H,17.252993
H,17.368137
I,17.505462
N,17.878195
N,18.001288
E,18.118247
E,18.234732
E,18.350804
E,18.466448
E,18.581628
E,18.69642
E,18.81076
H,18.924716
C,19.038672
H,19.153219
H,19.268363
H,19.3947
I,19.738962
O,19.858265
N,20.203591
O,20.32631
N,20.682984
O,20.808266
N,21.174068
P,21.309533
P,21.699533
O,21.844139
N,22.262144
P,22.415628
P,22.856937
L,23.997968
E,24.39191
E,24.523224
E,24.646257
I,24.765431
P,24.883387
P,24.883387
H,25.000206
I,25.115887
N,25.115887
H,25.230508
C,25.344001
F,25.344001
H,25.456372
I,25.568372
N,25.568372
H,25.681143
I,25.794668
N,25.794668
G,25.921005
P,26.274795
N,26.274795
H,26.397014
I,26.751378
N,26.751378
G,26.87261
O,27.225985
N,27.225985
L,27.347709
I,27.700682
N,27.700682
G,27.836147
O,28.194594
N,28.194594
H,28.194594
H,28.317817
I,28.441041
N,28.441041
H,28.441041
H,28.569542
I,28.698044
N,28.698044
H,28.698044
H,28.824915
I,29.195234
N,29.195234
N,29.195234
I,29.319994
O,29.691202
N,29.691202
H,29.691202
H,29.826667
D,30.360322
E,30.490328
E,30.619006
E,30.746462
E,31.429536
E,31.559712
E,31.688901
E,31.817083
I,31.965261
N,32.359203
E,32.490517
E,32.61355
I,32.732724
P,32.850679
P,32.850679
H,32.967498
I,33.08318
N,33.08318
H,33.197801
C,33.311294
F,33.311294
H,33.423665
I,33.535664
N,33.535664
H,33.648435
I,33.761961
N,33.761961
G,33.888298
P,34.242087
N,34.242087
H,34.364307
I,34.71867
N,34.71867
G,34.839902
O,35.193278
N,35.193278
L,35.315001
I,35.667974
N,35.667974
G,35.803439
O,36.161886
N,36.161886
H,36.161886
H,36.28511
I,36.408333
N,36.408333
H,36.408333
H,36.536835
I,36.665337
N,36.665337
H,36.665337
H,36.792208
I,37.162526
N,37.162526
N,37.162526
I,37.287287
O,37.658495
N,37.658495
H,37.658495
H,37.804508
I,38.192889
N,38.192889
H,38.192889
H,38.324203
I,38.455517
N,38.455517
H,38.455517
H,38.592216
I,38.728916
N,38.728916
H,38.728916
H,38.861977
I,39.254262
N,39.254262
N,39.254262
I,39.389727
O,39.788974
N,39.788974
H,39.788974
H,39.9322
D,40.45862
E,40.58556
E,40.710887
E,40.835698
I,40.985353
N,41.507008
E,41.632044
E,41.755798
E,41.87824
F,42.026418
B,42.561122
H,42.692644
H,42.825187
H,42.958768
I,43.101313
N,43.639704
H,43.775413
H,43.913522
H,44.054192
I,44.195395
P,44.568128
N,44.691222
E,44.80818
E,44.924666
E,45.040738
E,45.156381
E,45.271562
E,45.386353
E,45.500693
H,45.614649
C,45.728605
H,45.843152
H,45.958296
H,46.084633
I,46.428895
P,46.548198
P,46.893524
P,47.012355
P,47.35636
P,47.47614
P,47.821094
L,47.956559
I,48.329291
N,48.452385
E,48.569343
E,48.685829
E,48.801901
E,48.917544
E,49.032725
E,49.147516
E,49.261856
H,49.375812
C,49.489768
H,49.604316
H,49.71946
I,49.856785
N,50.229517
N,50.352611
E,50.469569
E,50.586055
E,50.702127
E,50.81777
E,50.932951
E,51.047742
E,51.162082
H,51.276038
C,51.389994
H,51.504541
H,51.619686
I,51.746023
N,52.118755
N,52.241849
E,52.358807
E,52.475293
E,52.591365
E,52.707008
E,52.822189
E,52.93698
E,53.05132
H,53.165276
C,53.279232
H,53.393779
H,53.508923
H,53.63526
I,53.979522
O,54.098825
N,54.444151
O,54.566871
N,54.923545
O,55.048827
N,55.414628
P,55.550093
P,55.940093
O,56.0847
N,56.502704
P,56.656188
P,57.097497
N,57.928706
D,58.322648
E,58.453962
E,58.576995
I,58.696169
P,58.814125
P,58.814125
H,58.930944
I,59.046625
N,59.046625
H,59.161246
C,59.274739
F,59.274739
H,59.38711
I,59.499109
N,59.499109
H,59.611881
I,59.725406
N,59.725406
G,59.851743
P,60.205533
N,60.205533
H,60.327752
I,60.682116
N,60.682116
G,60.803348
O,61.156723
N,61.156723
L,61.278447
I,61.63142
N,61.63142
G,61.766885
O,62.125332
N,62.125332
H,62.125332
H,62.248555
I,62.371779
N,62.371779
H,62.371779
H,62.50028
I,62.628782
N,62.628782
H,62.628782
H,62.755653
I,63.125972
N,63.125972
N,63.125972
I,63.250732
O,63.62194
N,63.62194
H,63.62194
H,63.757405
D,64.29106
E,64.421066
E,64.549743
E,64.6772
E,65.360274
E,65.49045
E,65.619639
E,65.747821
I,65.895999
N,66.289941
E,66.421255
E,66.544288
I,66.663462
P,66.781417
P,66.781417
H,66.898236
I,67.013918
N,67.013918
H,67.128539
C,67.242032
F,67.242032
H,67.354403
I,67.466402
N,67.466402
H,67.579173
I,67.692699
N,67.692699
G,67.819036
P,68.172825
N,68.172825
H,68.295045
I,68.649408
N,68.649408
G,68.77064
O,69.124016
N,69.124016
L,69.245739
I,69.598712
N,69.598712
G,69.734177
O,70.092624
N,70.092624
H,70.092624
H,70.215848
I,70.339071
N,70.339071
H,70.339071
H,70.467573
I,70.596075
N,70.596075
H,70.596075
H,70.722946
I,71.093264
N,71.093264
N,71.093264
I,71.218025
O,71.589233
N,71.589233
H,71.589233
H,71.735246
I,72.123627
N,72.123627
H,72.123627
H,72.254941
I,72.386255
N,72.386255
H,72.386255
H,72.522954
I,72.659654
N,72.659654
H,72.659654
H,72.792715
I,73.185
N,73.185
N,73.185
I,73.320465
O,73.719712
N,73.719712
H,73.719712
H,73.862938
D,74.389358
E,74.516298
E,74.641625
E,74.766436
I,74.916091
N,75.437746
E,75.562782
E,75.686536
E,75.808978
F,75.957155
B,76.49186
H,76.623382
H,76.755925
H,76.889506
I,77.032051
N,77.570442
H,77.706151
H,77.84426
H,77.98493
I,78.126133
P,78.498866
N,78.62196
E,78.738918
E,78.855403
E,78.971475
E,79.087119
E,79.2023
E,79.317091
E,79.431431
H,79.545387
C,79.659343
H,79.77389
H,79.889034
H,80.015371
I,80.359633
P,80.478936
P,80.824262
P,80.943093
P,81.287098
P,81.406878
P,81.751832
L,81.887297
I,82.260029
N,82.383123
E,82.500081
E,82.616567
E,82.732639
E,82.848282
E,82.963463
E,83.078254
E,83.192594
H,83.30655
C,83.420506
H,83.535053
H,83.650198
I,83.787523
N,84.160255
N,84.283349
E,84.400307
E,84.516793
E,84.632865
E,84.748508
E,84.863689
E,84.97848
E,85.09282
H,85.206776
C,85.320732
H,85.435279
H,85.550423
I,85.67676
N,86.049493
N,86.172587
E,86.289545
E,86.406031
E,86.522103
E,86.637746
E,86.752927
E,86.867718
E,86.982058
H,87.096014
C,87.20997
H,87.324517
H,87.439661
H,87.565998
I,87.91026
O,88.029563
N,88.374889
O,88.497609
N,88.854283
O,88.979565
N,89.345366
P,89.480831
P,89.870831
O,90.015438
N,90.433442
P,91.721892
P,92.112523
O,92.249848
N,92.647194
O,92.791106
N,93.199966
O,93.345273
N,93.757887
P,93.909817
P,94.345313
O,94.50795
N,94.965485
P,95.132654
P,95.614849
