motifs,time
N,3.447083
E,3.685178
C,4.399464
D,4.399464
E,4.637559
F,4.637559
I,5.351845
L,5.58994
I,5.58994
P,6.304226
P,6.542321
G,6.542321
P,7.256607
L,7.494702
I,7.494702
P,8.208988
F,8.484217
G,8.484217
P,10.050366
N,10.554567
H,10.554567
I,11.286274
P,11.530177
H,11.530177
D,12.261884
F,12.505787
H,12.505787
D,13.281649
F,13.54027
H,13.54027
I,14.316132
P,14.601846
N,14.601846
I,15.63633
N,15.63633
E,15.63633
G,17.638554
P,17.638554
L,18.545813
D,18.606296
E,19.320582
E,19.558678
F,19.558678
D,20.272963
E,20.272963
E,20.511058
F,20.511058
I,21.225344
L,21.46344
I,21.46344
P,22.177725
N,22.41582
G,22.41582
P,23.130106
L,23.368202
I,23.368202
P,24.082487
P,24.350344
N,24.350344
I,25.413624
P,25.949338
O,26.485052
N,26.485052
P,26.957494
P,27.209594
N,27.461695
H,27.461695
D,28.21037
I,28.471239
N,28.471239
P,28.959044
P,29.222202
N,29.48536
H,29.48536
I,30.241662
P,30.538692
N,30.538692
I,31.726811
N,31.726811
E,31.726811
E,34.103049
F,34.103049
D,35.040549
C,35.040549
I,35.707216
L,35.929438
I,35.929438
N,36.373882
F,36.762771
F,36.818327
F,37.243859
H,37.243859
H,37.688304
I,37.688304
P,38.132748
O,38.577192
P,38.577192
P,39.243859
L,39.466082
I,39.466082
N,39.910526
P,40.299415
I,40.35497
P,41.307352
C,41.783542
E,42.334137
F,42.334137
I,43.000804
N,43.223026
H,43.223026
D,43.667471
E,44.111915
F,44.111915
I,44.778582
N,45.000804
H,45.000804
F,45.445249
E,45.889693
F,45.889693
H,46.77552
I,46.834575
P,48.952441
P,48.952441
P,50.272384
L,50.272384
I,51.041615
L,51.298025
F,51.298025
H,51.298025
I,52.012311
L,52.250406
F,52.250406
H,52.250406
I,52.964692
L,53.202787
I,53.202787
K,53.202787
O,53.917073
N,54.155168
G,54.155168
N,54.155168
H,54.858293
E,55.092668
I,55.092668
K,55.092668
O,55.795793
P,56.071022
N,56.071022
N,56.071022
L,57.142452
O,57.646653
N,58.150854
H,58.150854
H,58.150854
I,58.882562
N,59.126464
H,59.126464
H,59.126464
I,59.858172
N,60.102074
H,60.102074
H,60.102074
I,60.877937
N,61.136558
H,61.136558
H,61.136558
I,61.91242
N,62.198134
N,62.198134
I,62.198134
N,63.289043
E,63.289043
E,63.289043
E,65.470861
F,65.470861
D,66.408361
C,66.408361
I,67.075028
L,67.29725
I,67.29725
N,67.741694
F,68.130583
F,68.186139
F,68.611671
H,68.611671
H,69.056116
I,69.056116
P,69.50056
O,69.945004
P,69.945004
P,70.611671
L,70.833894
I,70.833894
N,71.278338
P,71.667227
I,71.722782
P,72.675164
C,73.151354
E,73.701949
F,73.701949
I,74.368616
N,74.590838
H,74.590838
D,75.035283
E,75.479727
F,75.479727
I,76.146394
N,76.368616
H,76.368616
F,76.813061
E,77.257505
F,77.257505
H,78.143332
I,78.202387
P,80.320253
P,80.320253
P,81.640196
L,81.640196
I,82.409427
L,82.665837
F,82.665837
H,82.665837
I,83.380123
L,83.618218
F,83.618218
H,83.618218
I,84.332504
L,84.570599
I,84.570599
K,84.570599
O,85.284885
N,85.52298
G,85.52298
N,85.52298
H,86.226105
E,86.46048
I,86.46048
K,86.46048
O,87.163605
P,87.438834
N,87.438834
N,87.438834
L,88.510264
O,89.014465
N,89.518666
H,89.518666
H,89.518666
I,90.250374
N,90.494276
H,90.494276
H,90.494276
I,91.225984
N,91.469886
H,91.469886
H,91.469886
I,92.245749
N,92.50437
H,92.50437
H,92.50437
I,93.280232
N,94.656855
N,94.656855
I,94.656855
O,99.768461
N,99.768461
I,99.89981
N,100.031158
H,100.031158
I,100.160524
L,100.28989
F,100.416794
C,100.543697
I,100.543697
N,100.6706
N,100.797504
H,100.797504
C,101.333725
C,101.333725
I,101.464786
N,101.595848
H,101.595848
I,101.729836
L,101.863825
F,102.151044
H,102.151044
C,102.448959
C,102.448959
F,103.009571
C,103.009571
F,103.14092
F,103.272268
H,103.272268
F,103.401356
H,103.530444
F,103.657348
C,103.784251
I,103.784251
N,103.911154
N,104.038058
H,104.038058
D,104.585352
F,104.585352
I,104.716414
N,104.847475
H,104.847475
I,104.981464
L,105.115452
F,105.404052
H,105.404052
C,105.703453
C,105.703453
I,106.265551
N,106.265551
I,106.3969
N,106.528248
H,106.528248
I,106.650068
L,106.78698
F,106.913884
C,107.040787
I,107.040787
N,107.16769
N,107.294594
H,107.294594
C,107.830815
C,107.830815
I,107.961876
N,108.092938
