motifs,time
H,1.430322
D,1.430322
F,1.634654
H,1.634654
F,2.043318
B,2.043318
F,2.241993
G,2.241993
P,2.440668
I,2.440668
O,2.849332
L,2.849332
F,3.046648
H,3.046648
D,3.243965
F,3.243965
F,3.652628
B,3.652628
F,3.851304
G,3.851304
L,4.04998
I,4.04998
P,4.458643
P,4.458643
L,4.654593
I,4.654593
P,4.850544
E,4.850544
F,5.245176
G,5.245176
P,5.433382
N,5.433382
D,5.626681
F,5.626681
D,6.015938
B,6.015938
O,6.204144
N,6.204144
D,6.397442
E,6.397442
F,6.778879
H,6.778879
H,6.965865
D,6.965865
F,7.167342
G,7.167342
P,7.556599
L,7.556599
F,7.744804
H,7.744804
H,7.935523
D,7.935523
F,8.324779
B,8.324779
H,8.515498
I,8.515498
O,8.706216
P,8.706216
L,9.095472
N,9.095472
H,9.280042
D,9.280042
F,9.467028
H,9.467028
C,9.848464
C,9.848464
D,10.034246
I,10.034246
P,10.223712
I,10.223712
P,10.605148
P,10.605148
N,10.798447
G,10.798447
L,10.997123
F,10.997123
D,11.389023
E,11.389023
F,11.589076
D,11.589076
F,11.78913
G,11.78913
P,12.18103
E,12.18103
F,12.386848
G,12.386848
P,12.613914
I,12.613914
L,13.83092
G,13.83092
O,14.00644
N,14.00644
D,14.189814
I,14.189814
P,14.561378
N,14.561378
D,14.733712
E,14.733712
E,14.911395
F,14.911395
D,15.273495
E,15.273495
F,15.445868
D,15.445868
F,15.63165
H,15.63165
H,15.998398
D,15.998398
E,16.173918
F,16.173918
D,16.357292
B,16.357292
P,16.754643
I,16.754643
O,16.931238
N,16.931238
D,17.113454
I,17.113454
P,17.480202
E,17.480202
E,17.646536
F,17.646536
D,17.826457
E,17.826457
F,18.169079
D,18.169079
F,18.343518
H,18.343518
H,18.5293
D,18.5293
F,18.918304
H,18.918304
D,19.13265
F,19.13265
D,19.36776
B,19.36776
O,19.888503
L,19.888503
F,20.081802
H,20.081802
H,20.27643
D,20.27643
F,20.668331
B,20.668331
D,20.857797
I,20.857797
P,21.053747
I,21.053747
N,21.47952
C,21.47952
D,21.655041
F,21.655041
H,21.834962
D,21.834962
F,22.216398
B,22.216398
H,22.395204
I,22.395204
O,22.58467
P,22.58467
K,22.982021
N,22.982021
N,23.17532
G,23.17532
L,23.373995
F,23.373995
D,23.765896
F,23.765896
D,23.965949
F,23.965949
D,24.166002
I,24.166002
P,24.557903
N,24.557903
H,24.777941
I,24.777941
N,25.058472
G,25.058472
O,26.511297
N,26.511297
D,26.678596
F,26.678596
H,26.845894
D,26.845894
F,27.190563
B,27.190563
H,27.356897
I,27.356897
N,27.523231
G,27.523231
N,27.865853
B,27.865853
F,28.031234
H,28.031234
D,28.196614
F,28.196614
C,28.539236
C,28.539236
H,28.704616
I,28.704616
N,28.869996
G,28.869996
N,29.210557
B,29.210557
N,29.372178
I,29.372178
L,29.545869
F,29.545869
H,29.884431
I,29.884431
L,30.046052
F,30.046052
D,30.217383
F,30.217383
D,30.55397
B,30.55397
O,30.71559
N,30.71559
D,30.886921
F,30.886921
H,31.223508
D,31.223508
F,31.384228
H,31.384228
H,31.551527
I,31.551527
K,31.890089
N,31.890089
D,32.057387
F,32.057387
D,32.224686
F,32.224686
F,32.569355
B,32.569355
F,32.735689
G,32.735689
L,32.902023
I,32.902023
N,33.244645
H,33.244645
D,33.410025
F,33.410025
H,33.575406
D,33.575406
F,33.915967
B,33.915967
D,34.076687
I,34.076687
P,34.238307
I,34.238307
P,34.574894
P,34.574894
P,34.735614
N,34.735614
P,34.898163
E,34.898163
E,35.23475
F,35.23475
H,35.399151
D,35.399151
I,35.570482
P,35.570482
L,35.897422
F,35.897422
H,36.068733
I,36.068733
N,36.247539
G,36.247539
L,37.333528
G,37.333528
O,37.496077
N,37.496077
D,37.669447
I,37.669447
P,38.008009
N,38.008009
D,38.165192
F,38.165192
D,38.327741
E,38.327741
E,38.662339
F,38.662339
H,38.816978
D,38.816978
F,38.979527
D,38.979527
F,39.320088
H,39.320088
D,39.473071
E,39.473071
C,39.63562
G,39.63562
P,39.974439
I,39.974439
O,40.137909
N,40.137909
D,40.30719
I,40.30719
P,40.651859
N,40.651859
D,40.804842
E,40.804842
E,40.972141
F,40.972141
D,41.300944
E,41.300944
F,41.460773
D,41.460773
F,41.632084
H,41.632084
H,42.046735
D,42.046735
E,42.302185
F,42.302185
D,42.585471
B,42.585471
O,43.493736
N,43.493736
H,43.661035
D,43.661035
F,43.828333
H,43.828333
F,44.173002
B,44.173002
F,44.339336
G,44.339336
P,44.50567
I,44.50567
N,44.848292
B,44.848292
F,45.013673
H,45.013673
D,45.179053
F,45.179053
F,45.521675
B,45.521675
F,45.687055
G,45.687055
L,45.852435
I,45.852435
O,46.192996
N,46.192996
L,46.371802
I,46.371802
P,46.550607
E,46.550607
E,46.927019
F,46.927019
D,47.137398
F,47.137398
D,47.348295
I,47.348295
P,47.775281
N,47.775281
D,48.033057
