motifs,time
L,0.5625
G,0.6
O,1.6875
N,1.725
L,1.7625
G,1.8
O,2.860805
N,2.876695
L,2.892585
G,2.908475
O,3.347427
N,3.362379
L,3.377316
G,3.392208
O,3.819628
N,3.834174
L,3.84872
G,3.863266
O,4.279919
N,4.294135
L,4.308336
G,4.322497
O,4.728984
N,4.742883
L,4.756782
G,4.770681
O,5.187657
N,5.201556
G,5.215455
O,5.632431
N,5.64633
G,5.660229
P,6.063306
C,6.077205
E,6.091104
E,6.105003
E,7.014783
G,7.014783
O,7.014783
N,7.014783
L,7.979413
E,7.979413
I,7.979413
O,7.979413
N,7.979413
G,10.025534
N,10.137009
E,10.248483
E,10.369509
F,10.460966
H,10.552422
H,10.643879
H,10.735335
H,10.826791
C,10.915467
E,11.004143
E,11.092819
E,11.181495
E,11.274514
H,11.371876
F,11.460994
H,11.550113
H,11.639232
H,11.72835
H,11.817469
H,11.908418
C,11.979707
E,12.050443
E,12.120759
E,12.190445
E,12.259772
E,12.328624
E,12.396961
E,12.464789
F,12.557033
H,12.649277
H,12.741521
H,12.833765
H,12.926008
C,13.014684
E,13.10336
E,13.192036
E,13.280712
E,13.370985
H,13.462855
F,13.551531
H,13.640207
H,13.728883
H,13.817559
H,13.906235
H,13.998144
C,14.072596
E,14.146663
E,14.220135
E,14.293344
E,14.367112
E,14.440759
E,14.51613
E,14.597157
F,14.686337
H,14.775517
H,14.864696
H,14.953876
H,15.043055
C,15.131731
E,15.220407
E,15.309083
E,15.397759
E,15.486435
H,15.575111
F,15.663787
H,15.752463
H,15.841139
H,15.929815
H,16.018491
H,16.112917
C,16.192653
E,16.270048
E,16.346766
E,16.423213
E,16.499502
E,16.575374
E,16.652606
E,16.733071
F,16.821881
H,16.910691
H,16.999501
H,17.088311
H,17.177121
C,17.265931
E,17.354741
E,17.443551
E,17.532361
E,17.621171
E,17.709981
E,17.798791
E,17.887601
E,17.976411
E,18.080017
F,18.163397
H,18.246777
H,18.330156
H,18.413536
H,18.50088
H,18.592267
H,18.682368
H,18.771134
H,18.858684
H,18.944968
H,19.029947
H,19.113886
H,19.196584
H,19.2783
H,19.358844
H,19.438367
H,19.517239
H,19.595798
H,19.674078
H,19.752098
H,19.829987
H,19.907554
H,19.98485
H,20.061892
H,20.138807
H,20.215416
H,20.29176
H,20.367851
H,20.443815
H,20.519481
H,20.594888
H,20.670054
H,20.730102
H,20.789955
H,20.849686
H,20.909245
I,20.968805
N,20.968805
N,20.968805
I,21.254323
L,21.254323
D,21.372341
E,21.372341
E,21.489804
E,21.489804
E,21.606718
F,21.606718
I,21.723178
P,21.723178
D,21.839008
F,21.839008
I,21.954305
L,21.954305
O,21.954305
K,22.194305
L,22.194305
D,22.313354
F,22.313354
I,22.431187
N,22.431187
D,22.548101
F,22.548101
I,22.663932
P,22.663932
D,22.806926
E,22.806926
E,22.878422
G,22.878422
P,22.949919
P,22.949919
N,22.949919
K,23.190126
L,23.190126
D,23.308144
E,23.308144
G,23.425607
N,23.425607
D,23.542521
F,23.542521
D,23.658981
E,23.658981
F,23.774811
D,23.774811
G,23.890108
P,23.890108
O,23.890108
O,24.130108
N,24.130108
F,24.249157
D,24.249157
G,24.36699
N,24.36699
D,24.483904
E,24.483904
F,24.599736
D,24.599736
F,24.72484
