motifs,time
O,14.263085
N,14.263085
N,14.42613
G,14.42613
P,14.587791
P,14.587791
N,14.748028
O,14.748028
L,14.906863
I,14.906863
N,15.064324
G,15.064324
P,15.220433
P,15.220433
P,15.375273
P,15.375273
N,15.528805
O,15.528805
P,15.681052
P,15.681052
P,15.83295
P,15.83295
N,15.984849
O,15.984849
L,16.136747
I,16.136747
P,16.288646
P,16.288646
P,16.440544
P,16.440544
P,16.592443
P,16.592443
K,18.502007
N,18.502007
O,18.502007
N,18.502007
E,18.901341
F,18.901341
I,18.901341
P,19.296728
P,19.296728
N,19.488728
O,19.488728
P,19.690408
L,19.690408
I,19.690408
P,20.081925
P,20.081925
N,20.273925
O,20.273925
P,20.476628
P,20.476628
N,20.476628
K,20.875962
O,20.875962
P,21.273313
P,21.273313
N,21.273313
L,22.052533
D,22.052533
E,22.052533
I,22.052533
L,22.247338
I,22.247338
P,22.436612
P,22.436612
P,22.624112
P,22.624112
N,22.82889
I,22.82889
O,22.82889
N,22.82889
F,23.648002
B,23.648002
I,23.648002
P,23.841863
P,23.841863
P,24.031138
P,24.031138
P,24.227859
P,24.227859
P,24.431594
N,24.431594
J,24.431594
O,25.042799
O,25.042799
P,25.237604
P,25.237604
P,25.42081
P,25.42081
P,25.604016
P,25.604016
N,25.788916
O,25.788916
P,25.981842
P,25.981842
P,26.165048
P,26.165048
P,26.348254
P,26.348254
N,26.534013
O,26.534013
P,26.726013
P,26.726013
P,26.907556
P,26.907556
P,27.089099
P,27.089099
N,27.272305
O,27.272305
P,27.464305
P,27.464305
P,27.645848
P,27.645848
P,27.827391
P,27.827391
P,28.012291
P,28.012291
P,28.204291
P,28.204291
P,28.390916
P,28.390916
P,28.577541
P,28.577541
P,28.766815
P,28.766815
P,28.968496
P,28.968496
P,29.161422
P,29.161422
P,29.354348
P,29.354348
P,29.547274
P,29.547274
P,29.757431
P,29.757431
N,30.532875
B,30.532875
N,30.532875
H,30.532875
I,30.920597
L,31.049838
E,31.179079
I,31.308319
P,31.308319
P,31.690485
P,31.690485
N,31.690485
N,31.876244
B,31.876244
N,31.876244
L,32.072002
H,32.072002
I,32.072002
P,32.454168
P,32.454168
N,32.454168
N,32.639068
B,32.639068
N,32.639068
L,32.836762
I,32.836762
N,32.836762
L,33.240634
I,33.240634
N,33.240634
L,33.634077
I,33.634077
N,33.634077
O,34.413297
L,34.413297
E,34.413297
I,34.413297
L,34.60438
I,34.60438
P,34.79188
P,34.79188
P,34.975929
P,34.975929
N,35.175596
L,35.175596
I,35.175596
N,35.974264
L,35.974264
I,35.974264
P,36.165347
P,36.165347
P,36.348553
P,36.348553
P,36.540553
P,36.540553
P,36.74022
N,36.74022
G,36.74022
N,36.74022
H,37.339221
I,37.339221
P,37.530304
P,37.530304
P,37.716062
P,37.716062
P,37.896785
P,37.896785
N,38.071968
O,38.071968
P,38.256868
P,38.256868
O,38.442626
N,38.442626
N,38.620932
O,38.620932
N,38.794594
O,38.794594
P,38.979494
P,38.979494
P,39.158598
P,39.158598
P,39.337703
P,39.337703
N,39.513656
O,39.513656
P,39.70293
P,39.70293
P,39.88284
P,39.88284
P,40.06275
P,40.06275
N,40.240265
O,40.240265
P,40.427765
P,40.427765
P,40.609308
P,40.609308
P,40.786039
P,40.786039
P,40.971797
P,40.971797
N,41.165658
O,41.165658
P,41.348864
P,41.348864
P,41.535489
P,41.535489
P,41.723872
P,41.723872
P,41.925553
N,41.925553
N,41.925553
I,41.925553
N,42.700997
B,42.700997
N,42.700997
H,42.700997
G,43.37951
N,43.476441
A,44.233539
B,44.233539
F,45.008983
B,45.008983
I,45.008983
N,46.440677
H,46.440677
I,46.440677
P,46.534427
N,46.534427
N,46.534427
D,47.190677
B,47.190677
I,47.190677
N,47.284427
L,47.284427
I,47.284427
N,47.940677
H,47.940677
I,47.940677
N,48.034427
L,48.034427
I,48.034427
N,49.613319
B,49.613319
O,49.613319
P,49.613319
N,49.613319
K,50.835729
J,51.195549
L,51.363381
I,51.531213
N,51.531213
P,51.70191
P,51.888535
P,51.888535
O,52.056367
P,52.224199
N,52.224199
P,52.395627
P,52.582252
I,52.582252
O,52.750084
P,52.917916
N,52.917916
P,53.092335
P,53.278093
P,53.278093
O,53.446633
P,53.615172
N,53.615172
P,53.788834
N,53.973734
I,53.973734
O,54.142273
P,54.310813
N,54.310813
P,54.485995
L,54.678921
I,54.678921
N,54.846052
