motifs,time
E,1.689753
F,1.790763
H,1.891773
I,2.229685
N,2.331036
H,2.432046
I,2.533056
N,2.634066
H,2.735076
I,3.072104
N,3.179246
H,3.280942
C,3.382636
F,3.484332
H,3.586026
I,3.923938
N,4.025633
H,4.127328
I,4.229023
N,4.330718
H,4.432413
D,4.768564
E,4.870604
E,4.972645
E,5.074686
F,5.176726
H,5.278767
I,5.615795
N,5.718184
H,5.820573
I,5.922962
N,6.025351
H,6.12774
I,6.46389
N,6.565931
H,6.667972
C,6.770012
F,6.872053
H,6.974094
I,7.310244
N,7.411939
H,7.513634
I,7.615329
N,7.72644
H,7.837551
D,8.165282
F,8.266977
H,8.368672
I,8.470367
N,8.580661
H,8.690955
D,9.01571
F,9.117405
H,9.2191
I,9.320795
N,9.430685
H,9.540575
D,9.863803
F,9.964813
H,10.065823
I,10.166833
N,10.268414
H,10.370921
H,10.474848
F,11.497023
B,11.938199
C,11.938199
I,12.599963
P,12.599963
P,12.815017
N,12.815017
D,13.256193
F,13.256193
D,13.697369
F,13.697369
I,14.150199
N,14.150199
D,15.032551
F,15.032551
D,15.356292
F,15.356292
C,15.464206
C,15.464206
D,15.905382
F,15.905382
D,16.233056
F,16.233056
C,16.342147
C,16.342147
I,16.790064
N,16.790064
G,16.790064
P,17.125885
N,17.125885
D,17.246367
F,17.246367
D,18.155457
F,18.155457
H,18.610002
H,18.610002
I,19.051178
P,19.051178
H,19.051178
I,19.712942
N,19.712942
P,19.927996
N,19.927996
D,20.369172
F,20.369172
D,20.810348
F,20.810348
I,21.263178
N,21.263178
G,21.263178
P,22.150753
N,22.150753
D,22.474494
F,22.474494
C,22.582408
C,22.582408
D,23.023584
F,23.023584
D,23.351258
F,23.351258
C,23.460349
C,23.460349
D,23.908266
F,23.908266
D,24.244087
F,24.244087
C,24.364569
C,24.364569
I,24.591698
N,24.591698
G,24.591698
O,24.817688
N,24.817688
G,24.817688
O,25.042408
N,25.042408
G,25.042408
O,25.265872
N,25.265872
G,25.265872
P,25.488784
N,25.488784
G,25.488784
P,25.714069
N,25.714069
G,25.714069
P,26.057297
N,26.057297
L,26.057297
I,26.179248
N,26.179248
L,26.179248
I,27.10948
P,27.10948
P,27.78378
L,27.885821
E,27.987861
F,28.089902
H,28.191943
I,28.529855
N,28.63155
H,28.733245
I,28.83494
N,28.936635
H,29.03833
I,29.375357
N,29.477398
H,29.579439
C,29.68148
F,29.78352
H,29.885561
I,30.223473
N,30.325168
H,30.426863
I,30.528558
N,30.630253
H,30.731948
D,31.068098
E,31.170139
E,31.27218
E,31.37422
F,31.476261
H,31.578302
I,31.91533
N,32.01737
H,32.119411
I,32.221452
N,32.323493
H,32.425533
I,32.761684
N,32.863379
H,32.965074
C,33.066769
F,33.168464
H,33.270159
I,33.606309
N,33.708698
H,33.811087
I,33.913476
N,34.024587
H,34.135698
F,34.583558
B,34.810831
P,34.810831
P,35.472595
N,35.472595
D,35.687649
I,35.687649
P,36.128825
F,36.128825
I,36.570001
P,36.570001
P,36.909623
P,36.909623
P,37.022831
P,37.022831
O,37.905183
P,37.905183
P,38.336838
P,38.336838
N,38.778014
I,38.778014
P,39.214779
P,39.214779
P,39.662696
I,39.662696
L,39.662696
I,39.998517
N,40.118999
G,40.118999
L,40.118999
I,41.028089
N,41.028089
H,41.028089
C,41.482634
G,41.92381
P,41.92381
L,41.92381
I,42.585574
N,42.585574
G,42.585574
O,42.800628
