motifs,time
E,7.146893
I,7.804716
P,7.804716
L,7.804716
F,8.462539
D,8.462539
I,8.462539
N,9.112101
E,9.112101
E,9.112101
F,9.757978
C,9.757978
E,9.757978
C,10.390689
D,10.390689
I,10.390689
L,11.033363
D,11.033363
E,11.033363
I,11.684758
N,11.684758
E,11.684758
F,12.339494
B,12.339494
I,12.339494
N,13.004756
E,13.004756
E,13.004756
E,13.678989
F,13.678989
H,13.678989
G,21.468712
P,21.468712
O,21.468712
N,21.468712
L,22.128488
I,22.128488
N,22.128488
E,22.128488
F,22.788264
I,22.788264
N,22.788264
G,22.788264
N,23.433217
E,23.433217
E,23.433217
E,23.433217
I,24.080654
N,24.080654
E,24.080654
E,24.080654
E,24.726718
C,24.726718
G,24.726718
N,24.726718
E,25.383593
C,25.383593
H,25.383593
I,25.383593
O,26.054434
N,26.054434
L,26.054434
I,26.054434
N,26.736485
B,26.736485
I,26.736485
N,26.736485
E,27.406951
F,27.406951
I,27.406951
N,27.406951
D,28.089002
F,28.089002
H,28.089002
H,28.089002
H,28.839565
G,28.839565
N,28.839565
I,29.528112
N,29.528112
E,29.528112
E,30.198728
C,30.198728
H,30.198728
I,30.850902
N,30.850902
H,30.850902
I,31.186135
N,31.521368
N,31.521368
F,32.177106
H,32.177106
H,32.177106
I,32.498168
N,32.843233
G,32.843233
N,32.843233
I,33.502574
N,33.502574
E,33.502574
I,34.151223
N,34.151223
E,34.151223
C,34.81158
H,34.81158
H,34.81158
D,35.482196
C,35.482196
H,35.482196
I,36.205611
L,36.205611
L,37.570023
I,37.570023
N,39.54311
G,39.54311
P,40.921623
P,40.921623
P,41.653777
P,41.653777
O,46.88668
N,49.756846
A,50.135538
A,50.518973
A,50.902408
A,51.2811
B,51.851568
C,52.034139
D,52.43446
F,52.801792
H,53.175856
H,53.559292
C,54.119322
C,54.297639
D,54.681075
F,55.052822
H,55.431514
H,55.81475
C,56.581621
E,56.957986
C,57.325318
H,57.701682
H,58.094919
C,58.657746
C,58.837129
D,59.220565
F,59.590114
H,59.966478
C,60.349914
F,61.50022
I,62.267091
L,62.681628
E,65.326936
F,65.688643
H,65.958512
C,66.025979
C,66.093447
H,66.464092
C,66.847527
F,67.230963
B,67.997834
D,68.381269
F,69.905641
H,70.273002
D,70.583629
B,70.644851
C,71.003617
H,71.382309
C,71.761001
I,72.139693
N,74.426164
E,74.803755
E,75.056216
E,75.119332
C,75.182447
H,75.551996
H,75.926061
C,76.309496
F,77.434553
I,80.430186
L,80.831148
L,85.353973
I,87.271151
N,87.706312
E,90.349487
F,90.709027
H,90.973542
C,91.039671
C,91.1058
H,91.478749
C,91.862184
F,92.24562
B,93.012491
F,93.395926
F,93.395926
I,94.906494
L,95.280559
E,95.647891
I,95.647891
N,95.647891
G,96.01744
L,96.386989
I,96.756538
K,96.756538
N,96.756538
G,98.267105
L,98.64117
C,99.008502
H,99.008502
G,99.008502
P,99.7706
L,100.161327
F,100.918828
H,101.292893
G,101.292893
P,102.436128
N,102.810193
H,103.184258
H,103.577495
H,103.577495
D,104.143278
F,104.324766
D,104.703458
I,104.703458
P,105.075205
F,105.446952
C,105.825644
F,105.825644
D,106.995552
B,110.50826
N,110.50826
N,110.50826
E,110.50826
E,111.260989
I,111.260989
P,111.626798
P,111.626798
N,111.626798
E,111.626798
E,112.163355
I,112.163355
P,112.344208
P,112.344208
P,112.715955
P,112.715955
N,112.715955
E,112.715955
E,113.464551
I,113.464551
P,113.831068
P,113.831068
N,113.831068
E,113.831068
E,114.373641
I,114.373641
P,114.556546
P,114.556546
P,114.942348
P,114.942348
N,114.942348
E,114.942348
E,116.071442
I,116.071442
N,116.071442
E,116.071442
G,117.207518
P,117.207518
N,117.207518
N,117.207518
I,118.70242
O,118.70242
P,119.060117
P,119.060117
P,119.441166
P,119.441166
N,119.441166
E,119.441166
G,120.543162
O,120.543162
N,120.543162
E,120.543162
E,121.645158
I,121.645158
N,121.645158
G,121.645158
L,122.747154
I,122.747154
N,122.747154
E,122.747154
E,123.875054
I,123.875054
N,123.875054
E,123.875054
E,125.004148
I,125.004148
P,125.738812
P,125.738812
P,126.117504
P,126.117504
N,126.117504
E,126.117504
E,126.669839
I,126.669839
P,126.850257
P,126.850257
O,127.237654
N,127.237654
P,127.590844
P,127.590844
P,127.948242
P,127.948242
P,128.335639
N,128.335639
H,128.335639
H,128.335639
I,129.454486
L,130.573333
O,130.573333
N,130.573333
E,130.573333
E,131.309168
I,131.309168
P,131.674977
P,131.674977
N,131.674977
N,131.674977
I,132.204652
O,132.204652
P,132.382503
P,132.382503
P,132.75425
P,132.75425
N,132.75425
E,132.75425
E,133.490085
I,133.490085
P,133.85381
P,133.85381
N,133.85381
N,133.85381
I,134.389404
O,134.389404
P,134.571266
P,134.571266
P,134.957069
P,134.957069
N,134.957069
E,134.957069
E,136.086162
I,136.086162
N,136.086162
E,136.086162
G,137.222238
P,137.222238
N,137.222238
N,137.222238
I,138.351332
O,138.351332
N,138.719249
G,138.719249
N,139.078918
G,139.078918
P,139.459967
P,139.459967
N,139.459967
E,139.459967
G,140.561963
O,140.561963
N,140.561963
E,140.561963
E,141.663959
I,141.663959
N,141.663959
G,141.663959
L,142.019662
I,142.019662
N,142.386994
O,142.386994
P,142.756359
P,142.756359
N,142.756359
E,142.756359
E,143.119335
I,143.119335
P,143.486667
P,143.486667
P,143.879904
P,143.879904
N,143.879904
E,143.879904
E,145.008997
I,145.008997
P,145.743661
P,145.743661
P,146.122353
P,146.122353
N,146.122353
N,146.122353
I,146.672121
O,146.672121
P,146.849973
P,146.849973
O,147.226337
N,147.226337
P,147.58204
P,147.58204
P,147.947181
P,147.947181
P,148.321246
N,148.321246
H,148.321246
H,148.321246
I,149.465876
N,151.698874
B,152.840236
L,157.363061
I,159.280238
N,159.694775
E,162.333759
F,162.693299
H,162.956076
C,163.021771
C,163.087465
H,163.459628
C,163.852092
F,164.23455
B,164.99435
P,165.362268
N,168.756964
F,168.756964
H,168.756964
D,170.251867
H,170.60299
E,170.969112
I,170.969112
N,170.969112
G,171.692527
N,172.062076
N,173.170723
I,173.170723
L,173.170723
I,174.667734
L,175.018857
E,175.381834
F,175.381834
H,175.381834
I,176.120932
N,176.490481
N,177.612037
F,177.612037
G,177.612037
O,181.996876
P,181.996876
N,181.996876
G,183.106717
O,183.106717
N,183.106717
L,183.464413
I,183.464413
P,183.826121
P,183.826121
P,184.194038
P,184.194038
N,184.194038
G,185.302685
O,185.302685
N,185.302685
L,185.660382
I,185.660382
P,186.018078
P,186.018078
P,186.383887
P,186.383887
N,186.383887
G,187.492534
O,187.492534
P,188.601181
N,188.601181
G,188.601181
O,189.709828
N,189.709828
G,189.709828
P,190.811824
N,190.811824
G,190.811824
P,191.91382
N,191.91382
G,191.91382
P,193.041721
P,193.041721
N,193.041721
E,193.041721
E,194.170814
I,194.170814
P,194.905478
P,194.905478
P,195.28417
P,195.28417
N,195.28417
E,195.28417
E,195.836505
I,195.836505
P,196.016924
P,196.016924
O,196.399382
N,196.399382
P,196.752572
P,196.752572
P,197.117713
P,197.117713
P,197.491778
N,197.491778
H,197.491778
H,197.491778
I,198.613973
N,201.606493
C,202.015491
E,204.654475
F,205.014015
H,205.282076
C,205.349091
C,205.416106
H,205.788269
C,206.171704
F,206.546002
B,207.113396
P,207.29895
N,207.673015
B,211.067712
F,211.067712
H,211.067712
D,212.56053
H,212.917163
E,213.28014
F,213.28014
H,213.28014
I,213.804079
N,213.985568
N,214.355117
B,215.463764
I,215.463764
L,215.463764
I,216.952526
L,217.30916
E,217.672136
I,217.672136
N,217.672136
G,218.199883
N,218.382453
N,218.752002
B,219.860649
F,219.860649
G,219.860649
O,224.268032
P,224.268032
N,224.268032
G,225.371766
O,225.371766
N,225.371766
L,225.718828
I,225.718828
P,226.079665
P,226.079665
P,226.446997
P,226.446997
N,226.446997
G,227.547802
O,227.547802
N,227.547802
L,227.894864
I,227.894864
P,228.255701
P,228.255701
P,228.638159
P,228.638159
N,228.638159
G,229.750094
O,229.750094
P,230.862029
N,230.862029
G,230.862029
O,232.000986
N,232.000986
G,232.000986
P,233.102982
N,233.102982
G,233.102982
P,234.210595
P,234.210595
N,234.210595
L,234.561718
O,234.561718
N,234.926859
O,234.926859
P,235.298606
P,235.298606
N,235.298606
E,235.298606
E,236.4277
I,236.4277
P,236.78089
P,236.78089
N,237.148222
O,237.148222
P,237.526914
P,237.526914
N,237.526914
N,237.526914
I,238.079249
O,238.079249
P,238.259668
P,238.259668
O,238.636032
N,238.636032
P,238.996869
P,238.996869
P,239.36201
P,239.36201
O,242.15053
N,242.15053
N,242.15053
E,242.15053
E,242.903259
I,242.903259
P,243.279623
P,243.279623
N,243.279623
N,243.279623
I,243.824088
O,243.824088
P,244.005576
P,244.005576
P,244.377323
P,244.377323
N,244.377323
E,244.377323
E,245.134707
I,245.134707
P,245.498432
P,245.498432
N,245.498432
N,245.498432
I,246.039033
O,246.039033
P,246.221937
P,246.221937
L,248.98
D,248.98
E,248.98
E,248.98
G,250.116076
O,250.116076
N,250.116076
E,250.116076
E,251.231317
I,251.231317
N,251.231317
G,251.231317
L,252.346558
I,252.346558
N,252.346558
E,252.346558
F,255.87254
G,255.87254
N,255.87254
E,255.87254
E,256.454913
I,256.454913
P,256.649038
P,256.649038
O,257.046705
N,257.046705
N,257.046705
E,257.046705
E,257.412826
I,257.412826
P,257.806063
P,257.806063
N,260.163278
E,260.584094
E,263.290171
F,263.658541
H,263.932101
C,264.000491
C,264.068881
H,264.450512
C,264.846291
F,265.242069
B,266.033626
D,266.429405
F,267.99744
H,268.392045
D,268.71601
B,268.78031
C,269.163746
H,269.551995
C,269.958224
I,270.364453
P,274.770634
P,274.770634
N,274.770634
E,274.770634
E,275.980353
I,275.980353
N,275.980353
E,275.980353
E,279.560149
F,279.560149
H,279.560149
I,280.769869
P,280.769869
H,280.769869
I,281.979588
N,281.979588
I,284.004153
N,284.004153
O,284.806094
N,284.806094
