motifs,time
H,0
I,4.125
N,4.125
I,4.5
N,4.5
H,4.5
I,5.625
N,5.625
H,5.625
I,6.066176
N,6.066176
H,6.066176
D,9.353848
F,9.353848
I,12.353848
N,12.353848
H,12.353848
I,16.478848
P,16.478848
N,16.478848
E,16.853848
C,16.853848
H,16.853848
D,17.978848
B,17.978848
N,17.978848
N,18.413631
B,18.413631
I,18.413631
N,21.701303
D,21.701303
I,21.701303
O,24.701303
N,24.701303
H,24.701303
I,28.826303
P,28.826303
N,28.826303
E,29.201303
C,29.201303
H,29.201303
D,30.35515
B,30.35515
N,30.35515
N,30.771816
B,30.771816
I,30.771816
P,33.971816
P,33.971816
O,33.971816
P,35.096816
N,35.096816
N,35.096816
E,35.471816
C,35.471816
H,35.471816
D,36.671816
B,36.671816
N,36.671816
N,37.071816
B,37.071816
I,37.071816
N,40.071816
G,40.071816
P,41.500387
N,41.500387
H,41.500387
I,43.144223
N,43.144223
H,43.144223
I,44.555988
N,46.478524
C,46.667606
E,46.852791
C,47.037223
H,47.218681
H,47.396552
H,47.571655
H,47.749543
H,47.93324
H,48.124758
H,48.323026
H,48.414566
H,48.507698
H,48.602525
H,48.699794
D,48.799882
E,48.901989
C,49.006376
H,49.11386
D,49.210635
G,50.710635
P,50.710635
P,53.335635
P,53.335635
P,53.710635
P,53.710635
P,54.835635
P,54.835635
P,55.252301
P,55.252301
P,56.752301
P,56.752301
N,57.877301
A,58.252301
B,58.252301
N,58.252301
E,58.252301
G,59.336639
O,59.336639
N,59.336639
E,59.336639
G,59.698084
O,59.698084
N,59.698084
E,59.698084
E,60.782422
I,60.782422
N,60.782422
E,60.782422
E,61.172032
I,61.172032
N,61.172032
G,61.172032
K,62.672032
N,62.672032
P,65.297032
P,65.297032
P,65.672032
P,65.672032
P,66.797032
P,66.797032
P,67.213699
P,67.213699
P,68.713699
P,68.713699
N,69.838699
B,69.838699
N,69.838699
L,69.838699
E,70.213699
I,70.213699
N,70.213699
E,70.213699
G,71.298036
O,71.298036
N,71.298036
E,71.298036
G,71.659482
O,71.659482
N,71.659482
E,71.659482
G,72.743819
O,72.743819
N,72.743819
E,72.743819
G,73.105265
O,73.105265
N,73.105265
E,73.105265
G,74.586746
N,74.586746
P,77.179338
P,77.179338
P,77.549708
P,77.549708
P,78.660819
P,78.660819
P,79.077485
P,79.077485
P,80.577485
P,80.577485
P,83.476433
P,83.476433
P,84.558288
P,84.558288
P,84.928658
P,84.928658
P,86.392073
P,86.392073
P,89.199382
P,89.199382
P,90.27081
P,90.27081
P,90.67081
P,90.67081
P,92.099381
P,92.099381
P,94.886177
P,94.886177
P,96.466212
P,96.466212
P,98.251925
N,98.430497
D,98.609068
F,98.787639
H,98.966211
H,99.144782
H,99.323354
D,100.046245
A,100.815476
B,100.815476
P,101.615476
P,101.615476
P,102.485041
P,102.485041
P,108.305145
N,110.090859
C,110.26943
E,110.448002
C,110.567049
H,110.686097
H,110.805144
H,110.924192
D,111.04324
F,111.162287
D,111.907888
A,112.687109
A,113.476582
B,114.358935
I,115.180853
N,116.034512
H,116.152159
H,116.269806
H,116.387453
H,116.5051
H,116.622747
H,116.722747
H,116.822747
H,116.922747
H,117.022747
H,117.122747
H,117.217156
H,117.272711
H,117.364736
H,117.45676
H,117.548598
H,117.640061
H,117.73097
H,117.821514
H,117.911876
H,118.001876
H,118.091519
H,118.180804
H,118.269562
H,118.357971
H,118.447083
H,118.537264
H,118.628914
I,118.721701
P,119.780525
N,120.093161
E,120.695941
I,120.695941
P,120.891322
P,120.891322
P,121.086191
N,121.086191
D,121.278498
F,121.278498
I,121.470806
O,121.470806
P,121.666245
P,121.666245
P,121.873542
P,121.873542
O,122.263279
N,122.263279
