motifs,time
L,1.267241
I,1.267241
O,1.703618
N,1.703618
O,2.093228
N,2.093228
N,2.508578
B,2.508578
P,3.325256
K,3.325256
N,3.755502
G,3.755502
L,4.171542
I,4.171542
N,4.558638
G,4.558638
N,4.975948
B,4.975948
L,5.782844
P,5.782844
L,6.213089
I,6.213089
O,6.62482
N,6.62482
O,7.016977
N,7.016977
N,7.436352
B,7.436352
P,8.251675
K,8.251675
N,8.680341
G,8.680341
L,9.099235
I,9.099235
N,9.493972
G,9.493972
N,9.924166
B,9.924166
L,10.697598
I,10.750459
P,11.197268
P,11.261097
N,11.658856
O,11.71112
N,12.052029
O,12.10073
P,12.469498
P,12.523454
P,13.352805
K,13.352805
N,13.785306
G,13.785306
L,14.201718
I,14.201718
N,14.600389
G,14.600389
N,15.032183
B,15.032183
L,15.845121
P,15.845121
L,16.285739
I,16.285739
O,16.698096
N,16.698096
O,17.099434
N,17.099434
N,17.518809
B,17.518809
P,18.330818
K,18.330818
N,18.756333
G,18.756333
L,19.172343
I,19.172343
N,19.583302
G,19.583302
N,20.013497
B,20.013497
O,20.838548
N,20.838548
N,21.270342
B,21.270342
N,21.688697
G,21.688697
L,22.08214
O,22.08214
N,22.50608
G,22.50608
O,23.309866
N,23.309866
N,23.740858
B,23.740858
N,24.138947
G,24.138947
L,24.533684
I,24.533684
N,24.957623
G,24.957623
O,25.760002
N,25.760002
N,26.195816
B,26.195816
N,26.607198
G,26.607198
L,27.007198
I,27.007198
N,27.431138
G,27.431138
O,28.250461
N,28.250461
N,28.718407
B,28.718407
N,29.149142
G,29.149142
L,29.558698
I,29.558698
N,29.993846
G,29.993846
N,30.761609
G,30.813169
P,31.238675
P,31.304464
O,31.685978
N,31.738242
O,32.082505
N,32.131685
P,32.497051
P,32.551042
J,33.356708
P,33.356708
N,33.790774
B,33.790774
N,34.208645
G,34.208645
L,34.600802
I,34.600802
N,35.035118
G,35.035118
O,35.83768
N,35.83768
N,36.283832
B,36.283832
N,36.719163
G,36.719163
L,37.128719
I,37.128719
N,37.552658
G,37.552658
O,38.42894
N,38.42894
N,38.898722
B,38.898722
N,39.346707
G,39.346707
L,39.802981
I,39.802981
N,40.292025
G,40.292025
K,40.902739
N,40.940239
E,40.977739
I,42.965239
N,42.965239
G,42.965239
L,43.208154
I,43.208154
L,43.208154
I,43.441617
L,43.441617
O,43.441617
P,43.65514
P,43.65514
N,43.65514
G,43.875728
N,43.875728
N,43.875728
C,44.089251
I,44.089251
N,44.089251
O,44.309031
N,44.309031
I,44.309031
P,44.520299
P,44.631823
N,44.743347
D,44.743347
I,44.846087
L,44.948361
H,45.050867
H,45.154078
H,45.258004
H,45.362535
G,45.573807
L,45.573807
L,45.573807
C,45.809101
G,45.809101
O,45.809101
O,46.03382
N,46.03382
N,46.03382
G,46.248874
O,46.248874
N,46.248874
G,46.472754
J,46.472754
N,46.472754
N,46.689361
B,46.689361
I,46.689361
L,46.912409
F,46.912409
I,46.912409
P,47.128237
O,47.240177
N,47.352117
H,47.456647
H,47.560935
H,47.665103
H,47.770367
H,47.87675
D,47.984278
E,48.092582
E,48.200885
E,48.309188
I,48.417887
P,48.528861
N,48.63902
C,48.748377
H,48.856942
I,48.964855
N,49.072769
G,49.072769
P,49.179531
N,49.286292
G,49.286292
P,49.391555
N,49.496819
G,49.496819
P,49.604346
D,49.71266
E,49.71266
F,49.82255
H,49.932173
D,49.932173
F,50.041529
H,50.15062
I,50.15062
P,50.259316
N,50.368012
G,50.368012
P,50.473645
N,50.579279
G,50.579279
P,50.683809
N,50.788338
G,50.788338
P,50.894721
D,51.001104
E,51.001104
F,51.111805
H,51.222506
D,51.222506
F,51.333207
H,51.443908
I,51.443908
P,51.554338
N,51.664363
G,51.664363
P,51.773985
N,51.883209
G,51.883209
P,51.991905
N,52.1006
G,52.1006
N,52.209296
H,52.317992
D,52.317992
I,52.559927
N,52.689799
E,52.81746
E,52.940411
E,53.063362
E,53.186313
F,53.309263
I,53.429745
O,53.550227
N,53.670709
N,53.791191
I,53.907021
O,54.022851
N,54.135633
B,54.248415
O,54.357506
N,54.466597
B,54.575688
O,54.684779
N,54.796304
B,54.907828
O,55.019352
N,55.130876
B,55.240365
O,55.349854
N,55.459343
B,55.568832
O,55.676359
N,55.783886
B,55.891413
O,55.99894
N,56.109641
B,56.220342
O,56.331043
N,56.441744
G,56.550835
O,56.659926
N,56.769017
L,56.878108
O,56.983742
N,57.089376
K,57.19501
O,57.300643
N,57.408557
L,57.516471
O,57.624385
P,57.732298
L,57.840212
I,57.948126
N,58.05604
K,58.163953
O,58.270336
N,58.376719
L,58.483102
O,58.589739
N,58.696881
L,58.804024
O,58.911167
N,59.01831
G,59.125837
N,59.233364
H,59.338259
H,59.443154
D,59.443154
F,59.548417
H,59.653927
H,59.759685
H,59.865818
I,59.865818
O,59.975708
N,60.085598
E,60.085598
I,60.195488
L,60.305378
I,60.305378
N,60.413681
H,60.521984
H,60.627618
H,60.7335
F,60.7335
I,60.839758
L,60.946393
H,61.053409
H,61.160808
I,61.160808
O,61.270698
N,61.380588
E,61.380588
I,61.490478
N,61.600368
E,61.709064
E,61.709064
I,61.817759
L,61.926455
H,62.035151
I,62.145445
L,62.145445
I,62.255739
L,62.366033
H,62.476327
I,62.586621
L,62.586621
I,62.696915
L,62.807209
H,62.917503
I,63.027797
L,63.027797
I,63.138091
L,63.251727
G,63.450591
N,63.479
G,64.047181
L,64.047181
I,64.158705
J,64.158705
P,64.270229
P,64.377756
L,64.485283
C,64.485283
I,64.596808
J,64.596808
P,64.708332
P,64.815859
L,64.923386
C,64.923386
I,65.034497
J,65.034497
P,65.145608
N,65.253135
H,65.360662
D,65.360662
F,65.475604
H,65.590547
I,65.590547
O,65.710547
N,65.830547
L,66.052769
E,66.274991
F,66.497213
D,66.497213
I,66.722777
L,66.948341
I,66.948341
K,67.186738
L,67.186738
N,67.298262
G,67.298262
P,67.409787
L,67.409787
I,67.517314
L,67.624841
I,67.624841
N,67.736365
G,67.736365
P,67.847889
L,67.847889
I,67.955416
N,68.062943
G,68.062943
P,68.177886
D,68.292828
E,68.292828
I,68.403529
L,68.51423
D,68.62659
E,68.738949
E,68.853892
E,68.968834
E,69.082042
E,69.195249
E,69.312896
E,69.430543
E,69.54819
E,69.665837
I,69.781667
P,69.897497
N,70.013327
P,70.129157
O,70.129157
N,70.251606
N,70.374055
H,70.374055
D,70.496504
E,70.596589
F,70.635449
D,70.635449
I,70.831955
P,70.868901
F,70.905847
D,70.905847
I,71.112269
P,71.149958
F,71.187646
D,71.187646
I,71.39991
P,71.439804
F,71.479698
D,71.479698
I,71.718064
L,71.810088
I,71.810088
N,71.934569
C,72.058366
E,72.181486
E,72.303769
H,72.425555
E,72.546686
E,72.667008
E,72.793007
I,72.912055
L,72.912055
D,73.031102
E,73.15015
F,73.280585
G,73.399632
L,73.399632
D,73.51868
E,73.637727
F,73.767037
H,73.886085
H,73.886085
D,74.005132
E,74.12418
E,74.25405
F,74.376499
H,74.498948
I,74.621397
O,74.865583
N,74.900467
E,74.935351
G,75.619712
L,75.619712
I,75.731236
J,75.731236
P,75.842761
P,75.950288
L,76.057815
C,76.057815
I,76.169339
J,76.169339
P,76.280863
P,76.38687
L,76.492877
C,76.492877
I,76.603988
J,76.603988
P,76.715099
N,76.821482
H,76.927865
D,76.927865
F,77.042369
H,77.156873
I,77.156873
O,77.27592
N,77.394968
L,77.61719
E,77.839412
F,78.061634
D,78.061634
I,78.289771
L,78.517908
I,78.517908
K,78.756734
L,78.756734
N,78.868258
G,78.868258
P,78.979782
L,78.979782
I,79.085416
L,79.19105
I,79.19105
N,79.302574
G,79.302574
P,79.414098
L,79.414098
I,79.520481
