motifs,time
P,2.234043
N,2.553192
B,2.872341
P,3.829788
P,4.468086
P,4.787235
N,5.106384
B,5.425533
P,6.38298
P,7.04232
P,7.36147
N,7.680618
B,8.025446
C,9.003707
I,9.663127
P,10.007955
N,10.352782
B,10.671931
P,11.629378
N,12.267676
P,12.586825
N,12.905974
B,13.225123
P,14.18257
P,14.820868
P,15.140017
N,15.459166
B,15.778315
P,16.735762
P,17.395103
P,17.714252
N,18.033401
B,18.386342
C,19.386342
I,20.068512
P,20.434366
O,20.818982
N,20.818982
G,20.818982
N,20.818982
C,22.139098
I,22.139098
N,22.139098
I,22.139098
O,22.139098
N,22.487935
N,23.126233
H,23.445382
H,23.445382
H,23.445382
G,24.70868
P,24.70868
P,24.70868
N,24.70868
K,24.70868
N,25.057517
H,25.695815
H,26.014964
H,26.014964
H,26.014964
H,27.305884
D,27.305884
E,27.305884
I,27.667329
L,28.333996
I,28.667329
N,28.667329
G,28.667329
O,29.31249
N,29.62828
H,29.94407
G,29.94407
O,31.354673
N,31.354673
N,31.354673
N,31.354673
H,32.617971
I,32.617971
N,32.617971
I,32.617971
O,32.617971
N,32.966808
N,33.605106
H,33.924255
H,33.924255
H,33.924255
G,35.187553
P,35.187553
P,35.187553
N,35.187553
K,35.187553
N,35.53639
H,36.174688
H,36.493837
H,36.493837
H,36.493837
H,37.784757
D,37.784757
E,37.784757
I,38.15061
L,38.817277
I,39.15061
N,39.15061
G,39.15061
O,39.795772
N,40.111561
H,40.427351
G,40.427351
O,41.833324
N,41.833324
N,41.833324
E,43.087242
F,43.695391
I,44.30354
P,44.911689
N,45.519838
F,45.519838
I,46.773756
N,46.773756
H,46.773756
I,48.027674
N,48.635823
C,49.256298
E,49.256298
F,49.875313
D,50.510775
I,50.510775
N,51.760775
G,51.760775
N,53.010775
H,53.010775
H,54.270856
I,54.270856
P,54.895856
H,55.208356
H,55.520856
I,55.520856
N,55.846943
H,56.536598
C,56.862685
G,56.862685
N,58.125843
H,58.125843
H,59.420369
I,59.420369
P,60.079709
H,60.43265
H,60.785592
I,60.785592
N,61.170207
H,62.02735
F,63.76027
G,64.398568
P,64.717717
N,65.036866
B,65.356015
P,66.313462
P,66.95176
P,67.270909
N,67.590058
B,67.916145
P,68.908898
P,69.579477
P,69.933852
N,70.282689
B,70.631526
P,71.639704
P,72.32562
P,72.687066
N,73.044208
B,73.393046
P,74.487944
P,75.215885
P,75.615885
N,76.005496
B,76.390111
N,78.151645
G,78.151645
