motifs,time
H,0.794658
I,0.943911
P,0.943911
D,1.243163
I,1.243163
N,1.547908
F,1.547908
H,1.697534
C,1.84716
H,1.84716
F,2.147912
H,2.147912
C,2.454817
I,2.454817
L,2.604443
I,2.754069
P,2.754069
L,3.055577
F,3.055577
I,3.355412
P,3.355412
N,3.657572
H,3.657572
D,3.959732
C,3.959732
D,4.110812
G,4.717927
L,4.717927
I,4.717927
N,4.869007
G,4.869007
L,4.869007
I,5.020087
N,5.020087
L,5.020087
I,5.625188
N,5.625188
O,5.625188
P,5.777048
P,5.777048
N,5.777048
E,5.928909
F,5.928909
C,6.532858
G,6.532858
L,6.532858
C,6.683938
G,6.683938
O,6.683938
N,6.835018
B,6.835018
G,6.835018
K,7.440914
N,7.440914
G,7.440914
P,7.592774
N,7.592774
E,7.592774
F,7.744635
H,7.744635
I,7.993597
N,7.993597
H,8.142851
I,8.292104
P,8.292104
H,8.591356
I,8.591356
N,8.896668
H,8.896668
H,9.045922
I,9.195175
P,9.195175
D,9.495175
F,9.495175
H,9.80208
I,9.80208
P,9.951706
N,10.101332
G,10.101332
N,10.40284
H,10.40284
C,10.702675
I,10.702675
P,11.004835
C,11.004835
F,11.306995
B,11.306995
F,11.458075
I,12.065191
N,12.065191
G,12.065191
N,12.216271
G,12.216271
L,12.216271
I,12.367351
N,12.367351
L,12.367351
I,12.972451
N,12.972451
G,12.972451
P,13.124312
N,13.124312
E,13.124312
F,13.276172
H,13.276172
I,13.880121
N,13.880121
N,13.880121
L,14.031201
C,14.031201
G,14.031201
O,14.182281
N,14.182281
G,14.182281
P,14.487191
N,14.487191
G,14.487191
O,14.792498
N,14.792498
H,14.792498
H,15.097835
D,15.097835
E,15.097835
F,15.347835
B,15.347835
I,15.496719
P,15.645602
P,15.645602
D,15.944854
I,15.944854
N,16.250166
F,16.250166
H,16.39942
I,16.548673
P,16.548673
D,16.849425
F,16.849425
C,17.162878
I,17.162878
L,17.310298
I,17.459181
P,17.459181
J,17.611042
P,17.611042
P,17.758462
P,17.907345
P,17.907345
L,18.059599
H,18.059599
H,18.209516
F,18.359434
F,18.359434
H,18.664405
H,18.664405
I,18.664405
P,18.816659
N,18.816659
E,18.816659
G,19.017328
N,19.017328
H,19.166581
I,19.315835
P,19.315835
H,19.615087
I,19.615087
N,19.920399
H,19.920399
H,20.069652
I,20.218906
P,20.218906
D,20.518158
F,20.518158
C,20.829091
I,20.829091
L,20.977239
I,21.126492
P,21.126492
N,21.278353
B,21.278353
L,21.426501
I,21.577581
P,21.577581
J,21.729834
P,21.729834
F,21.878583
C,22.027098
F,22.027098
G,22.33207
N,22.33207
G,22.33207
P,22.484323
P,22.484323
P,22.636577
P,22.636577
L,22.938737
F,22.938737
G,22.938737
N,23.240897
E,23.240897
E,23.240897
I,23.544633
N,23.544633
P,23.848354
N,23.848354
G,23.848354
O,24.152075
N,24.152075
G,24.152075
L,24.456989
I,24.456989
N,24.759149
G,24.759149
L,24.759149
E,25.061309
F,25.061309
G,25.061309
P,25.365442
P,25.365442
N,25.669163
G,25.669163
O,25.669163
L,25.972884
D,25.972884
G,25.972884
L,26.277798
I,26.277798
P,26.579958
N,26.579958
G,26.579958
P,26.882118
P,26.882118
O,26.882118
N,27.185452
B,27.185452
P,27.487612
L,27.487612
I,27.487612
P,27.789772
N,27.789772
G,27.789772
N,28.093905
G,28.093905
P,28.396065
P,28.396065
L,28.396065
E,28.698225
F,28.698225
G,28.698225
