motifs,time
L,0
C,0.756773
C,1.00385
C,1.00385
E,1.00385
C,1.508221
D,1.508221
I,1.508221
N,1.755297
F,2.01283
B,2.01283
I,2.01283
N,3.026772
B,3.026772
H,3.026772
I,3.268708
N,3.514468
H,3.514468
I,3.756404
P,4.005988
N,4.005988
E,4.005988
F,5.01473
B,5.01473
H,5.01473
D,6.023472
G,6.023472
N,6.023472
L,6.780028
I,6.780028
N,7.028352
G,7.028352
N,7.532723
O,7.532723
N,7.532723
L,7.778524
O,7.778524
N,8.033345
F,8.033345
I,8.033345
N,9.042087
B,9.042087
N,9.042087
G,9.285989
O,9.285989
L,9.535948
I,9.535948
N,9.535948
G,9.782739
O,9.782739
O,10.040272
N,10.040272
L,10.040272
I,10.040272
L,11.049014
I,11.547871
L,11.547871
F,11.547871
G,12.048852
P,12.048852
N,12.048852
I,12.048852
O,13.057594
P,13.558575
N,13.558575
D,13.558575
G,14.068506
P,14.068506
L,14.068506
C,14.825279
C,15.072355
C,15.072355
E,15.072355
C,15.576726
D,15.576726
I,15.576726
N,15.823803
C,16.081336
C,16.081336
E,16.081336
F,17.095278
B,17.095278
N,17.095278
E,17.337213
C,17.582974
H,17.582974
I,17.824909
N,18.074493
D,18.074493
I,18.074493
N,19.083235
B,19.083235
E,19.083235
F,20.091977
I,20.091977
N,20.091977
P,20.848534
O,20.848534
P,21.096858
P,21.096858
L,21.601229
I,21.601229
N,21.601229
I,21.84703
O,21.84703
P,22.10185
P,22.10185
N,22.10185
G,23.110592
O,23.110592
N,23.110592
G,23.357384
O,23.357384
L,23.607342
I,23.607342
N,23.607342
G,23.854134
O,23.854134
P,24.111667
N,24.111667
E,24.111667
I,25.120409
L,25.36824
H,25.619265
I,25.619265
N,25.619265
L,25.868145
H,26.120246
C,26.120246
E,26.120246
I,27.141784
L,27.625675
D,28.096263
F,28.55883
B,28.55883
N,28.55883
H,29.018837
D,29.470829
B,29.470829
F,29.470829
H,29.925173
H,30.381631
F,30.381631
F,30.381631
H,30.605512
H,30.834572
I,31.292692
O,31.292692
P,31.292692
N,31.744942
N,32.198184
E,32.198184
I,32.198184
L,32.655412
D,33.107867
B,33.107867
N,33.107867
G,33.33316
N,33.561089
F,34.016438
B,34.016438
N,34.016438
I,34.471499
L,34.471499
E,34.471499
I,34.471499
J,34.923954
P,34.923954
N,35.378254
O,35.378254
N,35.378254
H,35.378254
I,35.830272
O,35.830272
N,36.285507
P,36.285507
I,36.285507
N,36.285507
C,36.733268
I,36.733268
P,37.186698
N,37.186698
H,37.186698
I,37.186698
N,37.637832
G,37.637832
L,37.860054
I,37.860054
L,38.081456
I,38.081456
N,38.081456
E,38.081456
C,38.530055
G,38.530055
O,38.984356
N,38.984356
P,39.435541
L,39.435541
E,39.435541
I,39.435541
N,39.881957
O,39.881957
P,40.334412
P,40.334412
N,40.334412
E,40.334412
I,40.559705
O,40.559705
N,40.801926
G,40.801926
P,41.038202
L,41.038202
E,41.038202
I,41.038202
N,41.28047
E,41.28047
E,41.28047
I,41.28047
P,42.254801
P,42.254801
N,42.254801
E,42.254801
F,42.738672
G,42.738672
N,42.738672
G,42.738672
N,42.975938
B,42.975938
H,42.975938
H,42.975938
I,43.218206
N,43.218206
H,43.218206
H,43.218206
D,44.192537
G,44.192537
L,44.192537
I,44.192537
N,44.683375
I,44.683375
N,44.683375
E,44.683375
E,45.179823
G,45.179823
O,45.292436
N,45.517661
B,45.630273
G,45.630273
O,45.742886
N,45.968111
B,46.080723
G,46.080723
O,46.194239
N,46.421271
B,46.534787
N,46.534787
H,46.534787
H,46.648303
D,46.878632
A,46.995446
B,46.995446
G,46.995446
O,47.108962
N,47.336146
B,47.450119
N,47.450119
L,47.564092
F,47.792978
B,47.907575
N,47.907575
L,47.907575
H,48.022482
D,48.252774
B,48.368159
P,48.368159
O,48.368159
N,48.368159
O,48.604435
P,48.604435
N,48.604435
E,48.604435
E,48.846703
I,48.846703
N,48.846703
G,48.846703
L,49.821034
F,49.821034
H,49.821034
H,49.821034
I,50.304905
N,50.304905
H,50.304905
H,50.304905
D,50.542171
E,50.542171
E,50.542171
I,50.542171
N,50.784439
F,50.784439
I,50.784439
N,50.784439
D,51.75877
B,51.75877
O,51.75877
N,51.75877
N,52.249608
I,52.249608
N,52.249608
E,52.249608
F,52.744464
B,52.744464
I,52.857561
N,53.083754
B,53.1964
L,53.1964
I,53.309047
N,53.533893
B,53.646093
J,53.646093
O,53.758293
N,53.981823
B,54.093442
G,54.093442
O,54.205207
N,54.430523
B,54.544073
N,54.544073
G,54.656719
N,54.882012
B,54.994659
L,54.994659
I,55.107305
N,55.332598
B,55.445245
J,55.445245
O,55.557891
N,55.786422
B,55.902305
P,55.902305
N,55.902305
E,56.138582
I,56.138582
N,56.138582
G,56.138582
P,56.380849
N,56.380849
L,56.380849
I,57.351545
N,57.351545
G,57.351545
P,57.835416
P,57.835416
O,57.835416
N,58.072682
E,58.072682
E,58.072682
I,58.072682
P,58.31495
N,58.31495
G,58.31495
P,59.285315
P,59.285315
L,59.285315
C,59.776153
E,59.776153
E,59.776153
I,59.888344
N,60.114069
